year,month,species,landings_n,rse
2014,2,Greater Amberjack,124,102
2014,4,Greater Amberjack,350,56
2014,5,Greater Amberjack,2295,80
2014,7,Greater Amberjack,1813,63
2014,8,Greater Amberjack,3009,36
2015,2,Greater Amberjack,17,64
2015,3,Greater Amberjack,967,34
2015,4,Greater Amberjack,930,29
2015,5,Greater Amberjack,3191,23
2015,6,Greater Amberjack,767,89
2015,7,Greater Amberjack,632,48
2015,8,Greater Amberjack,4156,23
2015,9,Greater Amberjack,1590,35
2015,11,Greater Amberjack,32,84
2016,1,Greater Amberjack,167,76
2016,2,Greater Amberjack,159,36
2016,3,Greater Amberjack,96,39
2016,4,Greater Amberjack,1246,46
2016,5,Greater Amberjack,6758,31
2016,6,Greater Amberjack,94,57
2016,7,Greater Amberjack,176,57
2016,8,Greater Amberjack,0,0
2016,9,Greater Amberjack,0,0
2017,2,Greater Amberjack,184,35
2017,3,Greater Amberjack,93,50
2017,4,Greater Amberjack,0,0
2017,5,Greater Amberjack,0,0
2017,6,Greater Amberjack,0,0
2017,7,Greater Amberjack,127,104
2017,8,Greater Amberjack,0,0
2017,9,Greater Amberjack,0,0
2018,1,Greater Amberjack,64,71
2018,2,Greater Amberjack,0,0
2018,3,Greater Amberjack,0,0
2018,4,Greater Amberjack,0,0
2018,5,Greater Amberjack,3211,26
2018,6,Greater Amberjack,0,0
2018,7,Greater Amberjack,44,58
2018,8,Greater Amberjack,5038,19
2018,9,Greater Amberjack,1448,25
2018,10,Greater Amberjack,403,31
2018,11,Greater Amberjack,15,94
2018,12,Greater Amberjack,0,0
