year,month,species,landings_n,rse
2014,6,King Mackerel,491,49
2014,7,King Mackerel,1072,46
2014,8,King Mackerel,505,66
2014,9,King Mackerel,1433,39
2014,10,King Mackerel,587,94
2015,3,King Mackerel,10,50
2015,4,King Mackerel,40,36
2015,6,King Mackerel,489,47
2015,7,King Mackerel,77,67
2016,3,King Mackerel,264,63
2016,5,King Mackerel,67,62
2016,6,King Mackerel,399,33
2016,7,King Mackerel,67,43
2016,8,King Mackerel,86,27
2016,9,King Mackerel,35,94
2016,10,King Mackerel,1747,39
2017,2,King Mackerel,35,34
2017,3,King Mackerel,145,32
2017,4,King Mackerel,26,89
2017,6,King Mackerel,308,50
2017,7,King Mackerel,1219,44
2017,8,King Mackerel,626,100
2017,9,King Mackerel,300,68
2017,10,King Mackerel,33,87
2018,2,King Mackerel,21,53
2018,3,King Mackerel,1693,89
2018,4,King Mackerel,0,0
2018,5,King Mackerel,96,61
2018,6,King Mackerel,264,60
2018,7,King Mackerel,474,33
2018,8,King Mackerel,97,58
2018,9,King Mackerel,262,41
2018,12,King Mackerel,43,100
