year,month,species,landings_n,rse
2014,1,Red Drum,52811,19
2014,2,Red Drum,42879,18
2014,3,Red Drum,49216,18
2014,4,Red Drum,86858,16
2014,5,Red Drum,149981,13
2014,6,Red Drum,143014,15
2014,7,Red Drum,82305,13
2014,8,Red Drum,93435,20
2014,9,Red Drum,207198,19
2014,10,Red Drum,176495,11
2014,11,Red Drum,145154,14
2014,12,Red Drum,53577,16
2015,1,Red Drum,41213,20
2015,2,Red Drum,39764,17
2015,3,Red Drum,56720,15
2015,4,Red Drum,118793,17
2015,5,Red Drum,97497,14
2015,6,Red Drum,129628,12
2015,7,Red Drum,126796,12
2015,8,Red Drum,135109,12
2015,9,Red Drum,127439,11
2015,10,Red Drum,199386,11
2015,11,Red Drum,112399,13
2015,12,Red Drum,60182,18
2016,1,Red Drum,29434,18
2016,2,Red Drum,26157,16
2016,3,Red Drum,67479,19
2016,4,Red Drum,77702,14
2016,5,Red Drum,135762,12
2016,6,Red Drum,142471,11
2016,7,Red Drum,69202,13
2016,8,Red Drum,62837,23
2016,9,Red Drum,74375,15
2016,10,Red Drum,130073,13
2016,11,Red Drum,126991,12
2016,12,Red Drum,102645,15
2017,1,Red Drum,39782,22
2017,2,Red Drum,37491,20
2017,3,Red Drum,119161,13
2017,4,Red Drum,126419,12
2017,5,Red Drum,176525,13
2017,6,Red Drum,319975,11
2017,7,Red Drum,148045,10
2017,8,Red Drum,173494,12
2017,9,Red Drum,155225,13
2017,10,Red Drum,121131,10
2017,11,Red Drum,130954,9
2017,12,Red Drum,94314,17
2018,1,Red Drum,88213,28
2018,2,Red Drum,79351,19
2018,3,Red Drum,102106,12
2018,4,Red Drum,118592,13
2018,5,Red Drum,326091,10
2018,6,Red Drum,233163,13
2018,7,Red Drum,155321,12
2018,8,Red Drum,215207,10
2018,9,Red Drum,185779,13
2018,10,Red Drum,228104,11
2018,11,Red Drum,184410,15
2018,12,Red Drum,60810,15
