year,month,species,landings_n,rse
2014,2,Red Porgy,25,102
2014,5,Red Porgy,18,100
2014,6,Red Porgy,91,39
2014,10,Red Porgy,24,98
2015,4,Red Porgy,1,0
2015,5,Red Porgy,48,73
2015,6,Red Porgy,544,73
2015,8,Red Porgy,159,85
2015,10,Red Porgy,114,84
2016,2,Red Porgy,32,99
2016,5,Red Porgy,419,46
2016,6,Red Porgy,712,56
2017,6,Red Porgy,121,43
2017,9,Red Porgy,159,85
2018,2,Red Porgy,3,105
2018,3,Red Porgy,8,60
2018,4,Red Porgy,67,100
2018,6,Red Porgy,146,33
2018,7,Red Porgy,193,63
2018,8,Red Porgy,149,43
2018,9,Red Porgy,70,86
