year,month,species,landings_n,rse
2014,2,Red Snapper,656,72
2014,3,Red Snapper,2992,38
2014,4,Red Snapper,2940,28
2014,5,Red Snapper,38947,24
2014,6,Red Snapper,39851,20
2014,7,Red Snapper,14660,20
2014,8,Red Snapper,12170,39
2014,9,Red Snapper,2352,80
2014,10,Red Snapper,10632,34
2014,11,Red Snapper,1249,51
2014,12,Red Snapper,1682,83
2015,3,Red Snapper,9941,49
2015,4,Red Snapper,13498,27
2015,5,Red Snapper,13323,30
2015,6,Red Snapper,81603,17
2015,7,Red Snapper,30219,23
2015,8,Red Snapper,15097,27
2015,9,Red Snapper,6090,45
2015,11,Red Snapper,1594,57
2015,12,Red Snapper,320,72
2016,1,Red Snapper,4131,74
2016,2,Red Snapper,11328,43
2016,3,Red Snapper,4244,35
2016,4,Red Snapper,7482,38
2016,5,Red Snapper,17923,24
2016,6,Red Snapper,56943,17
2016,7,Red Snapper,23222,19
2016,8,Red Snapper,9214,41
2016,9,Red Snapper,695,53
2016,10,Red Snapper,1440,32
2016,11,Red Snapper,8086,69
2017,2,Red Snapper,7698,44
2017,3,Red Snapper,5421,36
2017,4,Red Snapper,10567,24
2017,5,Red Snapper,9155,28
2017,6,Red Snapper,35542,14
2017,7,Red Snapper,27479,18
2017,8,Red Snapper,20114,26
2017,9,Red Snapper,2149,49
2017,10,Red Snapper,0,0
2017,11,Red Snapper,0,0
2018,2,Red Snapper,0,0
2018,3,Red Snapper,0,0
2018,4,Red Snapper,0,0
2018,5,Red Snapper,21494,32
2018,6,Red Snapper,28375,14
2018,7,Red Snapper,43330,13
2018,8,Red Snapper,7869,29
2018,9,Red Snapper,0,0
2018,10,Red Snapper,0,0
2018,11,Red Snapper,0,0
