year,month,species,landings_n,rse
2014,1,Sheepshead,2482,45
2014,2,Sheepshead,7514,45
2014,3,Sheepshead,9027,30
2014,4,Sheepshead,8867,29
2014,5,Sheepshead,14747,22
2014,6,Sheepshead,16914,21
2014,7,Sheepshead,6662,17
2014,8,Sheepshead,3404,29
2014,9,Sheepshead,8057,29
2014,10,Sheepshead,30114,23
2014,11,Sheepshead,123864,61
2014,12,Sheepshead,30100,30
2015,1,Sheepshead,19650,33
2015,2,Sheepshead,4905,46
2015,3,Sheepshead,45124,30
2015,4,Sheepshead,21689,28
2015,5,Sheepshead,16343,20
2015,6,Sheepshead,21692,22
2015,7,Sheepshead,15926,15
2015,8,Sheepshead,10448,31
2015,9,Sheepshead,7823,24
2015,10,Sheepshead,21361,15
2015,11,Sheepshead,25579,17
2015,12,Sheepshead,47295,19
2016,1,Sheepshead,36524,40
2016,2,Sheepshead,40293,37
2016,3,Sheepshead,8174,20
2016,4,Sheepshead,13967,20
2016,5,Sheepshead,19910,20
2016,6,Sheepshead,17459,15
2016,7,Sheepshead,9798,27
2016,8,Sheepshead,2945,37
2016,9,Sheepshead,5054,28
2016,10,Sheepshead,14641,34
2016,11,Sheepshead,17605,22
2016,12,Sheepshead,38528,31
2017,1,Sheepshead,13620,29
2017,2,Sheepshead,37827,53
2017,3,Sheepshead,369203,63
2017,4,Sheepshead,9440,22
2017,5,Sheepshead,18740,20
2017,6,Sheepshead,10061,18
2017,7,Sheepshead,7640,19
2017,8,Sheepshead,3277,31
2017,9,Sheepshead,6380,23
2017,10,Sheepshead,10463,29
2017,11,Sheepshead,49963,24
2017,12,Sheepshead,15767,39
2018,1,Sheepshead,20739,55
2018,2,Sheepshead,6192,39
2018,3,Sheepshead,77972,39
2018,4,Sheepshead,13121,22
2018,5,Sheepshead,25208,14
2018,6,Sheepshead,11682,19
2018,7,Sheepshead,11560,53
2018,8,Sheepshead,7429,20
2018,9,Sheepshead,6642,26
2018,10,Sheepshead,13026,14
2018,11,Sheepshead,89064,21
2018,12,Sheepshead,25130,34
