year,month,species,landings_n,rse
2014,1,Southern Flounder,1200,46
2014,2,Southern Flounder,934,36
2014,3,Southern Flounder,4591,46
2014,4,Southern Flounder,5228,19
2014,5,Southern Flounder,10616,15
2014,6,Southern Flounder,13424,28
2014,7,Southern Flounder,11006,32
2014,8,Southern Flounder,16019,30
2014,9,Southern Flounder,16841,26
2014,10,Southern Flounder,40314,19
2014,11,Southern Flounder,59322,22
2014,12,Southern Flounder,29383,32
2015,1,Southern Flounder,756,35
2015,2,Southern Flounder,6929,42
2015,3,Southern Flounder,9574,34
2015,4,Southern Flounder,9325,27
2015,5,Southern Flounder,13754,23
2015,6,Southern Flounder,20685,24
2015,7,Southern Flounder,27167,25
2015,8,Southern Flounder,11672,17
2015,9,Southern Flounder,19628,27
2015,10,Southern Flounder,38385,24
2015,11,Southern Flounder,48586,21
2015,12,Southern Flounder,10909,31
2016,1,Southern Flounder,1708,33
2016,2,Southern Flounder,5460,23
2016,3,Southern Flounder,18753,28
2016,4,Southern Flounder,18747,31
2016,5,Southern Flounder,52558,24
2016,6,Southern Flounder,13103,19
2016,7,Southern Flounder,8161,17
2016,8,Southern Flounder,3498,28
2016,9,Southern Flounder,26502,50
2016,10,Southern Flounder,30647,24
2016,11,Southern Flounder,41748,32
2016,12,Southern Flounder,1186,46
2017,1,Southern Flounder,8034,58
2017,2,Southern Flounder,3935,74
2017,3,Southern Flounder,7967,25
2017,4,Southern Flounder,4019,34
2017,5,Southern Flounder,7089,41
2017,6,Southern Flounder,5756,34
2017,7,Southern Flounder,4535,29
2017,8,Southern Flounder,5150,21
2017,9,Southern Flounder,8352,34
2017,10,Southern Flounder,14916,40
2017,11,Southern Flounder,22589,24
2017,12,Southern Flounder,1325,35
2018,1,Southern Flounder,1201,51
2018,2,Southern Flounder,28,102
2018,3,Southern Flounder,1501,30
2018,4,Southern Flounder,4350,23
2018,5,Southern Flounder,7451,27
2018,6,Southern Flounder,3400,28
2018,7,Southern Flounder,2416,29
2018,8,Southern Flounder,4272,23
2018,9,Southern Flounder,10936,35
2018,10,Southern Flounder,15994,22
2018,11,Southern Flounder,9459,25
2018,12,Southern Flounder,3520,24
