year,month,species,landings_n,rse
2014,1,Spotted Seatrout,55692,39
2014,2,Spotted Seatrout,38421,22
2014,3,Spotted Seatrout,47672,26
2014,4,Spotted Seatrout,58118,20
2014,5,Spotted Seatrout,326666,13
2014,6,Spotted Seatrout,368926,15
2014,7,Spotted Seatrout,232593,10
2014,8,Spotted Seatrout,162686,25
2014,9,Spotted Seatrout,191751,12
2014,10,Spotted Seatrout,586526,11
2014,11,Spotted Seatrout,808582,16
2014,12,Spotted Seatrout,353382,16
2015,1,Spotted Seatrout,39436,28
2015,2,Spotted Seatrout,70668,31
2015,3,Spotted Seatrout,74234,19
2015,4,Spotted Seatrout,361576,16
2015,5,Spotted Seatrout,334362,13
2015,6,Spotted Seatrout,849435,13
2015,7,Spotted Seatrout,600530,14
2015,8,Spotted Seatrout,373278,15
2015,9,Spotted Seatrout,189046,25
2015,10,Spotted Seatrout,337924,11
2015,11,Spotted Seatrout,608287,14
2015,12,Spotted Seatrout,454640,15
2016,1,Spotted Seatrout,335397,21
2016,2,Spotted Seatrout,89609,27
2016,3,Spotted Seatrout,184459,20
2016,4,Spotted Seatrout,397777,14
2016,5,Spotted Seatrout,723232,11
2016,6,Spotted Seatrout,823218,11
2016,7,Spotted Seatrout,313202,10
2016,8,Spotted Seatrout,146807,25
2016,9,Spotted Seatrout,258667,18
2016,10,Spotted Seatrout,474839,12
2016,11,Spotted Seatrout,866629,15
2016,12,Spotted Seatrout,712658,17
2017,1,Spotted Seatrout,191675,19
2017,2,Spotted Seatrout,172283,29
2017,3,Spotted Seatrout,342875,16
2017,4,Spotted Seatrout,407652,15
2017,5,Spotted Seatrout,848613,12
2017,6,Spotted Seatrout,761763,11
2017,7,Spotted Seatrout,523605,10
2017,8,Spotted Seatrout,341242,12
2017,9,Spotted Seatrout,190530,15
2017,10,Spotted Seatrout,293984,14
2017,11,Spotted Seatrout,812255,11
2017,12,Spotted Seatrout,249252,18
2018,1,Spotted Seatrout,8365,57
2018,2,Spotted Seatrout,25319,29
2018,3,Spotted Seatrout,85288,18
2018,4,Spotted Seatrout,176467,23
2018,5,Spotted Seatrout,438722,14
2018,6,Spotted Seatrout,262830,14
2018,7,Spotted Seatrout,315989,15
2018,8,Spotted Seatrout,211901,12
2018,9,Spotted Seatrout,115511,16
2018,10,Spotted Seatrout,263568,13
2018,11,Spotted Seatrout,529933,18
2018,12,Spotted Seatrout,143213,25
