Year,State,Species,Number,Pounds
1997,FLW_Keys/AL,Atlantic_Croaker,,
1998,FLW_Keys/AL,Atlantic_Croaker,121,158.181485
1999,FLW_Keys/AL,Atlantic_Croaker,,
2000,FLW_Keys/AL,Atlantic_Croaker,,
2001,FLW_Keys/AL,Atlantic_Croaker,,
2006,FLW_Keys/AL,Atlantic_Croaker,,
2009,FLW_Keys/AL,Atlantic_Croaker,,
2011,FLW_Keys/AL,Atlantic_Croaker,,
1997,GA/FLE,Atlantic_Croaker,,
1999,GA/FLE,Atlantic_Croaker,,
2000,GA/FLE,Atlantic_Croaker,,
2001,GA/FLE,Atlantic_Croaker,,
2004,GA/FLE,Atlantic_Croaker,,
2007,GA/FLE,Atlantic_Croaker,,
2008,GA/FLE,Atlantic_Croaker,62,51.57928952
2009,GA/FLE,Atlantic_Croaker,42,36.21308812
2010,GA/FLE,Atlantic_Croaker,,
2011,GA/FLE,Atlantic_Croaker,185,139.7817265
2012,GA/FLE,Atlantic_Croaker,328,268.5888546
2013,GA/FLE,Atlantic_Croaker,577,450.0004205
2014,GA/FLE,Atlantic_Croaker,249,196.3566849
2015,GA/FLE,Atlantic_Croaker,114,126.1108779
2016,GA/FLE,Atlantic_Croaker,53,25.1216449
2017,GA/FLE,Atlantic_Croaker,35,30.04456136
2018,GA/FLE,Atlantic_Croaker,52,47.99237278
1996,LA/MS,Atlantic_Croaker,104,130.1387186
1997,LA/MS,Atlantic_Croaker,,
1998,LA/MS,Atlantic_Croaker,,
1999,LA/MS,Atlantic_Croaker,,
2000,LA/MS,Atlantic_Croaker,,
2008,LA/MS,Atlantic_Croaker,,
2009,LA/MS,Atlantic_Croaker,,
2011,LA/MS,Atlantic_Croaker,60,66.4252006
2012,LA/MS,Atlantic_Croaker,,
2013,LA/MS,Atlantic_Croaker,27,83.3015667
2014,LA/MS,Atlantic_Croaker,15,45.11313906
2015,LA/MS,Atlantic_Croaker,30,15.65059738
2016,LA/MS,Atlantic_Croaker,82,169.2927698
2017,LA/MS,Atlantic_Croaker,68,57.02911016
2018,LA/MS,Atlantic_Croaker,130,16.5126038
1996,NC,Atlantic_Croaker,,
2004,NC,Atlantic_Croaker,,
2005,NC,Atlantic_Croaker,,
2007,NC,Atlantic_Croaker,,
2010,NC,Atlantic_Croaker,,
2011,NC,Atlantic_Croaker,,
2014,NC,Atlantic_Croaker,15,8.8295031
2015,NC,Atlantic_Croaker,,
2016,NC,Atlantic_Croaker,,
2018,NC,Atlantic_Croaker,,
1996,SC,Atlantic_Croaker,,
1998,SC,Atlantic_Croaker,15,20.4809198
1999,SC,Atlantic_Croaker,82,130.7119198
2002,SC,Atlantic_Croaker,,
2004,SC,Atlantic_Croaker,,
2006,SC,Atlantic_Croaker,,
2008,SC,Atlantic_Croaker,,
2012,SC,Atlantic_Croaker,200,72.88253258
2013,SC,Atlantic_Croaker,,
2014,SC,Atlantic_Croaker,,
2015,SC,Atlantic_Croaker,,
2016,SC,Atlantic_Croaker,1031,488.6870923
2017,SC,Atlantic_Croaker,,
2018,SC,Atlantic_Croaker,1988,1113.617496
1996,TX,Atlantic_Croaker,,
2001,TX,Atlantic_Croaker,,
2007,TX,Atlantic_Croaker,,
2008,TX,Atlantic_Croaker,,
2009,TX,Atlantic_Croaker,,
2010,TX,Atlantic_Croaker,,
2011,TX,Atlantic_Croaker,,
2012,TX,Atlantic_Croaker,,
2013,TX,Atlantic_Croaker,,
2014,TX,Atlantic_Croaker,51,155.4742116
2015,TX,Atlantic_Croaker,28,14.90102658
2016,TX,Atlantic_Croaker,,
2017,TX,Atlantic_Croaker,17,13.6025054
2018,TX,Atlantic_Croaker,77,57.47664802
1996,FLW_Keys/AL,Black_Sea_Bass,16876,12291.08719
1997,FLW_Keys/AL,Black_Sea_Bass,28359,15507.62777
1998,FLW_Keys/AL,Black_Sea_Bass,19547,11402.8017
1999,FLW_Keys/AL,Black_Sea_Bass,13733,9604.912046
2000,FLW_Keys/AL,Black_Sea_Bass,11298,9265.312382
2001,FLW_Keys/AL,Black_Sea_Bass,10768,7077.425447
2002,FLW_Keys/AL,Black_Sea_Bass,3029,1985.216218
2003,FLW_Keys/AL,Black_Sea_Bass,9471,6179.175075
2004,FLW_Keys/AL,Black_Sea_Bass,5691,3738.57255
2005,FLW_Keys/AL,Black_Sea_Bass,6635,6129.593171
2006,FLW_Keys/AL,Black_Sea_Bass,2154,1555.271225
2007,FLW_Keys/AL,Black_Sea_Bass,8897,6496.164157
2008,FLW_Keys/AL,Black_Sea_Bass,8218,6198.965948
2009,FLW_Keys/AL,Black_Sea_Bass,5371,4046.703469
2010,FLW_Keys/AL,Black_Sea_Bass,3588,3980.516367
2011,FLW_Keys/AL,Black_Sea_Bass,7550,6623.932909
