year,wave,state,area,harvest.n,harvest.lb
1996,3,36,LIS,7967,20472
1996,4,36,LIS,3741,10583
1996,5,36,LIS,14867,28233
1996,6,36,LIS,0,0
1997,3,36,LIS,24948,70223
1997,4,36,LIS,0,0
1997,5,36,LIS,23593,35236
1997,6,36,LIS,37108,434255
1998,3,36,LIS,4871,10661
1998,4,36,LIS,542,2985
1998,5,36,LIS,45322,150721
1998,6,36,LIS,67946,249999
1999,3,36,LIS,21308,67249
1999,4,36,LIS,25652,82713
1999,5,36,LIS,29697,112463
1999,6,36,LIS,140376,447053
2000,3,36,LIS,5534,20132
2000,5,36,LIS,0,0
2000,6,36,LIS,9218,39092
2001,3,36,LIS,8991,33422
2001,4,36,LIS,0,0
2001,5,36,LIS,7078,33291
2001,6,36,LIS,10453,47286
2002,2,36,LIS,19616,58382
2002,3,36,LIS,0,0
2002,4,36,LIS,0,0
2002,6,36,LIS,736940,2480351
2003,3,36,LIS,1425,4042
2003,4,36,LIS,188,394
2003,5,36,LIS,43801,152420
2003,6,36,LIS,65314,179760
2004,3,36,LIS,21823,86998
2004,5,36,LIS,57003,227314
2004,6,36,LIS,331082,1104300
2005,2,36,LIS,81,153
2005,5,36,LIS,57202,197140
2005,6,36,LIS,83356,326745
2006,3,36,LIS,0,0
2006,4,36,LIS,0,0
2006,5,36,LIS,59566,210899
2006,6,36,LIS,95048,367329
2007,3,36,LIS,9760,30738
2007,5,36,LIS,150810,631156
2007,6,36,LIS,272158,938077
2008,4,36,LIS,0,0
2008,5,36,LIS,239850,990589
2008,6,36,LIS,203199,713095
2009,2,36,LIS,17455,72016
2009,4,36,LIS,0,0
2009,5,36,LIS,175784,910379
2009,6,36,LIS,165068,613296
2010,2,36,LIS,20430,78819
2010,3,36,LIS,21827,48121
2010,4,36,LIS,0,0
2010,5,36,LIS,103333,367434
2010,6,36,LIS,185642,605737
2011,2,36,LIS,254,952
2011,5,36,LIS,44715,167055
2011,6,36,LIS,134523,444378
2012,5,36,LIS,68643,265422
2012,6,36,LIS,118755,516938
2013,3,36,LIS,0,0
2013,4,36,LIS,0,0
2013,5,36,LIS,14710,72784
2013,6,36,LIS,143855,849519
2014,3,36,LIS,0,0
2014,5,36,LIS,32255,121180
2014,6,36,LIS,35157,164737
2015,3,36,LIS,0,0
2015,5,36,LIS,150155,522400
2015,6,36,LIS,248394,922673
2017,4,36,LIS,2087,4602
2017,5,36,LIS,33457,110318
2017,6,36,LIS,226566,746785
2018,3,36,LIS,0,0
2018,4,36,LIS,0,0
2018,5,36,LIS,19299,70106
2018,6,36,LIS,85285,281744
2019,3,36,LIS,0,0
2019,5,36,LIS,211782,795622
2019,6,36,LIS,151683,583624
1996,3,9,LIS,42458,135894
1996,4,9,LIS,41360,135325
1996,5,9,LIS,62477,199448
1996,6,9,LIS,4229,19577
1997,3,9,LIS,3753,13178
1997,4,9,LIS,3148,7519
1997,5,9,LIS,25751,69333
1997,6,9,LIS,50500,125696
1998,2,9,LIS,5862,24581
1998,3,9,LIS,6627,28457
1998,4,9,LIS,10897,40870
1998,5,9,LIS,14355,56441
1998,6,9,LIS,72505,241588
1999,3,9,LIS,0,0
1999,4,9,LIS,813,2029
1999,5,9,LIS,18193,62703
1999,6,9,LIS,25576,88608
2000,3,9,LIS,0,0
2000,4,9,LIS,826,2194
2000,5,9,LIS,9152,26645
2000,6,9,LIS,58102,227364
2001,3,9,LIS,0,0
2001,4,9,LIS,3750,15196
2001,5,9,LIS,4762,16620
2001,6,9,LIS,43428,173295
2002,2,9,LIS,5668,22976
2002,3,9,LIS,1425,9265
2002,4,9,LIS,10571,32969
2002,5,9,LIS,64834,252007
2002,6,9,LIS,98255,494448
2003,3,9,LIS,13999,47379
2003,4,9,LIS,23392,75017
2003,5,9,LIS,127805,513333
2003,6,9,LIS,172671,544500
2004,3,9,LIS,1536,12830
2004,4,9,LIS,16938,77371
2004,5,9,LIS,6897,32485
2004,6,9,LIS,5559,21594
2005,3,9,LIS,0,0
2005,4,9,LIS,1683,7794
2005,5,9,LIS,42573,164097
2005,6,9,LIS,31592,118959
2006,3,9,LIS,0,0
2006,4,9,LIS,21992,102852
2006,5,9,LIS,115442,484698
2006,6,9,LIS,224544,1002079
2007,3,9,LIS,71695,240779
2007,4,9,LIS,10373,46610
2007,5,9,LIS,146129,558513
2007,6,9,LIS,316515,1263918
2008,3,9,LIS,5288,25063
2008,4,9,LIS,11656,36179
2008,5,9,LIS,208512,958779
2008,6,9,LIS,19233,57387
2009,3,9,LIS,0,0
2009,4,9,LIS,18729,61936
2009,5,9,LIS,3497,12769
2009,6,9,LIS,334654,1279265
2010,3,9,LIS,0,0
