Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,MARCH/APRIL,MAINE,ATLANTIC COD,31439,89.7,0
FINAL,1990,MARCH/APRIL,MASSACHUSETTS,ATLANTIC COD,247630,38.9,0
FINAL,1990,MARCH/APRIL,NEW JERSEY,ATLANTIC COD,784,94.5,0
FINAL,1990,MARCH/APRIL,NEW YORK,ATLANTIC COD,186733,60.2,0
FINAL,1990,MARCH/APRIL,RHODE ISLAND,ATLANTIC COD,33668,79.5,0
FINAL,1990,MAY/JUNE,CONNECTICUT,ATLANTIC COD,654,101.6,0
FINAL,1990,MAY/JUNE,MAINE,ATLANTIC COD,843960,50.6,0
FINAL,1990,MAY/JUNE,MASSACHUSETTS,ATLANTIC COD,810692,33.3,0
FINAL,1990,MAY/JUNE,NEW HAMPSHIRE,ATLANTIC COD,120908,52.9,0
FINAL,1990,MAY/JUNE,NEW YORK,ATLANTIC COD,74630,66.7,0
FINAL,1990,MAY/JUNE,RHODE ISLAND,ATLANTIC COD,85433,44.4,0
FINAL,1990,JULY/AUGUST,CONNECTICUT,ATLANTIC COD,199,101.5,0
FINAL,1990,JULY/AUGUST,MAINE,ATLANTIC COD,62062,44.4,0
FINAL,1990,JULY/AUGUST,MASSACHUSETTS,ATLANTIC COD,189052,41.8,0
FINAL,1990,JULY/AUGUST,NEW HAMPSHIRE,ATLANTIC COD,76155,47.4,0
FINAL,1990,JULY/AUGUST,NEW YORK,ATLANTIC COD,132505,50.4,0
FINAL,1990,JULY/AUGUST,RHODE ISLAND,ATLANTIC COD,47409,71.1,0
FINAL,1990,SEPTEMBER/OCTOBER,CONNECTICUT,ATLANTIC COD,1389,36,0
FINAL,1990,SEPTEMBER/OCTOBER,MAINE,ATLANTIC COD,722083,54.9,0
FINAL,1990,SEPTEMBER/OCTOBER,MASSACHUSETTS,ATLANTIC COD,164680,30.8,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,ATLANTIC COD,16627,51,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,ATLANTIC COD,56340,79.4,0
FINAL,1990,SEPTEMBER/OCTOBER,RHODE ISLAND,ATLANTIC COD,9648,58,0
FINAL,1990,NOVEMBER/DECEMBER,MASSACHUSETTS,ATLANTIC COD,445098,39.5,0
FINAL,1990,NOVEMBER/DECEMBER,NEW YORK,ATLANTIC COD,100901,41.9,0
FINAL,1990,NOVEMBER/DECEMBER,RHODE ISLAND,ATLANTIC COD,28016,67.2,0
FINAL,1991,MARCH/APRIL,CONNECTICUT,ATLANTIC COD,6505,105.9,0
FINAL,1991,MARCH/APRIL,DELAWARE,ATLANTIC COD,32,100,0
FINAL,1991,MARCH/APRIL,MAINE,ATLANTIC COD,32013,78.7,0
FINAL,1991,MARCH/APRIL,MASSACHUSETTS,ATLANTIC COD,304919,31.4,0
FINAL,1991,MARCH/APRIL,NEW YORK,ATLANTIC COD,105253,62.9,0
FINAL,1991,MARCH/APRIL,RHODE ISLAND,ATLANTIC COD,299894,74.9,0
FINAL,1991,MAY/JUNE,CONNECTICUT,ATLANTIC COD,338,104,0
FINAL,1991,MAY/JUNE,MAINE,ATLANTIC COD,301262,52.7,0
FINAL,1991,MAY/JUNE,MASSACHUSETTS,ATLANTIC COD,548710,26.1,0
FINAL,1991,MAY/JUNE,NEW HAMPSHIRE,ATLANTIC COD,456650,45.1,0
FINAL,1991,MAY/JUNE,NEW YORK,ATLANTIC COD,102904,87.3,0
FINAL,1991,MAY/JUNE,RHODE ISLAND,ATLANTIC COD,268686,64.4,0
FINAL,1991,JULY/AUGUST,MAINE,ATLANTIC COD,43476,51.3,0
FINAL,1991,JULY/AUGUST,MASSACHUSETTS,ATLANTIC COD,84812,35,0
FINAL,1991,JULY/AUGUST,NEW HAMPSHIRE,ATLANTIC COD,29049,37.2,0
FINAL,1991,JULY/AUGUST,NEW YORK,ATLANTIC COD,2560,104.8,0
FINAL,1991,JULY/AUGUST,RHODE ISLAND,ATLANTIC COD,39428,42.7,0
FINAL,1991,SEPTEMBER/OCTOBER,MAINE,ATLANTIC COD,157574,65,0
FINAL,1991,SEPTEMBER/OCTOBER,MASSACHUSETTS,ATLANTIC COD,103498,41.6,0
FINAL,1991,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,ATLANTIC COD,26540,62.9,0
FINAL,1991,SEPTEMBER/OCTOBER,NEW YORK,ATLANTIC COD,2595,101.5,0
FINAL,1991,NOVEMBER/DECEMBER,MASSACHUSETTS,ATLANTIC COD,314097,49.2,0
FINAL,1991,NOVEMBER/DECEMBER,NEW JERSEY,ATLANTIC COD,0,.,0
FINAL,1991,NOVEMBER/DECEMBER,NEW YORK,ATLANTIC COD,632686,43.8,0
FINAL,1991,NOVEMBER/DECEMBER,RHODE ISLAND,ATLANTIC COD,103019,60.7,0
FINAL,1992,MARCH/APRIL,CONNECTICUT,ATLANTIC COD,3113,100,0
FINAL,1992,MARCH/APRIL,MAINE,ATLANTIC COD,58917,.,0
FINAL,1992,MARCH/APRIL,MASSACHUSETTS,ATLANTIC COD,391968,52,0
FINAL,1992,MARCH/APRIL,NEW JERSEY,ATLANTIC COD,40972,96.7,0
FINAL,1992,MARCH/APRIL,NEW YORK,ATLANTIC COD,364876,58.1,0
FINAL,1992,MARCH/APRIL,RHODE ISLAND,ATLANTIC COD,7969,117.7,0
