Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,MARCH/APRIL,MAINE,ATLANTIC COD,15050,90.7
FINAL,1990,MARCH/APRIL,MASSACHUSETTS,ATLANTIC COD,173380,41.3
FINAL,1990,MARCH/APRIL,NEW JERSEY,ATLANTIC COD,557,98.2
FINAL,1990,MARCH/APRIL,NEW YORK,ATLANTIC COD,65750,56.4
FINAL,1990,MARCH/APRIL,RHODE ISLAND,ATLANTIC COD,13772,80.7
FINAL,1990,MAY/JUNE,CONNECTICUT,ATLANTIC COD,507,101.6
FINAL,1990,MAY/JUNE,MAINE,ATLANTIC COD,430212,53.7
FINAL,1990,MAY/JUNE,MASSACHUSETTS,ATLANTIC COD,495308,37
FINAL,1990,MAY/JUNE,NEW HAMPSHIRE,ATLANTIC COD,62478,54.7
FINAL,1990,MAY/JUNE,NEW YORK,ATLANTIC COD,50901,67.8
FINAL,1990,MAY/JUNE,RHODE ISLAND,ATLANTIC COD,32045,44.5
FINAL,1990,JULY/AUGUST,CONNECTICUT,ATLANTIC COD,86,101.5
FINAL,1990,JULY/AUGUST,MAINE,ATLANTIC COD,28658,42.4
FINAL,1990,JULY/AUGUST,MASSACHUSETTS,ATLANTIC COD,112937,44.3
FINAL,1990,JULY/AUGUST,NEW HAMPSHIRE,ATLANTIC COD,51252,50.8
FINAL,1990,JULY/AUGUST,NEW YORK,ATLANTIC COD,72478,49
FINAL,1990,JULY/AUGUST,RHODE ISLAND,ATLANTIC COD,17122,71
FINAL,1990,SEPTEMBER/OCTOBER,CONNECTICUT,ATLANTIC COD,323,36
FINAL,1990,SEPTEMBER/OCTOBER,MAINE,ATLANTIC COD,287773,52.6
FINAL,1990,SEPTEMBER/OCTOBER,MASSACHUSETTS,ATLANTIC COD,103688,32.7
FINAL,1990,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,ATLANTIC COD,9734,51.2
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,ATLANTIC COD,9679,78.9
FINAL,1990,SEPTEMBER/OCTOBER,RHODE ISLAND,ATLANTIC COD,3096,71.4
FINAL,1990,NOVEMBER/DECEMBER,MASSACHUSETTS,ATLANTIC COD,206127,36.3
FINAL,1990,NOVEMBER/DECEMBER,NEW YORK,ATLANTIC COD,30718,44.2
FINAL,1990,NOVEMBER/DECEMBER,RHODE ISLAND,ATLANTIC COD,10748,71.9
FINAL,1991,MARCH/APRIL,CONNECTICUT,ATLANTIC COD,1886,105.9
FINAL,1991,MARCH/APRIL,DELAWARE,ATLANTIC COD,2,100
FINAL,1991,MARCH/APRIL,MAINE,ATLANTIC COD,17050,78.4
FINAL,1991,MARCH/APRIL,MASSACHUSETTS,ATLANTIC COD,133694,31.3
FINAL,1991,MARCH/APRIL,NEW YORK,ATLANTIC COD,35715,75.5
FINAL,1991,MARCH/APRIL,RHODE ISLAND,ATLANTIC COD,63112,66.5
FINAL,1991,MAY/JUNE,CONNECTICUT,ATLANTIC COD,51,104
FINAL,1991,MAY/JUNE,MAINE,ATLANTIC COD,144029,52.8
FINAL,1991,MAY/JUNE,MASSACHUSETTS,ATLANTIC COD,269838,24.8
FINAL,1991,MAY/JUNE,NEW HAMPSHIRE,ATLANTIC COD,239236,45.2
FINAL,1991,MAY/JUNE,NEW YORK,ATLANTIC COD,44002,90.2
FINAL,1991,MAY/JUNE,RHODE ISLAND,ATLANTIC COD,92196,68.2
FINAL,1991,JULY/AUGUST,MAINE,ATLANTIC COD,16303,51.8
FINAL,1991,JULY/AUGUST,MASSACHUSETTS,ATLANTIC COD,42516,36
FINAL,1991,JULY/AUGUST,NEW HAMPSHIRE,ATLANTIC COD,21434,33.8
FINAL,1991,JULY/AUGUST,NEW YORK,ATLANTIC COD,465,104.8
FINAL,1991,JULY/AUGUST,RHODE ISLAND,ATLANTIC COD,8371,47.6
FINAL,1991,SEPTEMBER/OCTOBER,MAINE,ATLANTIC COD,69879,76.3
FINAL,1991,SEPTEMBER/OCTOBER,MASSACHUSETTS,ATLANTIC COD,77565,38.5
FINAL,1991,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,ATLANTIC COD,13332,63.4
FINAL,1991,SEPTEMBER/OCTOBER,NEW YORK,ATLANTIC COD,818,101.5
FINAL,1991,NOVEMBER/DECEMBER,MASSACHUSETTS,ATLANTIC COD,160411,51.8
FINAL,1991,NOVEMBER/DECEMBER,NEW JERSEY,ATLANTIC COD,0,.
FINAL,1991,NOVEMBER/DECEMBER,NEW YORK,ATLANTIC COD,128425,44.5
FINAL,1991,NOVEMBER/DECEMBER,RHODE ISLAND,ATLANTIC COD,20723,58.2
FINAL,1992,MARCH/APRIL,CONNECTICUT,ATLANTIC COD,1136,100
FINAL,1992,MARCH/APRIL,MAINE,ATLANTIC COD,19903,.
FINAL,1992,MARCH/APRIL,MASSACHUSETTS,ATLANTIC COD,251175,51.3
FINAL,1992,MARCH/APRIL,NEW JERSEY,ATLANTIC COD,4513,92.3
FINAL,1992,MARCH/APRIL,NEW YORK,ATLANTIC COD,116635,47.8
FINAL,1992,MARCH/APRIL,RHODE ISLAND,ATLANTIC COD,1265,117.7
FINAL,1992,MAY/JUNE,CONNECTICUT,ATLANTIC COD,13,100
FINAL,1992,MAY/JUNE,MAINE,ATLANTIC COD,2971,97.8
FINAL,1992,MAY/JUNE,MASSACHUSETTS,ATLANTIC COD,84705,35.2
FINAL,1992,MAY/JUNE,NEW HAMPSHIRE,ATLANTIC COD,13311,40.8
FINAL,1992,MAY/JUNE,NEW JERSEY,ATLANTIC COD,636,80.2
FINAL,1992,MAY/JUNE,NEW YORK,ATLANTIC COD,108780,52.7
FINAL,1992,MAY/JUNE,RHODE ISLAND,ATLANTIC COD,45764,63.2
FINAL,1992,JULY/AUGUST,MAINE,ATLANTIC COD,6206,71.3
FINAL,1992,JULY/AUGUST,MASSACHUSETTS,ATLANTIC COD,32327,82.6
