Estimate Status,Year,Wave,Common Name,Total Harvest n (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,ATLANTIC CROAKER,15213,59.4
FINAL,1990,MARCH/APRIL,ATLANTIC CROAKER,262437,59.3
FINAL,1990,MAY/JUNE,ATLANTIC CROAKER,124677,59
FINAL,1990,JULY/AUGUST,ATLANTIC CROAKER,421433,57.4
FINAL,1990,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,138076,68.1
FINAL,1990,NOVEMBER/DECEMBER,ATLANTIC CROAKER,344085,53.4
FINAL,1991,JANUARY/FEBRUARY,ATLANTIC CROAKER,42040,82.1
FINAL,1991,MARCH/APRIL,ATLANTIC CROAKER,291958,96.9
FINAL,1991,MAY/JUNE,ATLANTIC CROAKER,556073,37.4
FINAL,1991,JULY/AUGUST,ATLANTIC CROAKER,1736330,51.3
FINAL,1991,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,944452,57.8
FINAL,1991,NOVEMBER/DECEMBER,ATLANTIC CROAKER,231613,47.3
FINAL,1992,JANUARY/FEBRUARY,ATLANTIC CROAKER,499397,68
FINAL,1992,MARCH/APRIL,ATLANTIC CROAKER,219881,40.4
FINAL,1992,MAY/JUNE,ATLANTIC CROAKER,929804,29
FINAL,1992,JULY/AUGUST,ATLANTIC CROAKER,1324567,31.8
FINAL,1992,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,353369,47.7
FINAL,1992,NOVEMBER/DECEMBER,ATLANTIC CROAKER,203649,39
FINAL,1993,JANUARY/FEBRUARY,ATLANTIC CROAKER,14854,73
FINAL,1993,MARCH/APRIL,ATLANTIC CROAKER,132995,57.7
FINAL,1993,MAY/JUNE,ATLANTIC CROAKER,325289,38.6
FINAL,1993,JULY/AUGUST,ATLANTIC CROAKER,467718,35.3
FINAL,1993,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,370185,29.6
FINAL,1993,NOVEMBER/DECEMBER,ATLANTIC CROAKER,395634,50.3
FINAL,1994,JANUARY/FEBRUARY,ATLANTIC CROAKER,15859,71.1
FINAL,1994,MARCH/APRIL,ATLANTIC CROAKER,103854,36.8
FINAL,1994,MAY/JUNE,ATLANTIC CROAKER,291537,35.4
FINAL,1994,JULY/AUGUST,ATLANTIC CROAKER,1742128,31.1
FINAL,1994,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,356308,42
FINAL,1994,NOVEMBER/DECEMBER,ATLANTIC CROAKER,399089,39.2
FINAL,1995,JANUARY/FEBRUARY,ATLANTIC CROAKER,51383,62.3
FINAL,1995,MARCH/APRIL,ATLANTIC CROAKER,143301,58.9
FINAL,1995,MAY/JUNE,ATLANTIC CROAKER,72004,37.6
FINAL,1995,JULY/AUGUST,ATLANTIC CROAKER,500526,65.9
FINAL,1995,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,268659,30.4
FINAL,1995,NOVEMBER/DECEMBER,ATLANTIC CROAKER,193742,67.7
FINAL,1996,JANUARY/FEBRUARY,ATLANTIC CROAKER,45358,58.9
FINAL,1996,MARCH/APRIL,ATLANTIC CROAKER,151993,67.3
FINAL,1996,MAY/JUNE,ATLANTIC CROAKER,29376,63.2
FINAL,1996,JULY/AUGUST,ATLANTIC CROAKER,327926,59.1
FINAL,1996,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,147833,32.3
FINAL,1996,NOVEMBER/DECEMBER,ATLANTIC CROAKER,34145,49.9
FINAL,1997,JANUARY/FEBRUARY,ATLANTIC CROAKER,2376,101.1
FINAL,1997,MARCH/APRIL,ATLANTIC CROAKER,42483,53.1
FINAL,1997,MAY/JUNE,ATLANTIC CROAKER,228644,51.1
FINAL,1997,JULY/AUGUST,ATLANTIC CROAKER,111228,77.5
FINAL,1997,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,137655,49.6
FINAL,1997,NOVEMBER/DECEMBER,ATLANTIC CROAKER,254958,76.5
FINAL,1998,JANUARY/FEBRUARY,ATLANTIC CROAKER,80860,51.9
FINAL,1998,MARCH/APRIL,ATLANTIC CROAKER,10883,99
FINAL,1998,MAY/JUNE,ATLANTIC CROAKER,505158,69
FINAL,1998,JULY/AUGUST,ATLANTIC CROAKER,189810,42.8
FINAL,1998,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,94706,45.4
FINAL,1998,NOVEMBER/DECEMBER,ATLANTIC CROAKER,188724,57.5
FINAL,1999,JANUARY/FEBRUARY,ATLANTIC CROAKER,72224,40.7
FINAL,1999,MARCH/APRIL,ATLANTIC CROAKER,92007,34.1
FINAL,1999,MAY/JUNE,ATLANTIC CROAKER,836760,85.6
FINAL,1999,JULY/AUGUST,ATLANTIC CROAKER,307978,43.9
FINAL,1999,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,657430,60.8
FINAL,1999,NOVEMBER/DECEMBER,ATLANTIC CROAKER,736444,33.3
FINAL,2000,JANUARY/FEBRUARY,ATLANTIC CROAKER,108191,42.5
FINAL,2000,MARCH/APRIL,ATLANTIC CROAKER,337238,49.6
FINAL,2000,MAY/JUNE,ATLANTIC CROAKER,356793,38.3
FINAL,2000,JULY/AUGUST,ATLANTIC CROAKER,768249,32.9
FINAL,2000,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,337432,63.2
FINAL,2000,NOVEMBER/DECEMBER,ATLANTIC CROAKER,255626,43.3
FINAL,2001,JANUARY/FEBRUARY,ATLANTIC CROAKER,75804,49.8
FINAL,2001,MARCH/APRIL,ATLANTIC CROAKER,106712,72.2
FINAL,2001,MAY/JUNE,ATLANTIC CROAKER,216019,55.6
FINAL,2001,JULY/AUGUST,ATLANTIC CROAKER,259387,33.4
FINAL,2001,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,828247,32.1
FINAL,2001,NOVEMBER/DECEMBER,ATLANTIC CROAKER,799618,39.7
FINAL,2002,JANUARY/FEBRUARY,ATLANTIC CROAKER,101418,42.3
FINAL,2002,MARCH/APRIL,ATLANTIC CROAKER,152122,58.2
FINAL,2002,MAY/JUNE,ATLANTIC CROAKER,175644,36.8
FINAL,2002,JULY/AUGUST,ATLANTIC CROAKER,133381,42
FINAL,2002,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,304682,53.6
FINAL,2002,NOVEMBER/DECEMBER,ATLANTIC CROAKER,351140,54.8
FINAL,2003,JANUARY/FEBRUARY,ATLANTIC CROAKER,20446,58.7
FINAL,2003,MARCH/APRIL,ATLANTIC CROAKER,200813,42.5
FINAL,2003,MAY/JUNE,ATLANTIC CROAKER,174815,62.1
FINAL,2003,JULY/AUGUST,ATLANTIC CROAKER,449109,37.1
FINAL,2003,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,222116,29.7
FINAL,2003,NOVEMBER/DECEMBER,ATLANTIC CROAKER,42278,59.9
FINAL,2004,JANUARY/FEBRUARY,ATLANTIC CROAKER,43574,84.7
FINAL,2004,MARCH/APRIL,ATLANTIC CROAKER,101370,53
FINAL,2004,MAY/JUNE,ATLANTIC CROAKER,626300,40.5
FINAL,2004,JULY/AUGUST,ATLANTIC CROAKER,219991,35.5
FINAL,2004,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,669488,37.1
FINAL,2004,NOVEMBER/DECEMBER,ATLANTIC CROAKER,377461,38.6
FINAL,2005,JANUARY/FEBRUARY,ATLANTIC CROAKER,9706,95.9
FINAL,2005,MARCH/APRIL,ATLANTIC CROAKER,21336,59.4
FINAL,2005,MAY/JUNE,ATLANTIC CROAKER,74026,45.4
FINAL,2005,JULY/AUGUST,ATLANTIC CROAKER,215294,43.4
FINAL,2005,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,379583,73.4
FINAL,2005,NOVEMBER/DECEMBER,ATLANTIC CROAKER,459666,65.1
FINAL,2006,JANUARY/FEBRUARY,ATLANTIC CROAKER,94606,79.8
FINAL,2006,MARCH/APRIL,ATLANTIC CROAKER,36681,47
FINAL,2006,MAY/JUNE,ATLANTIC CROAKER,29399,59.8
FINAL,2006,JULY/AUGUST,ATLANTIC CROAKER,103145,41.7
FINAL,2006,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,514451,38.7
FINAL,2006,NOVEMBER/DECEMBER,ATLANTIC CROAKER,86803,49.4
FINAL,2007,JANUARY/FEBRUARY,ATLANTIC CROAKER,26513,44.8
FINAL,2007,MARCH/APRIL,ATLANTIC CROAKER,161803,60.5
FINAL,2007,MAY/JUNE,ATLANTIC CROAKER,197545,41.7
FINAL,2007,JULY/AUGUST,ATLANTIC CROAKER,1478132,75.4
FINAL,2007,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,202817,59
FINAL,2007,NOVEMBER/DECEMBER,ATLANTIC CROAKER,226961,49.4
FINAL,2008,JANUARY/FEBRUARY,ATLANTIC CROAKER,96405,55
FINAL,2008,MARCH/APRIL,ATLANTIC CROAKER,220863,61.3
FINAL,2008,MAY/JUNE,ATLANTIC CROAKER,116364,36
FINAL,2008,JULY/AUGUST,ATLANTIC CROAKER,95011,34.4
FINAL,2008,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,661105,41.6
FINAL,2008,NOVEMBER/DECEMBER,ATLANTIC CROAKER,175066,37
FINAL,2009,JANUARY/FEBRUARY,ATLANTIC CROAKER,179517,75.6
FINAL,2009,MARCH/APRIL,ATLANTIC CROAKER,608342,45.1
FINAL,2009,MAY/JUNE,ATLANTIC CROAKER,223893,32.6
FINAL,2009,JULY/AUGUST,ATLANTIC CROAKER,473850,35.6
FINAL,2009,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,745897,31
FINAL,2009,NOVEMBER/DECEMBER,ATLANTIC CROAKER,239451,56.7
FINAL,2010,JANUARY/FEBRUARY,ATLANTIC CROAKER,47984,79.6
FINAL,2010,MARCH/APRIL,ATLANTIC CROAKER,65739,63.7
FINAL,2010,MAY/JUNE,ATLANTIC CROAKER,256153,33.3
FINAL,2010,JULY/AUGUST,ATLANTIC CROAKER,244595,34.2
FINAL,2010,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,152619,37.7
FINAL,2010,NOVEMBER/DECEMBER,ATLANTIC CROAKER,52050,42.8
FINAL,2011,JANUARY/FEBRUARY,ATLANTIC CROAKER,13114,94.1
FINAL,2011,MARCH/APRIL,ATLANTIC CROAKER,25459,51.9
FINAL,2011,MAY/JUNE,ATLANTIC CROAKER,327922,51.2
FINAL,2011,JULY/AUGUST,ATLANTIC CROAKER,428581,38.8
FINAL,2011,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,1896080,39.3
FINAL,2011,NOVEMBER/DECEMBER,ATLANTIC CROAKER,187166,48.4
FINAL,2012,JANUARY/FEBRUARY,ATLANTIC CROAKER,37846,44.6
FINAL,2012,MARCH/APRIL,ATLANTIC CROAKER,91274,44.8
FINAL,2012,MAY/JUNE,ATLANTIC CROAKER,329368,49.8
FINAL,2012,JULY/AUGUST,ATLANTIC CROAKER,1081341,40.5
FINAL,2012,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,704660,32.4
FINAL,2012,NOVEMBER/DECEMBER,ATLANTIC CROAKER,301601,44.3
