Estimate Status,Year,Wave,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,ATLANTIC CROAKER,3083,59.2,0
FINAL,1990,MARCH/APRIL,ATLANTIC CROAKER,70761,59.6,0
FINAL,1990,MAY/JUNE,ATLANTIC CROAKER,49377,71,0
FINAL,1990,JULY/AUGUST,ATLANTIC CROAKER,80484,54.5,0
FINAL,1990,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,35349,72.4,0
FINAL,1990,NOVEMBER/DECEMBER,ATLANTIC CROAKER,97179,52.5,0
FINAL,1991,JANUARY/FEBRUARY,ATLANTIC CROAKER,5190,71.8,0
FINAL,1991,MARCH/APRIL,ATLANTIC CROAKER,60339,93.9,0
FINAL,1991,MAY/JUNE,ATLANTIC CROAKER,113895,37.3,0
FINAL,1991,JULY/AUGUST,ATLANTIC CROAKER,314872,46.9,0
FINAL,1991,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,192632,57.3,0
FINAL,1991,NOVEMBER/DECEMBER,ATLANTIC CROAKER,47380,46.5,0
FINAL,1992,JANUARY/FEBRUARY,ATLANTIC CROAKER,0,.,499397
FINAL,1992,MARCH/APRIL,ATLANTIC CROAKER,74982,49.9,0
FINAL,1992,MAY/JUNE,ATLANTIC CROAKER,202396,35.9,0
FINAL,1992,JULY/AUGUST,ATLANTIC CROAKER,348365,39.9,0
FINAL,1992,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,85107,45.2,0
FINAL,1992,NOVEMBER/DECEMBER,ATLANTIC CROAKER,70073,38.1,0
FINAL,1993,JANUARY/FEBRUARY,ATLANTIC CROAKER,5732,85.3,0
FINAL,1993,MARCH/APRIL,ATLANTIC CROAKER,29621,50.3,0
FINAL,1993,MAY/JUNE,ATLANTIC CROAKER,45660,38.5,950
FINAL,1993,JULY/AUGUST,ATLANTIC CROAKER,93398,35.1,0
FINAL,1993,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,76504,29.6,0
FINAL,1993,NOVEMBER/DECEMBER,ATLANTIC CROAKER,114841,47.1,0
FINAL,1994,JANUARY/FEBRUARY,ATLANTIC CROAKER,4425,60.2,0
FINAL,1994,MARCH/APRIL,ATLANTIC CROAKER,29116,42.7,1474
FINAL,1994,MAY/JUNE,ATLANTIC CROAKER,45400,34.4,0
FINAL,1994,JULY/AUGUST,ATLANTIC CROAKER,331398,29,0
FINAL,1994,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,73287,42.3,0
FINAL,1994,NOVEMBER/DECEMBER,ATLANTIC CROAKER,91173,39.1,0
FINAL,1995,JANUARY/FEBRUARY,ATLANTIC CROAKER,14155,53.6,0
FINAL,1995,MARCH/APRIL,ATLANTIC CROAKER,36816,66.2,0
FINAL,1995,MAY/JUNE,ATLANTIC CROAKER,10025,40.7,0
FINAL,1995,JULY/AUGUST,ATLANTIC CROAKER,105280,63.2,0
FINAL,1995,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,90429,32.8,0
FINAL,1995,NOVEMBER/DECEMBER,ATLANTIC CROAKER,69648,65.4,0
FINAL,1996,JANUARY/FEBRUARY,ATLANTIC CROAKER,17530,64.2,0
FINAL,1996,MARCH/APRIL,ATLANTIC CROAKER,41472,66.8,0
FINAL,1996,MAY/JUNE,ATLANTIC CROAKER,6363,72,0
FINAL,1996,JULY/AUGUST,ATLANTIC CROAKER,51336,45,0
FINAL,1996,SEPTEMBER/OCTOBER,ATLANTIC CROAKER,32702,30.5,0
FINAL,1996,NOVEMBER/DECEMBER,ATLANTIC CROAKER,9621,54.6,0
FINAL,1997,JANUARY/FEBRUARY,ATLANTIC CROAKER,476,101.1,0
FINAL,1997,MARCH/APRIL,ATLANTIC CROAKER,13742,65.6,0
FINAL,1997,MAY/JUNE,ATLANTIC CROAKER,70751,54.3,0
FINAL,1997,JULY/AUGUST,ATLANTIC CROAKER,18628,70.5,0
