Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,ATLANTIC CROAKER,6624,100.7
FINAL,1990,MARCH/APRIL,FLORIDA,ATLANTIC CROAKER,142801,88.8
FINAL,1990,MARCH/APRIL,GEORGIA,ATLANTIC CROAKER,401015,45.5
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,ATLANTIC CROAKER,19192,62.3
FINAL,1990,MARCH/APRIL,SOUTH CAROLINA,ATLANTIC CROAKER,7007,72.3
FINAL,1990,MAY/JUNE,DELAWARE,ATLANTIC CROAKER,0,.
FINAL,1990,MAY/JUNE,FLORIDA,ATLANTIC CROAKER,46775,66.6
FINAL,1990,MAY/JUNE,GEORGIA,ATLANTIC CROAKER,523927,46.4
FINAL,1990,MAY/JUNE,MARYLAND,ATLANTIC CROAKER,4455,97
FINAL,1990,MAY/JUNE,NORTH CAROLINA,ATLANTIC CROAKER,943490,27
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,ATLANTIC CROAKER,213958,38.9
FINAL,1990,MAY/JUNE,VIRGINIA,ATLANTIC CROAKER,44918,65.7
FINAL,1990,JULY/AUGUST,DELAWARE,ATLANTIC CROAKER,167,101.3
FINAL,1990,JULY/AUGUST,FLORIDA,ATLANTIC CROAKER,364089,65.8
FINAL,1990,JULY/AUGUST,GEORGIA,ATLANTIC CROAKER,179591,16.7
FINAL,1990,JULY/AUGUST,MARYLAND,ATLANTIC CROAKER,108475,43.1
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,ATLANTIC CROAKER,1046336,24.8
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,ATLANTIC CROAKER,284497,70.4
FINAL,1990,JULY/AUGUST,VIRGINIA,ATLANTIC CROAKER,3105303,19.9
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,ATLANTIC CROAKER,190,102
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,ATLANTIC CROAKER,134183,70.1
FINAL,1990,SEPTEMBER/OCTOBER,GEORGIA,ATLANTIC CROAKER,217536,29.8
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,ATLANTIC CROAKER,12729,65.9
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,ATLANTIC CROAKER,244144,24.3
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,ATLANTIC CROAKER,275363,50.4
FINAL,1990,SEPTEMBER/OCTOBER,VIRGINIA,ATLANTIC CROAKER,464978,48.4
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,ATLANTIC CROAKER,331923,55.3
