Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,ATLANTIC CROAKER,3083,59.2,0
FINAL,1990,JANUARY/FEBRUARY,LOUISIANA,ATLANTIC CROAKER,42,109.4,0
FINAL,1990,MARCH/APRIL,ALABAMA,ATLANTIC CROAKER,1374,64.8,0
FINAL,1990,MARCH/APRIL,FLORIDA,ATLANTIC CROAKER,70761,59.6,0
FINAL,1990,MARCH/APRIL,GEORGIA,ATLANTIC CROAKER,58882,49.7,0
FINAL,1990,MARCH/APRIL,LOUISIANA,ATLANTIC CROAKER,5759,47.4,0
FINAL,1990,MARCH/APRIL,MISSISSIPPI,ATLANTIC CROAKER,1035,90.7,0
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,ATLANTIC CROAKER,2280,57.3,0
FINAL,1990,MARCH/APRIL,SOUTH CAROLINA,ATLANTIC CROAKER,1401,72.3,0
FINAL,1990,MAY/JUNE,ALABAMA,ATLANTIC CROAKER,297,78.2,0
FINAL,1990,MAY/JUNE,DELAWARE,ATLANTIC CROAKER,0,.,0
FINAL,1990,MAY/JUNE,FLORIDA,ATLANTIC CROAKER,49377,71,0
FINAL,1990,MAY/JUNE,GEORGIA,ATLANTIC CROAKER,71923,46.7,0
FINAL,1990,MAY/JUNE,LOUISIANA,ATLANTIC CROAKER,43642,27.5,0
FINAL,1990,MAY/JUNE,MARYLAND,ATLANTIC CROAKER,893,97,0
FINAL,1990,MAY/JUNE,MISSISSIPPI,ATLANTIC CROAKER,110304,58,0
FINAL,1990,MAY/JUNE,NORTH CAROLINA,ATLANTIC CROAKER,117433,25,0
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,ATLANTIC CROAKER,32574,39.4,0
FINAL,1990,MAY/JUNE,VIRGINIA,ATLANTIC CROAKER,8158,69.7,0
FINAL,1990,JULY/AUGUST,ALABAMA,ATLANTIC CROAKER,1215,72.2,0
FINAL,1990,JULY/AUGUST,DELAWARE,ATLANTIC CROAKER,17,101.3,0
FINAL,1990,JULY/AUGUST,FLORIDA,ATLANTIC CROAKER,80484,54.5,0
FINAL,1990,JULY/AUGUST,GEORGIA,ATLANTIC CROAKER,27190,18.9,0
FINAL,1990,JULY/AUGUST,LOUISIANA,ATLANTIC CROAKER,108807,47.3,0
FINAL,1990,JULY/AUGUST,MARYLAND,ATLANTIC CROAKER,19400,44.7,0
FINAL,1990,JULY/AUGUST,MISSISSIPPI,ATLANTIC CROAKER,22029,35.6,0
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,ATLANTIC CROAKER,159012,26.4,0
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,ATLANTIC CROAKER,28676,70.4,0
FINAL,1990,JULY/AUGUST,VIRGINIA,ATLANTIC CROAKER,569825,19.2,0
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,ATLANTIC CROAKER,0,.,0
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,ATLANTIC CROAKER,67,102,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,ATLANTIC CROAKER,35349,72.4,0
FINAL,1990,SEPTEMBER/OCTOBER,GEORGIA,ATLANTIC CROAKER,44960,21.7,0
FINAL,1990,SEPTEMBER/OCTOBER,LOUISIANA,ATLANTIC CROAKER,276527,46,0
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,ATLANTIC CROAKER,2566,65.7,0
FINAL,1990,SEPTEMBER/OCTOBER,MISSISSIPPI,ATLANTIC CROAKER,53543,30.2,0
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,ATLANTIC CROAKER,43224,25.8,0
