Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,BLACK SEA BASS,31823,100.7
FINAL,1990,MARCH/APRIL,DELAWARE,BLACK SEA BASS,2564,93.2
FINAL,1990,MARCH/APRIL,FLORIDA,BLACK SEA BASS,40417,78.9
FINAL,1990,MARCH/APRIL,GEORGIA,BLACK SEA BASS,8107,91.5
FINAL,1990,MARCH/APRIL,NEW JERSEY,BLACK SEA BASS,174,100.6
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,BLACK SEA BASS,76468,55.4
FINAL,1990,MARCH/APRIL,SOUTH CAROLINA,BLACK SEA BASS,9677,60.9
FINAL,1990,MARCH/APRIL,VIRGINIA,BLACK SEA BASS,28642,35.9
FINAL,1990,MAY/JUNE,CONNECTICUT,BLACK SEA BASS,623,99.4
FINAL,1990,MAY/JUNE,DELAWARE,BLACK SEA BASS,6333,53.1
FINAL,1990,MAY/JUNE,FLORIDA,BLACK SEA BASS,0,.
FINAL,1990,MAY/JUNE,GEORGIA,BLACK SEA BASS,32762,62.6
FINAL,1990,MAY/JUNE,MAINE,BLACK SEA BASS,0,.
FINAL,1990,MAY/JUNE,MARYLAND,BLACK SEA BASS,185820,78
FINAL,1990,MAY/JUNE,MASSACHUSETTS,BLACK SEA BASS,6610,81.6
FINAL,1990,MAY/JUNE,NEW JERSEY,BLACK SEA BASS,891892,52.5
FINAL,1990,MAY/JUNE,NEW YORK,BLACK SEA BASS,67827,50.6
FINAL,1990,MAY/JUNE,NORTH CAROLINA,BLACK SEA BASS,86950,34.3
FINAL,1990,MAY/JUNE,RHODE ISLAND,BLACK SEA BASS,472,97.3
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,BLACK SEA BASS,19619,45.9
FINAL,1990,MAY/JUNE,VIRGINIA,BLACK SEA BASS,305155,31.6
FINAL,1990,JULY/AUGUST,CONNECTICUT,BLACK SEA BASS,0,.
FINAL,1990,JULY/AUGUST,DELAWARE,BLACK SEA BASS,48977,43.3
FINAL,1990,JULY/AUGUST,FLORIDA,BLACK SEA BASS,172220,85.9
FINAL,1990,JULY/AUGUST,GEORGIA,BLACK SEA BASS,49163,32.6
FINAL,1990,JULY/AUGUST,MARYLAND,BLACK SEA BASS,69282,54.6
FINAL,1990,JULY/AUGUST,MASSACHUSETTS,BLACK SEA BASS,20671,47.3
