Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,BLACK SEA BASS,97989,42.6,0
FINAL,1990,MARCH/APRIL,DELAWARE,BLACK SEA BASS,723,87.7,0
FINAL,1990,MARCH/APRIL,FLORIDA,BLACK SEA BASS,242702,37.6,0
FINAL,1990,MARCH/APRIL,GEORGIA,BLACK SEA BASS,897,84,0
FINAL,1990,MARCH/APRIL,NEW JERSEY,BLACK SEA BASS,53,100.6,0
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,BLACK SEA BASS,27747,56.6,0
FINAL,1990,MARCH/APRIL,SOUTH CAROLINA,BLACK SEA BASS,2451,56.3,0
FINAL,1990,MARCH/APRIL,VIRGINIA,BLACK SEA BASS,9849,36.2,0
FINAL,1990,MAY/JUNE,CONNECTICUT,BLACK SEA BASS,164,99.4,0
FINAL,1990,MAY/JUNE,DELAWARE,BLACK SEA BASS,1567,53.5,0
FINAL,1990,MAY/JUNE,FLORIDA,BLACK SEA BASS,227976,46.2,0
FINAL,1990,MAY/JUNE,GEORGIA,BLACK SEA BASS,5704,61.7,0
FINAL,1990,MAY/JUNE,MAINE,BLACK SEA BASS,0,.,0
FINAL,1990,MAY/JUNE,MARYLAND,BLACK SEA BASS,63162,72,0
FINAL,1990,MAY/JUNE,MASSACHUSETTS,BLACK SEA BASS,3083,79.5,0
FINAL,1990,MAY/JUNE,NEW JERSEY,BLACK SEA BASS,395182,52.4,0
FINAL,1990,MAY/JUNE,NEW YORK,BLACK SEA BASS,32459,51.2,0
FINAL,1990,MAY/JUNE,NORTH CAROLINA,BLACK SEA BASS,42046,40.7,0
FINAL,1990,MAY/JUNE,RHODE ISLAND,BLACK SEA BASS,236,97.3,0
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,BLACK SEA BASS,4999,48.4,0
FINAL,1990,MAY/JUNE,VIRGINIA,BLACK SEA BASS,273349,33.5,0
FINAL,1990,JULY/AUGUST,CONNECTICUT,BLACK SEA BASS,0,.,0
FINAL,1990,JULY/AUGUST,DELAWARE,BLACK SEA BASS,16966,48,0
FINAL,1990,JULY/AUGUST,FLORIDA,BLACK SEA BASS,131145,53,0
FINAL,1990,JULY/AUGUST,GEORGIA,BLACK SEA BASS,8408,33.6,0
FINAL,1990,JULY/AUGUST,MARYLAND,BLACK SEA BASS,15515,63.6,0
FINAL,1990,JULY/AUGUST,MASSACHUSETTS,BLACK SEA BASS,6917,55.6,0
FINAL,1990,JULY/AUGUST,NEW JERSEY,BLACK SEA BASS,7932,41.5,0
FINAL,1990,JULY/AUGUST,NEW YORK,BLACK SEA BASS,76952,66.5,0
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,BLACK SEA BASS,70317,54.4,0
FINAL,1990,JULY/AUGUST,RHODE ISLAND,BLACK SEA BASS,2259,49.1,0
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,BLACK SEA BASS,1504,90.6,0
FINAL,1990,JULY/AUGUST,VIRGINIA,BLACK SEA BASS,42196,39.5,0
FINAL,1990,SEPTEMBER/OCTOBER,CONNECTICUT,BLACK SEA BASS,137,70.4,0
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,BLACK SEA BASS,21388,66.5,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,BLACK SEA BASS,8177,53.4,0
FINAL,1990,SEPTEMBER/OCTOBER,GEORGIA,BLACK SEA BASS,0,.,0
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,BLACK SEA BASS,206628,50.8,0
FINAL,1990,SEPTEMBER/OCTOBER,MASSACHUSETTS,BLACK SEA BASS,19521,52.9,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW JERSEY,BLACK SEA BASS,164268,29.9,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,BLACK SEA BASS,46031,31.6,0
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,BLACK SEA BASS,14321,25.3,0
FINAL,1990,SEPTEMBER/OCTOBER,RHODE ISLAND,BLACK SEA BASS,3765,55,0
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,BLACK SEA BASS,338,97.1,0
FINAL,1990,SEPTEMBER/OCTOBER,VIRGINIA,BLACK SEA BASS,98152,28.2,0
FINAL,1990,NOVEMBER/DECEMBER,DELAWARE,BLACK SEA BASS,3609,83.1,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,BLACK SEA BASS,271779,44.2,0
FINAL,1990,NOVEMBER/DECEMBER,GEORGIA,BLACK SEA BASS,0,.,0
FINAL,1990,NOVEMBER/DECEMBER,MARYLAND,BLACK SEA BASS,165512,107.5,0
FINAL,1990,NOVEMBER/DECEMBER,MASSACHUSETTS,BLACK SEA BASS,0,.,0
FINAL,1990,NOVEMBER/DECEMBER,NEW JERSEY,BLACK SEA BASS,18562,61,0
FINAL,1990,NOVEMBER/DECEMBER,NEW YORK,BLACK SEA BASS,31808,55.4,0
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,BLACK SEA BASS,6383,37.9,0
FINAL,1990,NOVEMBER/DECEMBER,RHODE ISLAND,BLACK SEA BASS,154,96.3,0
FINAL,1990,NOVEMBER/DECEMBER,SOUTH CAROLINA,BLACK SEA BASS,9696,65.1,0
FINAL,1990,NOVEMBER/DECEMBER,VIRGINIA,BLACK SEA BASS,34491,84.3,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,BLACK SEA BASS,114073,40.1,0
FINAL,1991,MARCH/APRIL,ALABAMA,BLACK SEA BASS,0,.,0
FINAL,1991,MARCH/APRIL,DELAWARE,BLACK SEA BASS,123,100.7,0
FINAL,1991,MARCH/APRIL,FLORIDA,BLACK SEA BASS,57392,57.7,0
FINAL,1991,MARCH/APRIL,GEORGIA,BLACK SEA BASS,0,.,0
FINAL,1991,MARCH/APRIL,MARYLAND,BLACK SEA BASS,1441,94.1,0
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,BLACK SEA BASS,21581,50.9,0
FINAL,1991,MARCH/APRIL,RHODE ISLAND,BLACK SEA BASS,18,100.2,0
FINAL,1991,MARCH/APRIL,SOUTH CAROLINA,BLACK SEA BASS,3505,79.8,0
FINAL,1991,MARCH/APRIL,VIRGINIA,BLACK SEA BASS,85187,76.6,0
FINAL,1991,MAY/JUNE,ALABAMA,BLACK SEA BASS,0,.,0
FINAL,1991,MAY/JUNE,CONNECTICUT,BLACK SEA BASS,815,67.7,0
FINAL,1991,MAY/JUNE,DELAWARE,BLACK SEA BASS,53487,48.3,0
FINAL,1991,MAY/JUNE,FLORIDA,BLACK SEA BASS,75360,38.3,0
FINAL,1991,MAY/JUNE,GEORGIA,BLACK SEA BASS,3333,54.8,0
FINAL,1991,MAY/JUNE,MARYLAND,BLACK SEA BASS,10741,70.2,0
FINAL,1991,MAY/JUNE,MASSACHUSETTS,BLACK SEA BASS,2861,67.8,0
FINAL,1991,MAY/JUNE,NEW JERSEY,BLACK SEA BASS,344504,41.7,0
FINAL,1991,MAY/JUNE,NEW YORK,BLACK SEA BASS,35730,56.6,0
FINAL,1991,MAY/JUNE,NORTH CAROLINA,BLACK SEA BASS,58147,24,0
FINAL,1991,MAY/JUNE,RHODE ISLAND,BLACK SEA BASS,690,76,0
FINAL,1991,MAY/JUNE,SOUTH CAROLINA,BLACK SEA BASS,39645,46.5,0
FINAL,1991,MAY/JUNE,VIRGINIA,BLACK SEA BASS,170135,65.4,0
FINAL,1991,JULY/AUGUST,ALABAMA,BLACK SEA BASS,340,107.6,0
FINAL,1991,JULY/AUGUST,CONNECTICUT,BLACK SEA BASS,0,.,0
FINAL,1991,JULY/AUGUST,DELAWARE,BLACK SEA BASS,9372,22,0
FINAL,1991,JULY/AUGUST,FLORIDA,BLACK SEA BASS,69872,36.2,0
FINAL,1991,JULY/AUGUST,GEORGIA,BLACK SEA BASS,673,24.3,0
