Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE,** Contribution of Imputed Data to Total Harvest Rate
FINAL,1997,JANUARY/FEBRUARY,ALABAMA,BLUEFISH,15292,78.1,0%
FINAL,1997,JANUARY/FEBRUARY,FLORIDA,BLUEFISH,31570,48.8,0%
FINAL,1997,MARCH/APRIL,ALABAMA,BLUEFISH,1007,96.6,0%
FINAL,1997,MARCH/APRIL,FLORIDA,BLUEFISH,27074,57.3,0%
FINAL,1997,MAY/JUNE,ALABAMA,BLUEFISH,96871,58.4,0%
FINAL,1997,MAY/JUNE,FLORIDA,BLUEFISH,46856,69.8,0%
FINAL,1997,MAY/JUNE,LOUISIANA,BLUEFISH,2533,94.5,0%
FINAL,1997,MAY/JUNE,MISSISSIPPI,BLUEFISH,3611,67,0%
FINAL,1997,JULY/AUGUST,ALABAMA,BLUEFISH,1312,99.3,0%
FINAL,1997,JULY/AUGUST,FLORIDA,BLUEFISH,47514,52.8,0%
FINAL,1997,JULY/AUGUST,LOUISIANA,BLUEFISH,960,101.9,0%
FINAL,1997,JULY/AUGUST,MISSISSIPPI,BLUEFISH,15842,44.7,0%
FINAL,1997,SEPTEMBER/OCTOBER,ALABAMA,BLUEFISH,68214,35.1,0%
FINAL,1997,SEPTEMBER/OCTOBER,FLORIDA,BLUEFISH,15857,41.6,0%
FINAL,1997,SEPTEMBER/OCTOBER,LOUISIANA,BLUEFISH,114,87.2,0%
FINAL,1997,SEPTEMBER/OCTOBER,MISSISSIPPI,BLUEFISH,4023,57.1,0%
FINAL,1997,NOVEMBER/DECEMBER,ALABAMA,BLUEFISH,51776,68.5,0%
FINAL,1997,NOVEMBER/DECEMBER,FLORIDA,BLUEFISH,18075,41.1,0%
FINAL,1998,JANUARY/FEBRUARY,ALABAMA,BLUEFISH,2054,95.5,0%
FINAL,1998,JANUARY/FEBRUARY,FLORIDA,BLUEFISH,8155,45.2,0%
FINAL,1998,MARCH/APRIL,ALABAMA,BLUEFISH,56729,54.6,0%
FINAL,1998,MARCH/APRIL,FLORIDA,BLUEFISH,54929,65.9,0%
FINAL,1998,MAY/JUNE,ALABAMA,BLUEFISH,110269,55.7,0%
FINAL,1998,MAY/JUNE,FLORIDA,BLUEFISH,189872,46.3,0%
FINAL,1998,MAY/JUNE,MISSISSIPPI,BLUEFISH,351,99.7,0%
FINAL,1998,JULY/AUGUST,ALABAMA,BLUEFISH,122422,45.5,0%
FINAL,1998,JULY/AUGUST,FLORIDA,BLUEFISH,37450,68,0%
FINAL,1998,JULY/AUGUST,LOUISIANA,BLUEFISH,657,74.4,0%
FINAL,1998,JULY/AUGUST,MISSISSIPPI,BLUEFISH,10035,68.7,0%
FINAL,1998,SEPTEMBER/OCTOBER,ALABAMA,BLUEFISH,2146,41.1,0%
FINAL,1998,SEPTEMBER/OCTOBER,FLORIDA,BLUEFISH,23161,35.1,0%
FINAL,1998,SEPTEMBER/OCTOBER,LOUISIANA,BLUEFISH,1262,73.1,0%
FINAL,1998,NOVEMBER/DECEMBER,ALABAMA,BLUEFISH,17356,78.1,0%
FINAL,1998,NOVEMBER/DECEMBER,FLORIDA,BLUEFISH,28912,44.7,0%
FINAL,1999,JANUARY/FEBRUARY,ALABAMA,BLUEFISH,1414,74.4,0%
FINAL,1999,JANUARY/FEBRUARY,FLORIDA,BLUEFISH,17177,51.4,0%
FINAL,1999,JANUARY/FEBRUARY,MISSISSIPPI,BLUEFISH,640,82.1,0%
FINAL,1999,MARCH/APRIL,ALABAMA,BLUEFISH,13227,43.9,0%
FINAL,1999,MARCH/APRIL,FLORIDA,BLUEFISH,52931,47.7,0%
FINAL,1999,MARCH/APRIL,MISSISSIPPI,BLUEFISH,216,101.6,0%
FINAL,1999,MAY/JUNE,ALABAMA,BLUEFISH,41393,32.5,0%
FINAL,1999,MAY/JUNE,FLORIDA,BLUEFISH,64418,41.8,0%
