Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,BLUEFISH,221231,53.1
FINAL,1990,MARCH/APRIL,FLORIDA,BLUEFISH,499940,55
FINAL,1990,MARCH/APRIL,GEORGIA,BLUEFISH,1715,90.9
FINAL,1990,MARCH/APRIL,MARYLAND,BLUEFISH,2477,53.6
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,BLUEFISH,326013,34.5
FINAL,1990,MARCH/APRIL,SOUTH CAROLINA,BLUEFISH,77830,49.2
FINAL,1990,MAY/JUNE,CONNECTICUT,BLUEFISH,149163,34.9
FINAL,1990,MAY/JUNE,DELAWARE,BLUEFISH,88058,45.4
FINAL,1990,MAY/JUNE,FLORIDA,BLUEFISH,215644,49
FINAL,1990,MAY/JUNE,GEORGIA,BLUEFISH,23249,85.8
FINAL,1990,MAY/JUNE,MAINE,BLUEFISH,4662,97.7
FINAL,1990,MAY/JUNE,MARYLAND,BLUEFISH,131350,36.3
FINAL,1990,MAY/JUNE,MASSACHUSETTS,BLUEFISH,260684,36.7
FINAL,1990,MAY/JUNE,NEW JERSEY,BLUEFISH,476211,26.7
FINAL,1990,MAY/JUNE,NEW YORK,BLUEFISH,830407,20.1
FINAL,1990,MAY/JUNE,NORTH CAROLINA,BLUEFISH,2073536,37
FINAL,1990,MAY/JUNE,RHODE ISLAND,BLUEFISH,280024,47.2
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,BLUEFISH,288058,67.5
FINAL,1990,MAY/JUNE,VIRGINIA,BLUEFISH,392566,40.6
FINAL,1990,JULY/AUGUST,CONNECTICUT,BLUEFISH,2108925,32.1
FINAL,1990,JULY/AUGUST,DELAWARE,BLUEFISH,116746,21.7
FINAL,1990,JULY/AUGUST,FLORIDA,BLUEFISH,92408,50.3
FINAL,1990,JULY/AUGUST,GEORGIA,BLUEFISH,3842,77.9
FINAL,1990,JULY/AUGUST,MAINE,BLUEFISH,56598,48.3
FINAL,1990,JULY/AUGUST,MARYLAND,BLUEFISH,519411,21.2
FINAL,1990,JULY/AUGUST,MASSACHUSETTS,BLUEFISH,379788,36.6
FINAL,1990,JULY/AUGUST,NEW HAMPSHIRE,BLUEFISH,24986,39.1
FINAL,1990,JULY/AUGUST,NEW JERSEY,BLUEFISH,1277795,26.2
FINAL,1990,JULY/AUGUST,NEW YORK,BLUEFISH,4416769,27.2
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,BLUEFISH,1289684,35.4
FINAL,1990,JULY/AUGUST,RHODE ISLAND,BLUEFISH,864234,78.1
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,BLUEFISH,200447,57.3
FINAL,1990,JULY/AUGUST,VIRGINIA,BLUEFISH,407497,45.7
FINAL,1990,SEPTEMBER/OCTOBER,CONNECTICUT,BLUEFISH,479385,17.6
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,BLUEFISH,220813,24.2
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,BLUEFISH,329963,64.1
FINAL,1990,SEPTEMBER/OCTOBER,GEORGIA,BLUEFISH,104186,53.6
FINAL,1990,SEPTEMBER/OCTOBER,MAINE,BLUEFISH,14369,56.9
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,BLUEFISH,412152,27
