Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,BLUEFISH,302251,54.8,0
FINAL,1990,MARCH/APRIL,FLORIDA,BLUEFISH,270976,53.6,0
FINAL,1990,MARCH/APRIL,GEORGIA,BLUEFISH,343,90.9,0
FINAL,1990,MARCH/APRIL,MARYLAND,BLUEFISH,11500,53.6,0
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,BLUEFISH,116860,32.5,0
FINAL,1990,MARCH/APRIL,SOUTH CAROLINA,BLUEFISH,42682,47.3,0
FINAL,1990,MAY/JUNE,CONNECTICUT,BLUEFISH,266041,39.4,0
FINAL,1990,MAY/JUNE,DELAWARE,BLUEFISH,37145,44.4,0
FINAL,1990,MAY/JUNE,FLORIDA,BLUEFISH,69091,41.5,0
FINAL,1990,MAY/JUNE,GEORGIA,BLUEFISH,3149,66.7,0
FINAL,1990,MAY/JUNE,MAINE,BLUEFISH,19113,97.7,0
FINAL,1990,MAY/JUNE,MARYLAND,BLUEFISH,345251,40.1,0
FINAL,1990,MAY/JUNE,MASSACHUSETTS,BLUEFISH,269466,35.1,0
FINAL,1990,MAY/JUNE,NEW JERSEY,BLUEFISH,1510057,31.3,0
FINAL,1990,MAY/JUNE,NEW YORK,BLUEFISH,952014,18.9,0
FINAL,1990,MAY/JUNE,NORTH CAROLINA,BLUEFISH,523964,35.5,0
FINAL,1990,MAY/JUNE,RHODE ISLAND,BLUEFISH,594313,75,0
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,BLUEFISH,109240,80.2,0
FINAL,1990,MAY/JUNE,VIRGINIA,BLUEFISH,235209,35.5,0
FINAL,1990,JULY/AUGUST,CONNECTICUT,BLUEFISH,2014288,18.5,0
FINAL,1990,JULY/AUGUST,DELAWARE,BLUEFISH,44233,21.1,0
FINAL,1990,JULY/AUGUST,FLORIDA,BLUEFISH,23301,57.8,0
FINAL,1990,JULY/AUGUST,GEORGIA,BLUEFISH,1100,77.9,0
FINAL,1990,JULY/AUGUST,MAINE,BLUEFISH,275757,49.2,0
FINAL,1990,JULY/AUGUST,MARYLAND,BLUEFISH,444534,44.3,0
FINAL,1990,JULY/AUGUST,MASSACHUSETTS,BLUEFISH,1549192,59.9,0
FINAL,1990,JULY/AUGUST,NEW HAMPSHIRE,BLUEFISH,115487,39.1,0
FINAL,1990,JULY/AUGUST,NEW JERSEY,BLUEFISH,2235450,32,0
FINAL,1990,JULY/AUGUST,NEW YORK,BLUEFISH,3445816,19.8,0
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,BLUEFISH,313696,35,0
FINAL,1990,JULY/AUGUST,RHODE ISLAND,BLUEFISH,378596,58.7,0
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,BLUEFISH,88404,58.3,0
FINAL,1990,JULY/AUGUST,VIRGINIA,BLUEFISH,190485,51.1,0
FINAL,1990,SEPTEMBER/OCTOBER,CONNECTICUT,BLUEFISH,844006,18.3,0
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,BLUEFISH,126107,24.8,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,BLUEFISH,264654,64.4,0
FINAL,1990,SEPTEMBER/OCTOBER,GEORGIA,BLUEFISH,17698,43.9,0
FINAL,1990,SEPTEMBER/OCTOBER,MAINE,BLUEFISH,78941,57.8,0
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,BLUEFISH,305361,27.8,0
FINAL,1990,SEPTEMBER/OCTOBER,MASSACHUSETTS,BLUEFISH,1481520,25.4,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,BLUEFISH,25876,42.7,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW JERSEY,BLUEFISH,1530969,30,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,BLUEFISH,1678413,16.5,0
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,BLUEFISH,481865,31.9,0
FINAL,1990,SEPTEMBER/OCTOBER,RHODE ISLAND,BLUEFISH,492845,25.1,0
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,BLUEFISH,17381,52.5,0
