Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,MARCH/APRIL,FLORIDA,GREATER AMBERJACK,48538,68
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,GREATER AMBERJACK,100,95.3
FINAL,1990,MAY/JUNE,FLORIDA,GREATER AMBERJACK,8564,52
FINAL,1990,MAY/JUNE,NORTH CAROLINA,GREATER AMBERJACK,2680,40.5
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,GREATER AMBERJACK,282,78.2
FINAL,1990,MAY/JUNE,VIRGINIA,GREATER AMBERJACK,0,.
FINAL,1990,JULY/AUGUST,DELAWARE,GREATER AMBERJACK,13,91.5
FINAL,1990,JULY/AUGUST,FLORIDA,GREATER AMBERJACK,0,.
FINAL,1990,JULY/AUGUST,GEORGIA,GREATER AMBERJACK,1093,87
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,GREATER AMBERJACK,4306,65.8
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,GREATER AMBERJACK,2778,95.3
FINAL,1990,JULY/AUGUST,VIRGINIA,GREATER AMBERJACK,2939,54.9
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,GREATER AMBERJACK,889,96.2
FINAL,1990,SEPTEMBER/OCTOBER,NEW JERSEY,GREATER AMBERJACK,62356,84
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,GREATER AMBERJACK,823,63
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,GREATER AMBERJACK,0,.
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,GREATER AMBERJACK,89474,99.6
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,GREATER AMBERJACK,1432,97.7
FINAL,1991,MARCH/APRIL,FLORIDA,GREATER AMBERJACK,10542,51.6
FINAL,1991,MAY/JUNE,FLORIDA,GREATER AMBERJACK,37479,47.2
FINAL,1991,MAY/JUNE,GEORGIA,GREATER AMBERJACK,0,.
FINAL,1991,MAY/JUNE,NORTH CAROLINA,GREATER AMBERJACK,431,69.6
FINAL,1991,MAY/JUNE,SOUTH CAROLINA,GREATER AMBERJACK,399,99.2
FINAL,1991,JULY/AUGUST,DELAWARE,GREATER AMBERJACK,826,50.8
FINAL,1991,JULY/AUGUST,FLORIDA,GREATER AMBERJACK,1059,97.7
FINAL,1991,JULY/AUGUST,MARYLAND,GREATER AMBERJACK,8150,75.1
FINAL,1991,JULY/AUGUST,NEW JERSEY,GREATER AMBERJACK,0,.
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,GREATER AMBERJACK,29420,75.7
FINAL,1991,JULY/AUGUST,VIRGINIA,GREATER AMBERJACK,21634,97.3
FINAL,1991,SEPTEMBER/OCTOBER,DELAWARE,GREATER AMBERJACK,692,82.5
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,GREATER AMBERJACK,0,.
FINAL,1991,SEPTEMBER/OCTOBER,GEORGIA,GREATER AMBERJACK,392,94.6
FINAL,1991,SEPTEMBER/OCTOBER,NEW JERSEY,GREATER AMBERJACK,6414,64.4
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,GREATER AMBERJACK,712,47.3
FINAL,1991,SEPTEMBER/OCTOBER,SOUTH CAROLINA,GREATER AMBERJACK,2594,68.7
FINAL,1991,SEPTEMBER/OCTOBER,VIRGINIA,GREATER AMBERJACK,542,94.3
FINAL,1991,NOVEMBER/DECEMBER,NORTH CAROLINA,GREATER AMBERJACK,171,96
FINAL,1991,NOVEMBER/DECEMBER,SOUTH CAROLINA,GREATER AMBERJACK,0,.
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,GREATER AMBERJACK,24784,96.9
