Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,MARCH/APRIL,FLORIDA,GREATER AMBERJACK,460980,63.6,0
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,GREATER AMBERJACK,1855,95.3,0
FINAL,1990,MAY/JUNE,FLORIDA,GREATER AMBERJACK,93123,55.4,0
FINAL,1990,MAY/JUNE,NORTH CAROLINA,GREATER AMBERJACK,32974,41.8,0
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,GREATER AMBERJACK,1842,72.4,0
FINAL,1990,MAY/JUNE,VIRGINIA,GREATER AMBERJACK,0,.,0
FINAL,1990,JULY/AUGUST,DELAWARE,GREATER AMBERJACK,226,91.5,0
FINAL,1990,JULY/AUGUST,FLORIDA,GREATER AMBERJACK,0,.,0
FINAL,1990,JULY/AUGUST,GEORGIA,GREATER AMBERJACK,3060,87,0
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,GREATER AMBERJACK,48000,78.4,0
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,GREATER AMBERJACK,44463,95,0
FINAL,1990,JULY/AUGUST,VIRGINIA,GREATER AMBERJACK,82567,51.5,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,GREATER AMBERJACK,3291,96.2,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW JERSEY,GREATER AMBERJACK,14073,81.8,0
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,GREATER AMBERJACK,9532,67.3,0
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,GREATER AMBERJACK,0,.,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,GREATER AMBERJACK,1133359,99.6,0
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,GREATER AMBERJACK,11536,97.5,0
FINAL,1991,MARCH/APRIL,FLORIDA,GREATER AMBERJACK,171026,51.3,0
FINAL,1991,MAY/JUNE,FLORIDA,GREATER AMBERJACK,543038,51.4,0
FINAL,1991,MAY/JUNE,GEORGIA,GREATER AMBERJACK,0,.,0
FINAL,1991,MAY/JUNE,NORTH CAROLINA,GREATER AMBERJACK,3384,70.6,0
FINAL,1991,MAY/JUNE,SOUTH CAROLINA,GREATER AMBERJACK,8621,99.2,0
FINAL,1991,JULY/AUGUST,DELAWARE,GREATER AMBERJACK,253,45.9,0
FINAL,1991,JULY/AUGUST,FLORIDA,GREATER AMBERJACK,20879,97.7,0
FINAL,1991,JULY/AUGUST,MARYLAND,GREATER AMBERJACK,1746,75.1,0
FINAL,1991,JULY/AUGUST,NEW JERSEY,GREATER AMBERJACK,0,.,0
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,GREATER AMBERJACK,30758,59.7,0
FINAL,1991,JULY/AUGUST,VIRGINIA,GREATER AMBERJACK,4327,97.3,0
FINAL,1991,SEPTEMBER/OCTOBER,DELAWARE,GREATER AMBERJACK,327,79.8,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,GREATER AMBERJACK,0,.,0
FINAL,1991,SEPTEMBER/OCTOBER,GEORGIA,GREATER AMBERJACK,2793,94.6,0
FINAL,1991,SEPTEMBER/OCTOBER,NEW JERSEY,GREATER AMBERJACK,2194,66.7,0
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,GREATER AMBERJACK,4712,51.5,0
FINAL,1991,SEPTEMBER/OCTOBER,SOUTH CAROLINA,GREATER AMBERJACK,29612,68.7,0
FINAL,1991,SEPTEMBER/OCTOBER,VIRGINIA,GREATER AMBERJACK,12826,94.3,0
FINAL,1991,NOVEMBER/DECEMBER,NORTH CAROLINA,GREATER AMBERJACK,2744,96,0
FINAL,1991,NOVEMBER/DECEMBER,SOUTH CAROLINA,GREATER AMBERJACK,0,.,0
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,GREATER AMBERJACK,0,.,24784
FINAL,1992,MARCH/APRIL,FLORIDA,GREATER AMBERJACK,87059,35.7,0
FINAL,1992,MAY/JUNE,FLORIDA,GREATER AMBERJACK,286043,38,0
FINAL,1992,MAY/JUNE,GEORGIA,GREATER AMBERJACK,10895,75.8,0
FINAL,1992,MAY/JUNE,NORTH CAROLINA,GREATER AMBERJACK,4121,61.2,0
FINAL,1992,MAY/JUNE,VIRGINIA,GREATER AMBERJACK,1236,91.9,0
FINAL,1992,JULY/AUGUST,FLORIDA,GREATER AMBERJACK,65034,39.7,0
FINAL,1992,JULY/AUGUST,GEORGIA,GREATER AMBERJACK,5649,87.8,0
FINAL,1992,JULY/AUGUST,NORTH CAROLINA,GREATER AMBERJACK,16551,47.3,0
FINAL,1992,JULY/AUGUST,SOUTH CAROLINA,GREATER AMBERJACK,1375,100.1,0
FINAL,1992,JULY/AUGUST,VIRGINIA,GREATER AMBERJACK,43617,81.7,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,GREATER AMBERJACK,29411,78.3,0
FINAL,1992,SEPTEMBER/OCTOBER,GEORGIA,GREATER AMBERJACK,5086,85.8,0
FINAL,1992,SEPTEMBER/OCTOBER,NORTH CAROLINA,GREATER AMBERJACK,1890,50.9,0
FINAL,1992,SEPTEMBER/OCTOBER,SOUTH CAROLINA,GREATER AMBERJACK,2653,104.8,0
FINAL,1992,SEPTEMBER/OCTOBER,VIRGINIA,GREATER AMBERJACK,3263,96.1,0
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,GREATER AMBERJACK,2672,87.1,0
FINAL,1992,NOVEMBER/DECEMBER,SOUTH CAROLINA,GREATER AMBERJACK,128,101.9,0
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,GREATER AMBERJACK,65719,56.2,0
FINAL,1993,MARCH/APRIL,FLORIDA,GREATER AMBERJACK,37915,65.1,0
FINAL,1993,MARCH/APRIL,SOUTH CAROLINA,GREATER AMBERJACK,6063,101.2,0
FINAL,1993,MAY/JUNE,FLORIDA,GREATER AMBERJACK,55567,54.5,0
FINAL,1993,MAY/JUNE,NORTH CAROLINA,GREATER AMBERJACK,21050,75.1,0
FINAL,1993,MAY/JUNE,SOUTH CAROLINA,GREATER AMBERJACK,2532,97.2,0
FINAL,1993,JULY/AUGUST,DELAWARE,GREATER AMBERJACK,35,99.9,0
FINAL,1993,JULY/AUGUST,FLORIDA,GREATER AMBERJACK,21316,87.2,0
FINAL,1993,JULY/AUGUST,NEW JERSEY,GREATER AMBERJACK,21918,72.2,0
FINAL,1993,JULY/AUGUST,NORTH CAROLINA,GREATER AMBERJACK,24064,41.5,0
FINAL,1993,JULY/AUGUST,VIRGINIA,GREATER AMBERJACK,0,.,0
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,GREATER AMBERJACK,42575,62,0
FINAL,1993,SEPTEMBER/OCTOBER,NEW YORK,GREATER AMBERJACK,235,100.9,0
FINAL,1993,SEPTEMBER/OCTOBER,NORTH CAROLINA,GREATER AMBERJACK,754,92.7,0
FINAL,1993,SEPTEMBER/OCTOBER,VIRGINIA,GREATER AMBERJACK,0,.,0
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,GREATER AMBERJACK,34000,84.5,0
FINAL,1993,NOVEMBER/DECEMBER,NORTH CAROLINA,GREATER AMBERJACK,4292,67.6,0
FINAL,1993,NOVEMBER/DECEMBER,SOUTH CAROLINA,GREATER AMBERJACK,309,80.9,0
FINAL,1994,JANUARY/FEBRUARY,FLORIDA,GREATER AMBERJACK,83986,79.3,0
FINAL,1994,MARCH/APRIL,FLORIDA,GREATER AMBERJACK,140456,60,0
FINAL,1994,MARCH/APRIL,NORTH CAROLINA,GREATER AMBERJACK,6467,78.7,0
FINAL,1994,MAY/JUNE,FLORIDA,GREATER AMBERJACK,561081,65.6,0
FINAL,1994,MAY/JUNE,GEORGIA,GREATER AMBERJACK,3813,95.5,0
FINAL,1994,MAY/JUNE,NORTH CAROLINA,GREATER AMBERJACK,23086,40.8,0
FINAL,1994,JULY/AUGUST,FLORIDA,GREATER AMBERJACK,53140,72.9,0
FINAL,1994,JULY/AUGUST,NORTH CAROLINA,GREATER AMBERJACK,17116,43.5,0
FINAL,1994,JULY/AUGUST,SOUTH CAROLINA,GREATER AMBERJACK,14222,86.3,0
FINAL,1994,JULY/AUGUST,VIRGINIA,GREATER AMBERJACK,2353,94.2,0
FINAL,1994,SEPTEMBER/OCTOBER,FLORIDA,GREATER AMBERJACK,0,.,0
FINAL,1994,SEPTEMBER/OCTOBER,GEORGIA,GREATER AMBERJACK,11941,84.6,0
FINAL,1994,SEPTEMBER/OCTOBER,NORTH CAROLINA,GREATER AMBERJACK,13590,60.1,0
FINAL,1994,SEPTEMBER/OCTOBER,SOUTH CAROLINA,GREATER AMBERJACK,0,.,0
FINAL,1994,SEPTEMBER/OCTOBER,VIRGINIA,GREATER AMBERJACK,7013,100,0
FINAL,1994,NOVEMBER/DECEMBER,FLORIDA,GREATER AMBERJACK,46375,101,0
FINAL,1994,NOVEMBER/DECEMBER,NORTH CAROLINA,GREATER AMBERJACK,675,94.8,0
FINAL,1995,JANUARY/FEBRUARY,FLORIDA,GREATER AMBERJACK,0,.,0
FINAL,1995,MARCH/APRIL,FLORIDA,GREATER AMBERJACK,38267,69,0
FINAL,1995,MARCH/APRIL,NORTH CAROLINA,GREATER AMBERJACK,1122,98.8,0
FINAL,1995,MAY/JUNE,FLORIDA,GREATER AMBERJACK,118731,54.8,0
