Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,GREATER AMBERJACK,18691,92.7
FINAL,1990,MARCH/APRIL,ALABAMA,GREATER AMBERJACK,9322,101.5
FINAL,1990,MARCH/APRIL,FLORIDA,GREATER AMBERJACK,725,99
FINAL,1990,MAY/JUNE,ALABAMA,GREATER AMBERJACK,263,100.6
FINAL,1990,MAY/JUNE,FLORIDA,GREATER AMBERJACK,24930,61.3
FINAL,1990,JULY/AUGUST,ALABAMA,GREATER AMBERJACK,847,71.1
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,GREATER AMBERJACK,5985,79.4
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,GREATER AMBERJACK,44435,56.1
FINAL,1990,SEPTEMBER/OCTOBER,LOUISIANA,GREATER AMBERJACK,290,56.9
FINAL,1990,NOVEMBER/DECEMBER,ALABAMA,GREATER AMBERJACK,63,112.6
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,GREATER AMBERJACK,114584,90.7
FINAL,1991,JANUARY/FEBRUARY,ALABAMA,GREATER AMBERJACK,0,.
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,GREATER AMBERJACK,1177,91.4
FINAL,1991,MARCH/APRIL,ALABAMA,GREATER AMBERJACK,74,112.6
FINAL,1991,MARCH/APRIL,FLORIDA,GREATER AMBERJACK,11314,64
FINAL,1991,MARCH/APRIL,LOUISIANA,GREATER AMBERJACK,45,91.4
FINAL,1991,MAY/JUNE,ALABAMA,GREATER AMBERJACK,4892,62.5
FINAL,1991,MAY/JUNE,FLORIDA,GREATER AMBERJACK,98061,67.8
FINAL,1991,MAY/JUNE,LOUISIANA,GREATER AMBERJACK,11752,60
FINAL,1991,MAY/JUNE,MISSISSIPPI,GREATER AMBERJACK,11,102.2
FINAL,1991,JULY/AUGUST,ALABAMA,GREATER AMBERJACK,1486,73.1
FINAL,1991,JULY/AUGUST,FLORIDA,GREATER AMBERJACK,69963,51.6
FINAL,1991,JULY/AUGUST,LOUISIANA,GREATER AMBERJACK,3838,57.5
FINAL,1991,SEPTEMBER/OCTOBER,ALABAMA,GREATER AMBERJACK,10661,63.4
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,GREATER AMBERJACK,36382,49.9
FINAL,1991,SEPTEMBER/OCTOBER,LOUISIANA,GREATER AMBERJACK,371,83.4
FINAL,1991,SEPTEMBER/OCTOBER,MISSISSIPPI,GREATER AMBERJACK,87,99.7
FINAL,1991,NOVEMBER/DECEMBER,ALABAMA,GREATER AMBERJACK,2559,77
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,GREATER AMBERJACK,74707,74.2
FINAL,1991,NOVEMBER/DECEMBER,LOUISIANA,GREATER AMBERJACK,341,76.7
FINAL,1992,JANUARY/FEBRUARY,ALABAMA,GREATER AMBERJACK,311,107.1
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,GREATER AMBERJACK,30408,89.6
FINAL,1992,JANUARY/FEBRUARY,LOUISIANA,GREATER AMBERJACK,0,.
FINAL,1992,MARCH/APRIL,ALABAMA,GREATER AMBERJACK,1933,91
FINAL,1992,MARCH/APRIL,FLORIDA,GREATER AMBERJACK,67398,66.5
FINAL,1992,MARCH/APRIL,LOUISIANA,GREATER AMBERJACK,4107,58.3
FINAL,1992,MAY/JUNE,ALABAMA,GREATER AMBERJACK,28455,34.3
FINAL,1992,MAY/JUNE,FLORIDA,GREATER AMBERJACK,87022,46.1
FINAL,1992,MAY/JUNE,LOUISIANA,GREATER AMBERJACK,2302,74.4
FINAL,1992,MAY/JUNE,MISSISSIPPI,GREATER AMBERJACK,1382,93.2
FINAL,1992,JULY/AUGUST,ALABAMA,GREATER AMBERJACK,16220,46.8
FINAL,1992,JULY/AUGUST,FLORIDA,GREATER AMBERJACK,106128,61.9
FINAL,1992,JULY/AUGUST,LOUISIANA,GREATER AMBERJACK,513,75.1
FINAL,1992,JULY/AUGUST,MISSISSIPPI,GREATER AMBERJACK,0,.
FINAL,1992,SEPTEMBER/OCTOBER,ALABAMA,GREATER AMBERJACK,7370,63.4
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,GREATER AMBERJACK,15074,50.4
FINAL,1992,SEPTEMBER/OCTOBER,LOUISIANA,GREATER AMBERJACK,654,70.7
FINAL,1992,NOVEMBER/DECEMBER,ALABAMA,GREATER AMBERJACK,7936,59.8
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,GREATER AMBERJACK,5079,70.5
FINAL,1992,NOVEMBER/DECEMBER,LOUISIANA,GREATER AMBERJACK,1,97.3
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,GREATER AMBERJACK,28511,91.3
FINAL,1993,MARCH/APRIL,ALABAMA,GREATER AMBERJACK,3495,44.3
FINAL,1993,MARCH/APRIL,FLORIDA,GREATER AMBERJACK,20915,62.3
FINAL,1993,MARCH/APRIL,LOUISIANA,GREATER AMBERJACK,1456,98.1
FINAL,1993,MAY/JUNE,ALABAMA,GREATER AMBERJACK,47767,53.7
FINAL,1993,MAY/JUNE,FLORIDA,GREATER AMBERJACK,27811,44.9
FINAL,1993,MAY/JUNE,LOUISIANA,GREATER AMBERJACK,412,73.3
FINAL,1993,JULY/AUGUST,ALABAMA,GREATER AMBERJACK,3680,72.1
FINAL,1993,JULY/AUGUST,FLORIDA,GREATER AMBERJACK,64107,43.6
FINAL,1993,JULY/AUGUST,LOUISIANA,GREATER AMBERJACK,1936,69.2
FINAL,1993,SEPTEMBER/OCTOBER,ALABAMA,GREATER AMBERJACK,10441,54.3
