Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,GREATER AMBERJACK,24921,92.7,0
FINAL,1990,MARCH/APRIL,ALABAMA,GREATER AMBERJACK,95931,104.6,0
FINAL,1990,MARCH/APRIL,FLORIDA,GREATER AMBERJACK,7004,99.5,0
FINAL,1990,MAY/JUNE,ALABAMA,GREATER AMBERJACK,2749,100.5,0
FINAL,1990,MAY/JUNE,FLORIDA,GREATER AMBERJACK,164849,70.2,0
FINAL,1990,JULY/AUGUST,ALABAMA,GREATER AMBERJACK,4195,67.2,0
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,GREATER AMBERJACK,35011,78.9,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,GREATER AMBERJACK,292828,55.3,0
FINAL,1990,SEPTEMBER/OCTOBER,LOUISIANA,GREATER AMBERJACK,2371,56.9,0
FINAL,1990,NOVEMBER/DECEMBER,ALABAMA,GREATER AMBERJACK,372,112.6,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,GREATER AMBERJACK,305150,88.7,0
FINAL,1991,JANUARY/FEBRUARY,ALABAMA,GREATER AMBERJACK,0,.,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,GREATER AMBERJACK,2590,91.4,0
FINAL,1991,MARCH/APRIL,ALABAMA,GREATER AMBERJACK,420,112.6,0
FINAL,1991,MARCH/APRIL,FLORIDA,GREATER AMBERJACK,133574,57.2,0
FINAL,1991,MARCH/APRIL,LOUISIANA,GREATER AMBERJACK,319,91,0
FINAL,1991,MAY/JUNE,ALABAMA,GREATER AMBERJACK,25936,59,0
FINAL,1991,MAY/JUNE,FLORIDA,GREATER AMBERJACK,1180922,74,0
FINAL,1991,MAY/JUNE,LOUISIANA,GREATER AMBERJACK,88612,59.5,0
FINAL,1991,MAY/JUNE,MISSISSIPPI,GREATER AMBERJACK,27,102.2,0
FINAL,1991,JULY/AUGUST,ALABAMA,GREATER AMBERJACK,13282,71.5,0
FINAL,1991,JULY/AUGUST,FLORIDA,GREATER AMBERJACK,479063,51.7,0
FINAL,1991,JULY/AUGUST,LOUISIANA,GREATER AMBERJACK,27548,57.2,0
FINAL,1991,SEPTEMBER/OCTOBER,ALABAMA,GREATER AMBERJACK,75586,63.4,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,GREATER AMBERJACK,307510,52,0
FINAL,1991,SEPTEMBER/OCTOBER,LOUISIANA,GREATER AMBERJACK,1678,85,0
FINAL,1991,SEPTEMBER/OCTOBER,MISSISSIPPI,GREATER AMBERJACK,581,99.7,0
FINAL,1991,NOVEMBER/DECEMBER,ALABAMA,GREATER AMBERJACK,15020,73.8,0
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,GREATER AMBERJACK,454990,71.1,0
FINAL,1991,NOVEMBER/DECEMBER,LOUISIANA,GREATER AMBERJACK,4067,77,0
FINAL,1992,JANUARY/FEBRUARY,ALABAMA,GREATER AMBERJACK,0,.,311
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,GREATER AMBERJACK,0,.,30408
FINAL,1992,JANUARY/FEBRUARY,LOUISIANA,GREATER AMBERJACK,0,.,0
FINAL,1992,MARCH/APRIL,ALABAMA,GREATER AMBERJACK,20612,91,0
FINAL,1992,MARCH/APRIL,FLORIDA,GREATER AMBERJACK,862588,63.1,0
FINAL,1992,MARCH/APRIL,LOUISIANA,GREATER AMBERJACK,71392,62.1,0
FINAL,1992,MAY/JUNE,ALABAMA,GREATER AMBERJACK,196380,32.2,0
FINAL,1992,MAY/JUNE,FLORIDA,GREATER AMBERJACK,633882,46.8,0
FINAL,1992,MAY/JUNE,LOUISIANA,GREATER AMBERJACK,25514,74.3,0
FINAL,1992,MAY/JUNE,MISSISSIPPI,GREATER AMBERJACK,16148,93.2,0
FINAL,1992,JULY/AUGUST,ALABAMA,GREATER AMBERJACK,128381,47.6,0
FINAL,1992,JULY/AUGUST,FLORIDA,GREATER AMBERJACK,617180,53.8,0
FINAL,1992,JULY/AUGUST,LOUISIANA,GREATER AMBERJACK,4010,59.4,0
FINAL,1992,JULY/AUGUST,MISSISSIPPI,GREATER AMBERJACK,0,.,0
FINAL,1992,SEPTEMBER/OCTOBER,ALABAMA,GREATER AMBERJACK,69360,62.4,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,GREATER AMBERJACK,127544,50.7,0
FINAL,1992,SEPTEMBER/OCTOBER,LOUISIANA,GREATER AMBERJACK,6857,69.6,0
FINAL,1992,NOVEMBER/DECEMBER,ALABAMA,GREATER AMBERJACK,69622,57.5,0
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,GREATER AMBERJACK,62043,73.8,0
FINAL,1992,NOVEMBER/DECEMBER,LOUISIANA,GREATER AMBERJACK,11,97.3,0
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,GREATER AMBERJACK,505713,91.3,0
FINAL,1993,MARCH/APRIL,ALABAMA,GREATER AMBERJACK,33319,44.3,0
FINAL,1993,MARCH/APRIL,FLORIDA,GREATER AMBERJACK,146290,57.8,0
FINAL,1993,MARCH/APRIL,LOUISIANA,GREATER AMBERJACK,13835,98.1,0
FINAL,1993,MAY/JUNE,ALABAMA,GREATER AMBERJACK,460083,50.4,0
FINAL,1993,MAY/JUNE,FLORIDA,GREATER AMBERJACK,397216,53.2,0
FINAL,1993,MAY/JUNE,LOUISIANA,GREATER AMBERJACK,4122,69.5,0
FINAL,1993,JULY/AUGUST,ALABAMA,GREATER AMBERJACK,26370,74.1,0
FINAL,1993,JULY/AUGUST,FLORIDA,GREATER AMBERJACK,622721,40.1,0
FINAL,1993,JULY/AUGUST,LOUISIANA,GREATER AMBERJACK,8976,63.5,0
FINAL,1993,SEPTEMBER/OCTOBER,ALABAMA,GREATER AMBERJACK,123323,59.1,0
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,GREATER AMBERJACK,163090,41.2,0
FINAL,1993,NOVEMBER/DECEMBER,ALABAMA,GREATER AMBERJACK,62708,99.1,0
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,GREATER AMBERJACK,42560,93.6,0
FINAL,1993,NOVEMBER/DECEMBER,LOUISIANA,GREATER AMBERJACK,12440,79.8,0
FINAL,1994,JANUARY/FEBRUARY,FLORIDA,GREATER AMBERJACK,63342,72.5,0
FINAL,1994,JANUARY/FEBRUARY,LOUISIANA,GREATER AMBERJACK,0,.,0
FINAL,1994,MARCH/APRIL,ALABAMA,GREATER AMBERJACK,10354,102.5,0
FINAL,1994,MARCH/APRIL,FLORIDA,GREATER AMBERJACK,265216,97.8,0
FINAL,1994,MAY/JUNE,ALABAMA,GREATER AMBERJACK,281989,75.1,0
FINAL,1994,MAY/JUNE,FLORIDA,GREATER AMBERJACK,468548,68.2,0
FINAL,1994,MAY/JUNE,LOUISIANA,GREATER AMBERJACK,12974,100.4,0
FINAL,1994,MAY/JUNE,MISSISSIPPI,GREATER AMBERJACK,649,101.3,0
FINAL,1994,JULY/AUGUST,ALABAMA,GREATER AMBERJACK,59153,54.1,0
FINAL,1994,JULY/AUGUST,FLORIDA,GREATER AMBERJACK,189785,89.1,0
FINAL,1994,JULY/AUGUST,LOUISIANA,GREATER AMBERJACK,8980,79,0
FINAL,1994,SEPTEMBER/OCTOBER,ALABAMA,GREATER AMBERJACK,6957,61.6,0
FINAL,1994,SEPTEMBER/OCTOBER,FLORIDA,GREATER AMBERJACK,14045,82.6,0
FINAL,1994,SEPTEMBER/OCTOBER,LOUISIANA,GREATER AMBERJACK,601,101.1,0
FINAL,1994,NOVEMBER/DECEMBER,ALABAMA,GREATER AMBERJACK,41871,82.9,0
FINAL,1994,NOVEMBER/DECEMBER,FLORIDA,GREATER AMBERJACK,37799,48.5,0
