Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,MAY/JUNE,MAINE,HADDOCK,138,100.3
FINAL,1990,JULY/AUGUST,MASSACHUSETTS,HADDOCK,160,84.5
FINAL,1990,SEPTEMBER/OCTOBER,MASSACHUSETTS,HADDOCK,189,62.7
FINAL,1991,JULY/AUGUST,MASSACHUSETTS,HADDOCK,113,94.1
FINAL,1991,NOVEMBER/DECEMBER,RHODE ISLAND,HADDOCK,0,.
FINAL,1992,NOVEMBER/DECEMBER,MASSACHUSETTS,HADDOCK,240,96.4
FINAL,1993,MAY/JUNE,MASSACHUSETTS,HADDOCK,674,84.1
FINAL,1994,MAY/JUNE,MAINE,HADDOCK,0,.
FINAL,1994,MAY/JUNE,MASSACHUSETTS,HADDOCK,436,91.8
FINAL,1994,JULY/AUGUST,MAINE,HADDOCK,652,98.1
FINAL,1994,JULY/AUGUST,MASSACHUSETTS,HADDOCK,36,101.5
FINAL,1994,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,HADDOCK,15,98.2
FINAL,1995,MARCH/APRIL,MAINE,HADDOCK,1791,100
FINAL,1995,MARCH/APRIL,MASSACHUSETTS,HADDOCK,479,113.1
FINAL,1995,MAY/JUNE,MAINE,HADDOCK,461,122.7
FINAL,1995,MAY/JUNE,MASSACHUSETTS,HADDOCK,3169,78.8
FINAL,1995,MAY/JUNE,NEW HAMPSHIRE,HADDOCK,2148,57.5
FINAL,1995,JULY/AUGUST,MAINE,HADDOCK,860,76
FINAL,1995,JULY/AUGUST,MASSACHUSETTS,HADDOCK,812,71.4
FINAL,1995,JULY/AUGUST,NEW HAMPSHIRE,HADDOCK,983,78.2
FINAL,1995,SEPTEMBER/OCTOBER,MAINE,HADDOCK,110720,83.9
FINAL,1995,SEPTEMBER/OCTOBER,MASSACHUSETTS,HADDOCK,1061,90.1
FINAL,1995,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,HADDOCK,1330,80.7
FINAL,1996,MAY/JUNE,MASSACHUSETTS,HADDOCK,22,92.3
FINAL,1996,MAY/JUNE,NEW HAMPSHIRE,HADDOCK,478,79.5
FINAL,1996,JULY/AUGUST,MAINE,HADDOCK,300,83.7
FINAL,1996,JULY/AUGUST,MASSACHUSETTS,HADDOCK,322,100.8
FINAL,1996,JULY/AUGUST,NEW HAMPSHIRE,HADDOCK,1356,74.5
FINAL,1996,SEPTEMBER/OCTOBER,MAINE,HADDOCK,284,128.1
FINAL,1996,SEPTEMBER/OCTOBER,MASSACHUSETTS,HADDOCK,134,82.2
FINAL,1996,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,HADDOCK,103,100
FINAL,1996,NOVEMBER/DECEMBER,MASSACHUSETTS,HADDOCK,17,68
FINAL,1997,MARCH/APRIL,MASSACHUSETTS,HADDOCK,2041,95.5
FINAL,1997,MAY/JUNE,MASSACHUSETTS,HADDOCK,0,.
FINAL,1997,MAY/JUNE,NEW HAMPSHIRE,HADDOCK,13111,72.1
FINAL,1997,JULY/AUGUST,MASSACHUSETTS,HADDOCK,493,98.3
FINAL,1997,JULY/AUGUST,NEW HAMPSHIRE,HADDOCK,10458,63.8
FINAL,1997,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,HADDOCK,484,69.7
FINAL,1997,NOVEMBER/DECEMBER,MASSACHUSETTS,HADDOCK,450,97.8
FINAL,1998,MARCH/APRIL,MASSACHUSETTS,HADDOCK,208,102.9
FINAL,1998,MAY/JUNE,MASSACHUSETTS,HADDOCK,371,73.7
FINAL,1998,MAY/JUNE,NEW HAMPSHIRE,HADDOCK,5819,52.1
FINAL,1998,JULY/AUGUST,MAINE,HADDOCK,437,93.2
FINAL,1998,JULY/AUGUST,MASSACHUSETTS,HADDOCK,9911,75.7
FINAL,1998,JULY/AUGUST,NEW HAMPSHIRE,HADDOCK,5071,38.4
FINAL,1998,JULY/AUGUST,RHODE ISLAND,HADDOCK,0,.
FINAL,1998,SEPTEMBER/OCTOBER,MASSACHUSETTS,HADDOCK,46,98
FINAL,1998,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,HADDOCK,395,98.4
