Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,MAY/JUNE,MAINE,HADDOCK,468,100.3,0
FINAL,1990,JULY/AUGUST,MASSACHUSETTS,HADDOCK,554,83.4,0
FINAL,1990,SEPTEMBER/OCTOBER,MASSACHUSETTS,HADDOCK,481,75.2,0
FINAL,1991,JULY/AUGUST,MASSACHUSETTS,HADDOCK,0,.,113
FINAL,1991,NOVEMBER/DECEMBER,RHODE ISLAND,HADDOCK,0,.,0
FINAL,1992,NOVEMBER/DECEMBER,MASSACHUSETTS,HADDOCK,217,96.4,0
FINAL,1993,MAY/JUNE,MASSACHUSETTS,HADDOCK,1198,85.2,0
FINAL,1994,MAY/JUNE,MAINE,HADDOCK,0,.,0
FINAL,1994,MAY/JUNE,MASSACHUSETTS,HADDOCK,734,94.3,0
FINAL,1994,JULY/AUGUST,MAINE,HADDOCK,1015,98.1,0
FINAL,1994,JULY/AUGUST,MASSACHUSETTS,HADDOCK,38,101.5,0
FINAL,1994,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,HADDOCK,37,98.2,0
FINAL,1995,MARCH/APRIL,MAINE,HADDOCK,2463,100,0
FINAL,1995,MARCH/APRIL,MASSACHUSETTS,HADDOCK,1149,113.1,0
FINAL,1995,MAY/JUNE,MAINE,HADDOCK,709,122.6,0
FINAL,1995,MAY/JUNE,MASSACHUSETTS,HADDOCK,5121,74.5,0
FINAL,1995,MAY/JUNE,NEW HAMPSHIRE,HADDOCK,3829,58.4,0
FINAL,1995,JULY/AUGUST,MAINE,HADDOCK,918,76.9,0
FINAL,1995,JULY/AUGUST,MASSACHUSETTS,HADDOCK,1413,75,0
FINAL,1995,JULY/AUGUST,NEW HAMPSHIRE,HADDOCK,1773,77.9,0
FINAL,1995,SEPTEMBER/OCTOBER,MAINE,HADDOCK,158971,83.9,0
FINAL,1995,SEPTEMBER/OCTOBER,MASSACHUSETTS,HADDOCK,1406,86.9,0
FINAL,1995,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,HADDOCK,2557,84,0
FINAL,1996,MAY/JUNE,MASSACHUSETTS,HADDOCK,43,92,0
FINAL,1996,MAY/JUNE,NEW HAMPSHIRE,HADDOCK,756,80.2,0
FINAL,1996,JULY/AUGUST,MAINE,HADDOCK,418,83.5,0
FINAL,1996,JULY/AUGUST,MASSACHUSETTS,HADDOCK,874,100.8,0
FINAL,1996,JULY/AUGUST,NEW HAMPSHIRE,HADDOCK,2099,75.8,0
FINAL,1996,SEPTEMBER/OCTOBER,MAINE,HADDOCK,540,127.7,0
FINAL,1996,SEPTEMBER/OCTOBER,MASSACHUSETTS,HADDOCK,258,84.8,0
FINAL,1996,SEPTEMBER/OCTOBER,NEW HAMPSHIRE,HADDOCK,193,100,0
FINAL,1996,NOVEMBER/DECEMBER,MASSACHUSETTS,HADDOCK,53,68,0
