Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,41182,68.2
FINAL,1990,MARCH/APRIL,FLORIDA,KING MACKEREL,65099,37.4
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,KING MACKEREL,45861,59.2
FINAL,1990,MARCH/APRIL,SOUTH CAROLINA,KING MACKEREL,1913,107.6
FINAL,1990,MAY/JUNE,FLORIDA,KING MACKEREL,61226,29.7
FINAL,1990,MAY/JUNE,NORTH CAROLINA,KING MACKEREL,29945,35.1
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,KING MACKEREL,5933,40.8
FINAL,1990,MAY/JUNE,VIRGINIA,KING MACKEREL,361,99.6
FINAL,1990,JULY/AUGUST,FLORIDA,KING MACKEREL,92132,24.2
FINAL,1990,JULY/AUGUST,GEORGIA,KING MACKEREL,6556,56.9
FINAL,1990,JULY/AUGUST,NEW YORK,KING MACKEREL,848,97.5
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,KING MACKEREL,132179,35.7
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,KING MACKEREL,4897,75.5
FINAL,1990,JULY/AUGUST,VIRGINIA,KING MACKEREL,144,102.9
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,18951,34.2
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,KING MACKEREL,228,102.5
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,KING MACKEREL,31458,27.2
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,KING MACKEREL,1192,92
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,560695,60.7
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,KING MACKEREL,33701,70.5
FINAL,1990,NOVEMBER/DECEMBER,SOUTH CAROLINA,KING MACKEREL,4535,68.7
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,5518,59.3
FINAL,1991,MARCH/APRIL,FLORIDA,KING MACKEREL,52028,37.3
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,KING MACKEREL,1208,83.5
FINAL,1991,MAY/JUNE,FLORIDA,KING MACKEREL,115974,28.8
FINAL,1991,MAY/JUNE,GEORGIA,KING MACKEREL,4668,77.8
FINAL,1991,MAY/JUNE,NORTH CAROLINA,KING MACKEREL,54094,24.9
FINAL,1991,MAY/JUNE,SOUTH CAROLINA,KING MACKEREL,19386,70.4
FINAL,1991,JULY/AUGUST,DELAWARE,KING MACKEREL,72,56.3
FINAL,1991,JULY/AUGUST,FLORIDA,KING MACKEREL,75407,20.9
FINAL,1991,JULY/AUGUST,GEORGIA,KING MACKEREL,21343,54.4
FINAL,1991,JULY/AUGUST,MARYLAND,KING MACKEREL,683,95.3
FINAL,1991,JULY/AUGUST,NEW JERSEY,KING MACKEREL,0,.
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,KING MACKEREL,95998,32
FINAL,1991,JULY/AUGUST,RHODE ISLAND,KING MACKEREL,442,98.7
FINAL,1991,JULY/AUGUST,SOUTH CAROLINA,KING MACKEREL,40586,44.4
FINAL,1991,JULY/AUGUST,VIRGINIA,KING MACKEREL,1241,79.7
FINAL,1991,SEPTEMBER/OCTOBER,DELAWARE,KING MACKEREL,78,79.5
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,54927,39.3
FINAL,1991,SEPTEMBER/OCTOBER,MARYLAND,KING MACKEREL,1015,84.7
FINAL,1991,SEPTEMBER/OCTOBER,MASSACHUSETTS,KING MACKEREL,2012,96.7
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,KING MACKEREL,63067,23.8
FINAL,1991,SEPTEMBER/OCTOBER,SOUTH CAROLINA,KING MACKEREL,21373,57.9
FINAL,1991,SEPTEMBER/OCTOBER,VIRGINIA,KING MACKEREL,575,94.3
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,110539,44.3
FINAL,1991,NOVEMBER/DECEMBER,NORTH CAROLINA,KING MACKEREL,43939,61.3
FINAL,1991,NOVEMBER/DECEMBER,SOUTH CAROLINA,KING MACKEREL,1370,78.4
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,18372,39.4
FINAL,1992,MARCH/APRIL,FLORIDA,KING MACKEREL,24984,32.1
FINAL,1992,MARCH/APRIL,GEORGIA,KING MACKEREL,245,95.1
FINAL,1992,MARCH/APRIL,NORTH CAROLINA,KING MACKEREL,6520,66
FINAL,1992,MARCH/APRIL,SOUTH CAROLINA,KING MACKEREL,11795,72.7
FINAL,1992,MAY/JUNE,FLORIDA,KING MACKEREL,90282,25.8
FINAL,1992,MAY/JUNE,GEORGIA,KING MACKEREL,11875,67.5
FINAL,1992,MAY/JUNE,MARYLAND,KING MACKEREL,624,98.4
FINAL,1992,MAY/JUNE,NORTH CAROLINA,KING MACKEREL,34541,26.5
FINAL,1992,MAY/JUNE,SOUTH CAROLINA,KING MACKEREL,7369,52.4
FINAL,1992,JULY/AUGUST,DELAWARE,KING MACKEREL,104,78.5
FINAL,1992,JULY/AUGUST,FLORIDA,KING MACKEREL,135590,15.6
FINAL,1992,JULY/AUGUST,GEORGIA,KING MACKEREL,21670,44.5
FINAL,1992,JULY/AUGUST,MARYLAND,KING MACKEREL,5813,84.7
FINAL,1992,JULY/AUGUST,NORTH CAROLINA,KING MACKEREL,59086,21.3
FINAL,1992,JULY/AUGUST,SOUTH CAROLINA,KING MACKEREL,27670,66.9
FINAL,1992,JULY/AUGUST,VIRGINIA,KING MACKEREL,6844,61.6
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,53889,23.2
FINAL,1992,SEPTEMBER/OCTOBER,GEORGIA,KING MACKEREL,169,86.2
FINAL,1992,SEPTEMBER/OCTOBER,MARYLAND,KING MACKEREL,8730,88
FINAL,1992,SEPTEMBER/OCTOBER,NORTH CAROLINA,KING MACKEREL,53883,26
FINAL,1992,SEPTEMBER/OCTOBER,SOUTH CAROLINA,KING MACKEREL,24662,72.1
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,44236,30.7
FINAL,1992,NOVEMBER/DECEMBER,NORTH CAROLINA,KING MACKEREL,11538,68
FINAL,1992,NOVEMBER/DECEMBER,SOUTH CAROLINA,KING MACKEREL,43052,70.5
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,114533,25.5
FINAL,1993,MARCH/APRIL,FLORIDA,KING MACKEREL,52065,35.9
FINAL,1993,MARCH/APRIL,NORTH CAROLINA,KING MACKEREL,584,91.7
FINAL,1993,MARCH/APRIL,SOUTH CAROLINA,KING MACKEREL,4062,74.6
FINAL,1993,MAY/JUNE,FLORIDA,KING MACKEREL,52652,28.1
FINAL,1993,MAY/JUNE,GEORGIA,KING MACKEREL,138,87.3
FINAL,1993,MAY/JUNE,NORTH CAROLINA,KING MACKEREL,34439,28.3
FINAL,1993,MAY/JUNE,SOUTH CAROLINA,KING MACKEREL,16439,57.2
FINAL,1993,JULY/AUGUST,FLORIDA,KING MACKEREL,87664,22
FINAL,1993,JULY/AUGUST,GEORGIA,KING MACKEREL,1118,37.2
FINAL,1993,JULY/AUGUST,MARYLAND,KING MACKEREL,4025,79.6
FINAL,1993,JULY/AUGUST,NORTH CAROLINA,KING MACKEREL,35569,22.4
FINAL,1993,JULY/AUGUST,SOUTH CAROLINA,KING MACKEREL,8412,55.9
FINAL,1993,JULY/AUGUST,VIRGINIA,KING MACKEREL,557,99.2
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,115959,28.9
FINAL,1993,SEPTEMBER/OCTOBER,GEORGIA,KING MACKEREL,50,125.9
FINAL,1993,SEPTEMBER/OCTOBER,NORTH CAROLINA,KING MACKEREL,22203,32
FINAL,1993,SEPTEMBER/OCTOBER,SOUTH CAROLINA,KING MACKEREL,13068,98.9
FINAL,1993,SEPTEMBER/OCTOBER,VIRGINIA,KING MACKEREL,7451,73.5
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,83314,35.2
FINAL,1993,NOVEMBER/DECEMBER,NORTH CAROLINA,KING MACKEREL,28909,42.9
FINAL,1994,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,46909,26.6
FINAL,1994,MARCH/APRIL,FLORIDA,KING MACKEREL,19714,35
FINAL,1994,MARCH/APRIL,NORTH CAROLINA,KING MACKEREL,59703,53.8
FINAL,1994,MARCH/APRIL,SOUTH CAROLINA,KING MACKEREL,36831,40.5
FINAL,1994,MAY/JUNE,FLORIDA,KING MACKEREL,91791,28.9
FINAL,1994,MAY/JUNE,GEORGIA,KING MACKEREL,7074,86.4
FINAL,1994,MAY/JUNE,NORTH CAROLINA,KING MACKEREL,35758,24.9
FINAL,1994,MAY/JUNE,SOUTH CAROLINA,KING MACKEREL,46205,64.6
FINAL,1994,MAY/JUNE,VIRGINIA,KING MACKEREL,3486,102.5
FINAL,1994,JULY/AUGUST,FLORIDA,KING MACKEREL,126728,33.6
