Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,82535,67.8,0
FINAL,1990,MARCH/APRIL,FLORIDA,KING MACKEREL,154751,35.7,0
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,KING MACKEREL,153019,57.2,0
FINAL,1990,MARCH/APRIL,SOUTH CAROLINA,KING MACKEREL,18785,107.6,0
FINAL,1990,MAY/JUNE,FLORIDA,KING MACKEREL,316259,35.1,0
FINAL,1990,MAY/JUNE,NORTH CAROLINA,KING MACKEREL,145569,39.2,0
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,KING MACKEREL,38509,48.4,0
FINAL,1990,MAY/JUNE,VIRGINIA,KING MACKEREL,1262,99.6,0
FINAL,1990,JULY/AUGUST,FLORIDA,KING MACKEREL,301296,24.4,0
FINAL,1990,JULY/AUGUST,GEORGIA,KING MACKEREL,29345,59.2,0
FINAL,1990,JULY/AUGUST,NEW YORK,KING MACKEREL,2036,97.5,0
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,KING MACKEREL,579041,43.3,0
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,KING MACKEREL,29047,84.5,0
FINAL,1990,JULY/AUGUST,VIRGINIA,KING MACKEREL,1696,102.9,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,43967,36.2,0
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,KING MACKEREL,2287,102.5,0
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,KING MACKEREL,109352,27.5,0
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,KING MACKEREL,4473,93.1,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,1308027,62.6,0
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,KING MACKEREL,148373,72.5,0
FINAL,1990,NOVEMBER/DECEMBER,SOUTH CAROLINA,KING MACKEREL,16764,72,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,19424,57.9,0
FINAL,1991,MARCH/APRIL,FLORIDA,KING MACKEREL,217519,38.4,0
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,KING MACKEREL,5709,86.1,0
FINAL,1991,MAY/JUNE,FLORIDA,KING MACKEREL,412738,28.5,0
FINAL,1991,MAY/JUNE,GEORGIA,KING MACKEREL,25208,77.8,0
FINAL,1991,MAY/JUNE,NORTH CAROLINA,KING MACKEREL,216204,26.1,0
FINAL,1991,MAY/JUNE,SOUTH CAROLINA,KING MACKEREL,101144,78,0
FINAL,1991,JULY/AUGUST,DELAWARE,KING MACKEREL,370,68,0
FINAL,1991,JULY/AUGUST,FLORIDA,KING MACKEREL,289986,21.2,0
FINAL,1991,JULY/AUGUST,GEORGIA,KING MACKEREL,114358,54.6,0
FINAL,1991,JULY/AUGUST,MARYLAND,KING MACKEREL,2125,95.3,0
FINAL,1991,JULY/AUGUST,NEW JERSEY,KING MACKEREL,0,.,0
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,KING MACKEREL,461080,38.2,0
FINAL,1991,JULY/AUGUST,RHODE ISLAND,KING MACKEREL,1007,98.7,0
FINAL,1991,JULY/AUGUST,SOUTH CAROLINA,KING MACKEREL,175379,58.5,0
FINAL,1991,JULY/AUGUST,VIRGINIA,KING MACKEREL,3953,72.7,0
FINAL,1991,SEPTEMBER/OCTOBER,DELAWARE,KING MACKEREL,259,79.5,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,188220,43.3,0
FINAL,1991,SEPTEMBER/OCTOBER,MARYLAND,KING MACKEREL,1434,84.7,0
FINAL,1991,SEPTEMBER/OCTOBER,MASSACHUSETTS,KING MACKEREL,4427,96.7,0
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,KING MACKEREL,273016,31.6,0
FINAL,1991,SEPTEMBER/OCTOBER,SOUTH CAROLINA,KING MACKEREL,62099,57.1,0
FINAL,1991,SEPTEMBER/OCTOBER,VIRGINIA,KING MACKEREL,288,94.3,0
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,390884,44.4,0
FINAL,1991,NOVEMBER/DECEMBER,NORTH CAROLINA,KING MACKEREL,219239,57.2,0
FINAL,1991,NOVEMBER/DECEMBER,SOUTH CAROLINA,KING MACKEREL,10125,87.8,0
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,0,.,18372
FINAL,1992,MARCH/APRIL,FLORIDA,KING MACKEREL,110087,36.8,0
FINAL,1992,MARCH/APRIL,GEORGIA,KING MACKEREL,2218,95.1,0
FINAL,1992,MARCH/APRIL,NORTH CAROLINA,KING MACKEREL,17584,52.9,0
FINAL,1992,MARCH/APRIL,SOUTH CAROLINA,KING MACKEREL,38965,71.8,0
FINAL,1992,MAY/JUNE,FLORIDA,KING MACKEREL,409234,26.8,0
FINAL,1992,MAY/JUNE,GEORGIA,KING MACKEREL,67769,69.4,0
FINAL,1992,MAY/JUNE,MARYLAND,KING MACKEREL,1971,98.4,0
FINAL,1992,MAY/JUNE,NORTH CAROLINA,KING MACKEREL,132072,33.7,0
FINAL,1992,MAY/JUNE,SOUTH CAROLINA,KING MACKEREL,20971,45.6,0
FINAL,1992,JULY/AUGUST,DELAWARE,KING MACKEREL,380,86.3,0
FINAL,1992,JULY/AUGUST,FLORIDA,KING MACKEREL,735056,16.7,0
FINAL,1992,JULY/AUGUST,GEORGIA,KING MACKEREL,155819,48.2,0
FINAL,1992,JULY/AUGUST,MARYLAND,KING MACKEREL,19703,87.7,0
FINAL,1992,JULY/AUGUST,NORTH CAROLINA,KING MACKEREL,204476,21.6,0
FINAL,1992,JULY/AUGUST,SOUTH CAROLINA,KING MACKEREL,129452,55.5,0
FINAL,1992,JULY/AUGUST,VIRGINIA,KING MACKEREL,16033,65.5,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,210420,24.2,0
FINAL,1992,SEPTEMBER/OCTOBER,GEORGIA,KING MACKEREL,639,86.5,0
FINAL,1992,SEPTEMBER/OCTOBER,MARYLAND,KING MACKEREL,33071,79,0
FINAL,1992,SEPTEMBER/OCTOBER,NORTH CAROLINA,KING MACKEREL,236912,26.5,0
FINAL,1992,SEPTEMBER/OCTOBER,SOUTH CAROLINA,KING MACKEREL,106526,75.6,0
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,213418,35.1,0
FINAL,1992,NOVEMBER/DECEMBER,NORTH CAROLINA,KING MACKEREL,60242,71.4,0
FINAL,1992,NOVEMBER/DECEMBER,SOUTH CAROLINA,KING MACKEREL,175719,70.6,0
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,355779,28,0
FINAL,1993,MARCH/APRIL,FLORIDA,KING MACKEREL,201127,39,0
FINAL,1993,MARCH/APRIL,NORTH CAROLINA,KING MACKEREL,4825,94.4,0
FINAL,1993,MARCH/APRIL,SOUTH CAROLINA,KING MACKEREL,22875,76.2,0
FINAL,1993,MAY/JUNE,FLORIDA,KING MACKEREL,293820,30.5,0
FINAL,1993,MAY/JUNE,GEORGIA,KING MACKEREL,498,87.3,0
FINAL,1993,MAY/JUNE,NORTH CAROLINA,KING MACKEREL,129676,28.3,0
