Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,41931,89.4
FINAL,1990,MARCH/APRIL,ALABAMA,KING MACKEREL,4350,19.7
FINAL,1990,MARCH/APRIL,FLORIDA,KING MACKEREL,168436,29
FINAL,1990,MARCH/APRIL,LOUISIANA,KING MACKEREL,30,60.4
FINAL,1990,MAY/JUNE,ALABAMA,KING MACKEREL,7243,65.2
FINAL,1990,MAY/JUNE,FLORIDA,KING MACKEREL,153248,42
FINAL,1990,JULY/AUGUST,ALABAMA,KING MACKEREL,46591,48
FINAL,1990,JULY/AUGUST,FLORIDA,KING MACKEREL,49948,45.4
FINAL,1990,JULY/AUGUST,MISSISSIPPI,KING MACKEREL,384,73
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,KING MACKEREL,49139,77.3
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,458311,64.2
FINAL,1990,SEPTEMBER/OCTOBER,MISSISSIPPI,KING MACKEREL,40,75
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,53850,69.1
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,86271,61.3
FINAL,1991,MARCH/APRIL,FLORIDA,KING MACKEREL,126845,54
FINAL,1991,MAY/JUNE,ALABAMA,KING MACKEREL,9452,35.1
FINAL,1991,MAY/JUNE,FLORIDA,KING MACKEREL,90632,35.1
FINAL,1991,MAY/JUNE,MISSISSIPPI,KING MACKEREL,76,84.1
FINAL,1991,JULY/AUGUST,ALABAMA,KING MACKEREL,15321,64.3
FINAL,1991,JULY/AUGUST,FLORIDA,KING MACKEREL,366412,33
FINAL,1991,JULY/AUGUST,LOUISIANA,KING MACKEREL,1907,59.8
FINAL,1991,JULY/AUGUST,MISSISSIPPI,KING MACKEREL,5882,76
FINAL,1991,SEPTEMBER/OCTOBER,ALABAMA,KING MACKEREL,56153,35.2
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,248800,39.3
FINAL,1991,SEPTEMBER/OCTOBER,LOUISIANA,KING MACKEREL,1942,87.3
FINAL,1991,SEPTEMBER/OCTOBER,MISSISSIPPI,KING MACKEREL,32589,77
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,15713,78.6
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,34632,46.4
FINAL,1992,MARCH/APRIL,FLORIDA,KING MACKEREL,23270,43.4
FINAL,1992,MARCH/APRIL,LOUISIANA,KING MACKEREL,2069,101
FINAL,1992,MAY/JUNE,ALABAMA,KING MACKEREL,16330,41.7
FINAL,1992,MAY/JUNE,FLORIDA,KING MACKEREL,121422,38.8
FINAL,1992,MAY/JUNE,LOUISIANA,KING MACKEREL,302,101.5
FINAL,1992,MAY/JUNE,MISSISSIPPI,KING MACKEREL,2364,81.1
FINAL,1992,JULY/AUGUST,ALABAMA,KING MACKEREL,16653,38.9
FINAL,1992,JULY/AUGUST,FLORIDA,KING MACKEREL,114270,32.6
FINAL,1992,JULY/AUGUST,LOUISIANA,KING MACKEREL,9913,46.1
FINAL,1992,JULY/AUGUST,MISSISSIPPI,KING MACKEREL,16438,50.6
FINAL,1992,SEPTEMBER/OCTOBER,ALABAMA,KING MACKEREL,31233,29.8
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,62128,35.9
FINAL,1992,SEPTEMBER/OCTOBER,LOUISIANA,KING MACKEREL,7105,57.5
FINAL,1992,SEPTEMBER/OCTOBER,MISSISSIPPI,KING MACKEREL,1175,64.2
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,49002,47
FINAL,1992,NOVEMBER/DECEMBER,MISSISSIPPI,KING MACKEREL,960,89.2
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,40869,41
FINAL,1993,JANUARY/FEBRUARY,LOUISIANA,KING MACKEREL,368,99.8
FINAL,1993,MARCH/APRIL,FLORIDA,KING MACKEREL,68353,35.1
FINAL,1993,MARCH/APRIL,LOUISIANA,KING MACKEREL,25,92.3
FINAL,1993,MAY/JUNE,ALABAMA,KING MACKEREL,33746,42.4
FINAL,1993,MAY/JUNE,FLORIDA,KING MACKEREL,136639,31.2
FINAL,1993,MAY/JUNE,MISSISSIPPI,KING MACKEREL,170,56
FINAL,1993,JULY/AUGUST,ALABAMA,KING MACKEREL,25275,60.5
FINAL,1993,JULY/AUGUST,FLORIDA,KING MACKEREL,65668,27.6
FINAL,1993,JULY/AUGUST,LOUISIANA,KING MACKEREL,4882,75.9
FINAL,1993,JULY/AUGUST,MISSISSIPPI,KING MACKEREL,1846,84.4
FINAL,1993,SEPTEMBER/OCTOBER,ALABAMA,KING MACKEREL,50848,32.7
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,274333,24.8
