Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,443075,91.7,0
FINAL,1990,MARCH/APRIL,ALABAMA,KING MACKEREL,25663,19.7,0
FINAL,1990,MARCH/APRIL,FLORIDA,KING MACKEREL,460829,30.3,0
FINAL,1990,MARCH/APRIL,LOUISIANA,KING MACKEREL,271,60.4,0
FINAL,1990,MAY/JUNE,ALABAMA,KING MACKEREL,19719,67,0
FINAL,1990,MAY/JUNE,FLORIDA,KING MACKEREL,676693,49.6,0
FINAL,1990,JULY/AUGUST,ALABAMA,KING MACKEREL,264740,53,0
FINAL,1990,JULY/AUGUST,FLORIDA,KING MACKEREL,131614,45.8,0
FINAL,1990,JULY/AUGUST,MISSISSIPPI,KING MACKEREL,4197,69.8,0
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,KING MACKEREL,290372,78.2,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,2033893,60.6,0
FINAL,1990,SEPTEMBER/OCTOBER,MISSISSIPPI,KING MACKEREL,23,75,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,148589,69.4,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,605819,63.3,0
FINAL,1991,MARCH/APRIL,FLORIDA,KING MACKEREL,629882,55.2,0
FINAL,1991,MAY/JUNE,ALABAMA,KING MACKEREL,23149,36.7,0
FINAL,1991,MAY/JUNE,FLORIDA,KING MACKEREL,362463,41.3,0
FINAL,1991,MAY/JUNE,MISSISSIPPI,KING MACKEREL,483,91,0
FINAL,1991,JULY/AUGUST,ALABAMA,KING MACKEREL,67959,72,0
FINAL,1991,JULY/AUGUST,FLORIDA,KING MACKEREL,865642,35,0
FINAL,1991,JULY/AUGUST,LOUISIANA,KING MACKEREL,26968,59.7,0
FINAL,1991,JULY/AUGUST,MISSISSIPPI,KING MACKEREL,20307,71.9,0
FINAL,1991,SEPTEMBER/OCTOBER,ALABAMA,KING MACKEREL,261349,32.1,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,632510,35.4,0
FINAL,1991,SEPTEMBER/OCTOBER,LOUISIANA,KING MACKEREL,10725,74,0
FINAL,1991,SEPTEMBER/OCTOBER,MISSISSIPPI,KING MACKEREL,295874,77.7,0
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,KING MACKEREL,69450,87.5,0
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,KING MACKEREL,0,.,34632
FINAL,1992,MARCH/APRIL,FLORIDA,KING MACKEREL,115585,44.9,0
FINAL,1992,MARCH/APRIL,LOUISIANA,KING MACKEREL,1325,101,0
FINAL,1992,MAY/JUNE,ALABAMA,KING MACKEREL,86628,44.8,0
FINAL,1992,MAY/JUNE,FLORIDA,KING MACKEREL,487678,42.2,0
FINAL,1992,MAY/JUNE,LOUISIANA,KING MACKEREL,412,101.5,0
FINAL,1992,MAY/JUNE,MISSISSIPPI,KING MACKEREL,15008,80.2,0
FINAL,1992,JULY/AUGUST,ALABAMA,KING MACKEREL,65932,43.7,0
FINAL,1992,JULY/AUGUST,FLORIDA,KING MACKEREL,501881,33.6,0
FINAL,1992,JULY/AUGUST,LOUISIANA,KING MACKEREL,106057,50.2,0
FINAL,1992,JULY/AUGUST,MISSISSIPPI,KING MACKEREL,60014,58.4,0
FINAL,1992,SEPTEMBER/OCTOBER,ALABAMA,KING MACKEREL,149815,31.4,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,KING MACKEREL,355905,44.7,0
