Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,RED DRUM,27965,63.6
FINAL,1990,JANUARY/FEBRUARY,NORTH CAROLINA,RED DRUM,0,.
FINAL,1990,MARCH/APRIL,FLORIDA,RED DRUM,0,.
FINAL,1990,MARCH/APRIL,GEORGIA,RED DRUM,15155,84.5
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,RED DRUM,2320,101.1
FINAL,1990,MARCH/APRIL,SOUTH CAROLINA,RED DRUM,24020,54.4
FINAL,1990,MAY/JUNE,FLORIDA,RED DRUM,18229,70.2
FINAL,1990,MAY/JUNE,GEORGIA,RED DRUM,151,109.7
FINAL,1990,MAY/JUNE,MARYLAND,RED DRUM,2723,99.8
FINAL,1990,MAY/JUNE,NORTH CAROLINA,RED DRUM,1337,50
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,RED DRUM,27879,60.3
FINAL,1990,JULY/AUGUST,FLORIDA,RED DRUM,68039,61.6
FINAL,1990,JULY/AUGUST,GEORGIA,RED DRUM,15925,43.6
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,RED DRUM,31465,84
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,RED DRUM,39980,54.2
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,RED DRUM,5502,64
FINAL,1990,SEPTEMBER/OCTOBER,GEORGIA,RED DRUM,46983,27.4
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED DRUM,47031,36.5
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED DRUM,75805,31.6
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,RED DRUM,20139,48.5
FINAL,1990,NOVEMBER/DECEMBER,GEORGIA,RED DRUM,60964,56.3
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,RED DRUM,16221,55.5
FINAL,1990,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED DRUM,217181,50.5
FINAL,1990,NOVEMBER/DECEMBER,VIRGINIA,RED DRUM,0,.
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,RED DRUM,4915,69.1
FINAL,1991,MARCH/APRIL,FLORIDA,RED DRUM,19063,77.3
FINAL,1991,MARCH/APRIL,GEORGIA,RED DRUM,20606,43.9
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,RED DRUM,236,68.6
FINAL,1991,MARCH/APRIL,SOUTH CAROLINA,RED DRUM,64484,72
FINAL,1991,MAY/JUNE,FLORIDA,RED DRUM,4311,70.4
FINAL,1991,MAY/JUNE,GEORGIA,RED DRUM,6418,58.1
FINAL,1991,MAY/JUNE,NORTH CAROLINA,RED DRUM,597,100.8
FINAL,1991,MAY/JUNE,SOUTH CAROLINA,RED DRUM,7856,61.5
FINAL,1991,JULY/AUGUST,FLORIDA,RED DRUM,33775,66.7
FINAL,1991,JULY/AUGUST,GEORGIA,RED DRUM,40152,58.2
FINAL,1991,JULY/AUGUST,MARYLAND,RED DRUM,1193,100.6
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,RED DRUM,18827,41.1
FINAL,1991,JULY/AUGUST,SOUTH CAROLINA,RED DRUM,48192,77.9
FINAL,1991,JULY/AUGUST,VIRGINIA,RED DRUM,8013,80.5
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,RED DRUM,71530,31.3
FINAL,1991,SEPTEMBER/OCTOBER,GEORGIA,RED DRUM,65692,31
FINAL,1991,SEPTEMBER/OCTOBER,MARYLAND,RED DRUM,1270,101.8
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED DRUM,62733,36.1
FINAL,1991,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED DRUM,120114,35.2
FINAL,1991,SEPTEMBER/OCTOBER,VIRGINIA,RED DRUM,30847,59.7
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,RED DRUM,116567,59.3
FINAL,1991,NOVEMBER/DECEMBER,GEORGIA,RED DRUM,146713,56.7
FINAL,1991,NOVEMBER/DECEMBER,MARYLAND,RED DRUM,4332,73.3
FINAL,1991,NOVEMBER/DECEMBER,NORTH CAROLINA,RED DRUM,29394,42.7
FINAL,1991,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED DRUM,142652,44.4
FINAL,1991,NOVEMBER/DECEMBER,VIRGINIA,RED DRUM,0,.
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,RED DRUM,10888,57.9
FINAL,1992,MARCH/APRIL,FLORIDA,RED DRUM,1262,101.6
FINAL,1992,MARCH/APRIL,GEORGIA,RED DRUM,12749,34.6
FINAL,1992,MARCH/APRIL,NEW JERSEY,RED DRUM,0,.
FINAL,1992,MARCH/APRIL,NORTH CAROLINA,RED DRUM,0,.
FINAL,1992,MARCH/APRIL,SOUTH CAROLINA,RED DRUM,9416,71
FINAL,1992,MARCH/APRIL,VIRGINIA,RED DRUM,22169,40.5
FINAL,1992,MAY/JUNE,FLORIDA,RED DRUM,75574,43.2
FINAL,1992,MAY/JUNE,GEORGIA,RED DRUM,11002,61.4
FINAL,1992,MAY/JUNE,NORTH CAROLINA,RED DRUM,5187,80.1
FINAL,1992,MAY/JUNE,SOUTH CAROLINA,RED DRUM,4594,52.5
FINAL,1992,MAY/JUNE,VIRGINIA,RED DRUM,1803,101.7
FINAL,1992,JULY/AUGUST,FLORIDA,RED DRUM,121036,47.7
FINAL,1992,JULY/AUGUST,GEORGIA,RED DRUM,14726,42.3
FINAL,1992,JULY/AUGUST,NORTH CAROLINA,RED DRUM,14313,60.1
FINAL,1992,JULY/AUGUST,SOUTH CAROLINA,RED DRUM,64314,54
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,RED DRUM,33661,43
FINAL,1992,SEPTEMBER/OCTOBER,GEORGIA,RED DRUM,56062,36.4
FINAL,1992,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED DRUM,20663,34.6
FINAL,1992,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED DRUM,154028,36.7
FINAL,1992,SEPTEMBER/OCTOBER,VIRGINIA,RED DRUM,10044,62.4
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,RED DRUM,52487,31.3
FINAL,1992,NOVEMBER/DECEMBER,GEORGIA,RED DRUM,58429,27.3
FINAL,1992,NOVEMBER/DECEMBER,NORTH CAROLINA,RED DRUM,7935,54.3
FINAL,1992,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED DRUM,70505,25.5
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,RED DRUM,32950,39.5
FINAL,1993,MARCH/APRIL,FLORIDA,RED DRUM,5441,101
FINAL,1993,MARCH/APRIL,GEORGIA,RED DRUM,320,98.9
FINAL,1993,MARCH/APRIL,NORTH CAROLINA,RED DRUM,11073,87.2
FINAL,1993,MARCH/APRIL,SOUTH CAROLINA,RED DRUM,26001,58.9
FINAL,1993,MARCH/APRIL,VIRGINIA,RED DRUM,5076,66.3
FINAL,1993,MAY/JUNE,FLORIDA,RED DRUM,15351,54
FINAL,1993,MAY/JUNE,GEORGIA,RED DRUM,13173,56.3
FINAL,1993,MAY/JUNE,NORTH CAROLINA,RED DRUM,8929,47.7
FINAL,1993,JULY/AUGUST,FLORIDA,RED DRUM,53751,30.5
FINAL,1993,JULY/AUGUST,GEORGIA,RED DRUM,13954,32.2
FINAL,1993,JULY/AUGUST,NORTH CAROLINA,RED DRUM,9066,40.9
FINAL,1993,JULY/AUGUST,SOUTH CAROLINA,RED DRUM,36641,40.7
FINAL,1993,JULY/AUGUST,VIRGINIA,RED DRUM,0,.
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,RED DRUM,54979,27.3
FINAL,1993,SEPTEMBER/OCTOBER,GEORGIA,RED DRUM,46680,21.5
FINAL,1993,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED DRUM,55157,23.3
FINAL,1993,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED DRUM,130906,48.1
FINAL,1993,SEPTEMBER/OCTOBER,VIRGINIA,RED DRUM,21366,59.4
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,RED DRUM,65863,32.8
FINAL,1993,NOVEMBER/DECEMBER,GEORGIA,RED DRUM,127625,23.9
FINAL,1993,NOVEMBER/DECEMBER,NORTH CAROLINA,RED DRUM,23010,50.4
FINAL,1993,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED DRUM,79310,42.8
FINAL,1993,NOVEMBER/DECEMBER,VIRGINIA,RED DRUM,2929,68.3
FINAL,1994,JANUARY/FEBRUARY,FLORIDA,RED DRUM,47521,31.5
FINAL,1994,MARCH/APRIL,FLORIDA,RED DRUM,14233,98.6
FINAL,1994,MARCH/APRIL,GEORGIA,RED DRUM,44732,50.4
FINAL,1994,MARCH/APRIL,NORTH CAROLINA,RED DRUM,4985,43.3
FINAL,1994,MARCH/APRIL,SOUTH CAROLINA,RED DRUM,21942,54.8
FINAL,1994,MARCH/APRIL,VIRGINIA,RED DRUM,1234,106.2
FINAL,1994,MAY/JUNE,FLORIDA,RED DRUM,43453,40.6
FINAL,1994,MAY/JUNE,GEORGIA,RED DRUM,19196,83.1
FINAL,1994,MAY/JUNE,NORTH CAROLINA,RED DRUM,18785,56.1
FINAL,1994,MAY/JUNE,SOUTH CAROLINA,RED DRUM,6445,103.3
FINAL,1994,MAY/JUNE,VIRGINIA,RED DRUM,0,.
FINAL,1994,JULY/AUGUST,FLORIDA,RED DRUM,48861,25.7
FINAL,1994,JULY/AUGUST,GEORGIA,RED DRUM,8245,32.2
FINAL,1994,JULY/AUGUST,NORTH CAROLINA,RED DRUM,10117,39
FINAL,1994,JULY/AUGUST,SOUTH CAROLINA,RED DRUM,49304,46.2
