Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,RED DRUM,78958,62.3,0
FINAL,1990,JANUARY/FEBRUARY,NORTH CAROLINA,RED DRUM,0,.,0
FINAL,1990,MARCH/APRIL,FLORIDA,RED DRUM,0,.,0
FINAL,1990,MARCH/APRIL,GEORGIA,RED DRUM,11018,84.1,0
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,RED DRUM,1624,101.1,0
FINAL,1990,MARCH/APRIL,SOUTH CAROLINA,RED DRUM,35542,61.7,0
FINAL,1990,MAY/JUNE,FLORIDA,RED DRUM,38663,68.9,0
FINAL,1990,MAY/JUNE,GEORGIA,RED DRUM,106,109.7,0
FINAL,1990,MAY/JUNE,MARYLAND,RED DRUM,2593,99.8,0
FINAL,1990,MAY/JUNE,NORTH CAROLINA,RED DRUM,3233,58,0
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,RED DRUM,105983,75.7,0
FINAL,1990,JULY/AUGUST,FLORIDA,RED DRUM,122712,52.6,0
FINAL,1990,JULY/AUGUST,GEORGIA,RED DRUM,6854,50,0
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,RED DRUM,50950,66.3,0
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,RED DRUM,94306,53.5,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,RED DRUM,11338,71.6,0
FINAL,1990,SEPTEMBER/OCTOBER,GEORGIA,RED DRUM,95974,52.5,0
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED DRUM,41675,31,0
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED DRUM,86593,34.5,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,RED DRUM,51329,51.3,0
FINAL,1990,NOVEMBER/DECEMBER,GEORGIA,RED DRUM,158560,87.2,0
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,RED DRUM,21220,51.1,0
FINAL,1990,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED DRUM,277377,52.9,0
FINAL,1990,NOVEMBER/DECEMBER,VIRGINIA,RED DRUM,0,.,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,RED DRUM,6659,71,0
FINAL,1991,MARCH/APRIL,FLORIDA,RED DRUM,38099,70.4,0
FINAL,1991,MARCH/APRIL,GEORGIA,RED DRUM,26703,37.6,0
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,RED DRUM,3507,70.5,0
FINAL,1991,MARCH/APRIL,SOUTH CAROLINA,RED DRUM,65883,78.9,0
FINAL,1991,MAY/JUNE,FLORIDA,RED DRUM,5820,74.1,0
FINAL,1991,MAY/JUNE,GEORGIA,RED DRUM,6298,64.4,0
FINAL,1991,MAY/JUNE,NORTH CAROLINA,RED DRUM,1319,100.8,0
FINAL,1991,MAY/JUNE,SOUTH CAROLINA,RED DRUM,11227,61.5,0
FINAL,1991,JULY/AUGUST,FLORIDA,RED DRUM,98917,75.4,0
FINAL,1991,JULY/AUGUST,GEORGIA,RED DRUM,34221,58.7,0
FINAL,1991,JULY/AUGUST,MARYLAND,RED DRUM,259,100.6,0
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,RED DRUM,29965,51.8,0
FINAL,1991,JULY/AUGUST,SOUTH CAROLINA,RED DRUM,28296,68.6,0
FINAL,1991,JULY/AUGUST,VIRGINIA,RED DRUM,4573,81.8,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,RED DRUM,179171,33.4,0
FINAL,1991,SEPTEMBER/OCTOBER,GEORGIA,RED DRUM,53085,29.5,0
FINAL,1991,SEPTEMBER/OCTOBER,MARYLAND,RED DRUM,942,101.8,0
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED DRUM,83075,36.2,0
FINAL,1991,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED DRUM,108731,36.7,0
FINAL,1991,SEPTEMBER/OCTOBER,VIRGINIA,RED DRUM,30061,56.8,0
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,RED DRUM,303751,56.8,0
FINAL,1991,NOVEMBER/DECEMBER,GEORGIA,RED DRUM,195715,69.6,0
FINAL,1991,NOVEMBER/DECEMBER,MARYLAND,RED DRUM,5280,73.3,0
FINAL,1991,NOVEMBER/DECEMBER,NORTH CAROLINA,RED DRUM,39039,41.3,0
FINAL,1991,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED DRUM,195549,46,0
FINAL,1991,NOVEMBER/DECEMBER,VIRGINIA,RED DRUM,0,.,0
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,RED DRUM,0,.,10888
FINAL,1992,MARCH/APRIL,FLORIDA,RED DRUM,5891,101.6,0
FINAL,1992,MARCH/APRIL,GEORGIA,RED DRUM,12867,36.8,0
FINAL,1992,MARCH/APRIL,NEW JERSEY,RED DRUM,0,.,0
FINAL,1992,MARCH/APRIL,NORTH CAROLINA,RED DRUM,0,.,0
FINAL,1992,MARCH/APRIL,SOUTH CAROLINA,RED DRUM,11372,70.6,0
FINAL,1992,MARCH/APRIL,VIRGINIA,RED DRUM,22529,43.9,0
FINAL,1992,MAY/JUNE,FLORIDA,RED DRUM,121689,51.3,0
FINAL,1992,MAY/JUNE,GEORGIA,RED DRUM,12000,59.7,0
FINAL,1992,MAY/JUNE,NORTH CAROLINA,RED DRUM,10470,88.9,0
FINAL,1992,MAY/JUNE,SOUTH CAROLINA,RED DRUM,4778,58.6,0
FINAL,1992,MAY/JUNE,VIRGINIA,RED DRUM,2119,101.7,0
FINAL,1992,JULY/AUGUST,FLORIDA,RED DRUM,216802,48.2,0
FINAL,1992,JULY/AUGUST,GEORGIA,RED DRUM,25817,43.1,0
FINAL,1992,JULY/AUGUST,NORTH CAROLINA,RED DRUM,27697,64.2,0
FINAL,1992,JULY/AUGUST,SOUTH CAROLINA,RED DRUM,94615,39.1,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,RED DRUM,72158,47,0
FINAL,1992,SEPTEMBER/OCTOBER,GEORGIA,RED DRUM,45756,31.2,0
FINAL,1992,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED DRUM,45118,35.4,0
FINAL,1992,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED DRUM,285592,40.3,0
FINAL,1992,SEPTEMBER/OCTOBER,VIRGINIA,RED DRUM,25582,62,0
