Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,RED DRUM,26569,48.8
FINAL,1990,JANUARY/FEBRUARY,LOUISIANA,RED DRUM,202392,69.8
FINAL,1990,JANUARY/FEBRUARY,MISSISSIPPI,RED DRUM,11368,97.2
FINAL,1990,MARCH/APRIL,FLORIDA,RED DRUM,11171,99
FINAL,1990,MARCH/APRIL,LOUISIANA,RED DRUM,234555,46
FINAL,1990,MARCH/APRIL,MISSISSIPPI,RED DRUM,17761,89.3
FINAL,1990,MAY/JUNE,ALABAMA,RED DRUM,20369,61.3
FINAL,1990,MAY/JUNE,FLORIDA,RED DRUM,83274,47.3
FINAL,1990,MAY/JUNE,LOUISIANA,RED DRUM,140402,39.6
FINAL,1990,MAY/JUNE,MISSISSIPPI,RED DRUM,16345,53.2
FINAL,1990,JULY/AUGUST,ALABAMA,RED DRUM,3725,112
FINAL,1990,JULY/AUGUST,FLORIDA,RED DRUM,62236,37.2
FINAL,1990,JULY/AUGUST,LOUISIANA,RED DRUM,124974,33.4
FINAL,1990,JULY/AUGUST,MISSISSIPPI,RED DRUM,1740,32.4
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,RED DRUM,4183,66
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,RED DRUM,151910,55.3
FINAL,1990,SEPTEMBER/OCTOBER,LOUISIANA,RED DRUM,418930,23.9
FINAL,1990,SEPTEMBER/OCTOBER,MISSISSIPPI,RED DRUM,46,75
FINAL,1990,NOVEMBER/DECEMBER,ALABAMA,RED DRUM,20449,42.3
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,RED DRUM,95983,39.8
FINAL,1990,NOVEMBER/DECEMBER,LOUISIANA,RED DRUM,999767,22.1
FINAL,1990,NOVEMBER/DECEMBER,MISSISSIPPI,RED DRUM,9035,89.4
FINAL,1991,JANUARY/FEBRUARY,ALABAMA,RED DRUM,49963,119.9
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,RED DRUM,26965,53.2
FINAL,1991,JANUARY/FEBRUARY,LOUISIANA,RED DRUM,276455,42.5
FINAL,1991,MARCH/APRIL,ALABAMA,RED DRUM,28722,108.9
FINAL,1991,MARCH/APRIL,FLORIDA,RED DRUM,16939,95.3
FINAL,1991,MARCH/APRIL,LOUISIANA,RED DRUM,94718,45.1
FINAL,1991,MARCH/APRIL,MISSISSIPPI,RED DRUM,841,87.5
FINAL,1991,MAY/JUNE,ALABAMA,RED DRUM,1201,98
FINAL,1991,MAY/JUNE,FLORIDA,RED DRUM,33156,56.8
FINAL,1991,MAY/JUNE,LOUISIANA,RED DRUM,80837,44
FINAL,1991,MAY/JUNE,MISSISSIPPI,RED DRUM,41847,69.4
FINAL,1991,JULY/AUGUST,ALABAMA,RED DRUM,3892,68.2
