Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,RED DRUM,67766,56.4,0
FINAL,1990,JANUARY/FEBRUARY,LOUISIANA,RED DRUM,320730,64.6,0
FINAL,1990,JANUARY/FEBRUARY,MISSISSIPPI,RED DRUM,11936,97.2,0
FINAL,1990,MARCH/APRIL,FLORIDA,RED DRUM,1482,99,0
FINAL,1990,MARCH/APRIL,LOUISIANA,RED DRUM,799187,59.5,0
FINAL,1990,MARCH/APRIL,MISSISSIPPI,RED DRUM,32273,89.7,0
FINAL,1990,MAY/JUNE,ALABAMA,RED DRUM,28293,64.8,0
FINAL,1990,MAY/JUNE,FLORIDA,RED DRUM,226518,47,0
FINAL,1990,MAY/JUNE,LOUISIANA,RED DRUM,362793,40.8,0
FINAL,1990,MAY/JUNE,MISSISSIPPI,RED DRUM,52746,69.6,0
FINAL,1990,JULY/AUGUST,ALABAMA,RED DRUM,12666,112,0
FINAL,1990,JULY/AUGUST,FLORIDA,RED DRUM,122068,38.2,0
FINAL,1990,JULY/AUGUST,LOUISIANA,RED DRUM,309328,37.5,0
FINAL,1990,JULY/AUGUST,MISSISSIPPI,RED DRUM,6562,49,0
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,RED DRUM,17585,97.3,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,RED DRUM,434799,56.8,0
FINAL,1990,SEPTEMBER/OCTOBER,LOUISIANA,RED DRUM,974708,23.8,0
FINAL,1990,SEPTEMBER/OCTOBER,MISSISSIPPI,RED DRUM,293,75,0
FINAL,1990,NOVEMBER/DECEMBER,ALABAMA,RED DRUM,32937,28,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,RED DRUM,232050,48.7,0
FINAL,1990,NOVEMBER/DECEMBER,LOUISIANA,RED DRUM,1756931,23.2,0
FINAL,1990,NOVEMBER/DECEMBER,MISSISSIPPI,RED DRUM,13825,74.2,0
FINAL,1991,JANUARY/FEBRUARY,ALABAMA,RED DRUM,80939,119.9,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,RED DRUM,68267,54.2,0
FINAL,1991,JANUARY/FEBRUARY,LOUISIANA,RED DRUM,604271,44.6,0
FINAL,1991,MARCH/APRIL,ALABAMA,RED DRUM,26558,105.8,0
FINAL,1991,MARCH/APRIL,FLORIDA,RED DRUM,7231,95.3,0
FINAL,1991,MARCH/APRIL,LOUISIANA,RED DRUM,207940,42.6,0
FINAL,1991,MARCH/APRIL,MISSISSIPPI,RED DRUM,631,87.5,0
FINAL,1991,MAY/JUNE,ALABAMA,RED DRUM,1827,98,0
FINAL,1991,MAY/JUNE,FLORIDA,RED DRUM,59114,59,0
FINAL,1991,MAY/JUNE,LOUISIANA,RED DRUM,181935,40.2,0
FINAL,1991,MAY/JUNE,MISSISSIPPI,RED DRUM,75809,81,0
FINAL,1991,JULY/AUGUST,ALABAMA,RED DRUM,1444,68.3,0
FINAL,1991,JULY/AUGUST,FLORIDA,RED DRUM,119802,37.2,0
FINAL,1991,JULY/AUGUST,LOUISIANA,RED DRUM,190126,28.6,0
FINAL,1991,JULY/AUGUST,MISSISSIPPI,RED DRUM,9211,61.4,0
FINAL,1991,SEPTEMBER/OCTOBER,ALABAMA,RED DRUM,2625,66,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,RED DRUM,466531,23,0
FINAL,1991,SEPTEMBER/OCTOBER,LOUISIANA,RED DRUM,1241576,33.9,0
FINAL,1991,SEPTEMBER/OCTOBER,MISSISSIPPI,RED DRUM,7049,88.6,0
FINAL,1991,NOVEMBER/DECEMBER,ALABAMA,RED DRUM,13450,56.9,0
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,RED DRUM,386217,31.7,0
FINAL,1991,NOVEMBER/DECEMBER,LOUISIANA,RED DRUM,2182359,26.6,0
FINAL,1991,NOVEMBER/DECEMBER,MISSISSIPPI,RED DRUM,5853,47.2,0
FINAL,1992,JANUARY/FEBRUARY,ALABAMA,RED DRUM,0,.,16894
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,RED DRUM,0,.,71325
FINAL,1992,JANUARY/FEBRUARY,LOUISIANA,RED DRUM,0,.,358357
FINAL,1992,JANUARY/FEBRUARY,MISSISSIPPI,RED DRUM,0,.,0
FINAL,1992,MARCH/APRIL,ALABAMA,RED DRUM,14185,58.5,0
FINAL,1992,MARCH/APRIL,FLORIDA,RED DRUM,2675,91.2,0
FINAL,1992,MARCH/APRIL,LOUISIANA,RED DRUM,727202,22.8,0
FINAL,1992,MARCH/APRIL,MISSISSIPPI,RED DRUM,449,100.7,0
FINAL,1992,MAY/JUNE,ALABAMA,RED DRUM,50918,51.2,0
FINAL,1992,MAY/JUNE,FLORIDA,RED DRUM,108962,45.3,0
FINAL,1992,MAY/JUNE,LOUISIANA,RED DRUM,587019,22.8,0
FINAL,1992,MAY/JUNE,MISSISSIPPI,RED DRUM,6909,57.6,0
FINAL,1992,JULY/AUGUST,ALABAMA,RED DRUM,44342,28,0
FINAL,1992,JULY/AUGUST,FLORIDA,RED DRUM,240142,23.9,0
FINAL,1992,JULY/AUGUST,LOUISIANA,RED DRUM,987120,15.6,0
FINAL,1992,JULY/AUGUST,MISSISSIPPI,RED DRUM,24242,37.5,0
FINAL,1992,SEPTEMBER/OCTOBER,ALABAMA,RED DRUM,46748,30.7,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,RED DRUM,553171,29.3,0
FINAL,1992,SEPTEMBER/OCTOBER,LOUISIANA,RED DRUM,1627321,14.8,0
FINAL,1992,SEPTEMBER/OCTOBER,MISSISSIPPI,RED DRUM,40320,47.3,0
FINAL,1992,NOVEMBER/DECEMBER,ALABAMA,RED DRUM,56035,43.6,0
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,RED DRUM,334593,26.1,0
FINAL,1992,NOVEMBER/DECEMBER,LOUISIANA,RED DRUM,1027615,24.6,0
FINAL,1992,NOVEMBER/DECEMBER,MISSISSIPPI,RED DRUM,14133,33.8,0
FINAL,1993,JANUARY/FEBRUARY,ALABAMA,RED DRUM,13941,69.6,0
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,RED DRUM,98992,33.1,0
FINAL,1993,JANUARY/FEBRUARY,LOUISIANA,RED DRUM,704674,37.2,0
FINAL,1993,JANUARY/FEBRUARY,MISSISSIPPI,RED DRUM,6174,65.7,0
FINAL,1993,MARCH/APRIL,ALABAMA,RED DRUM,29891,41.9,0
FINAL,1993,MARCH/APRIL,FLORIDA,RED DRUM,0,.,0
FINAL,1993,MARCH/APRIL,LOUISIANA,RED DRUM,1037756,30.8,0
FINAL,1993,MARCH/APRIL,MISSISSIPPI,RED DRUM,34110,57.3,0
FINAL,1993,MAY/JUNE,ALABAMA,RED DRUM,37566,57.1,0
FINAL,1993,MAY/JUNE,FLORIDA,RED DRUM,113273,29.3,0
FINAL,1993,MAY/JUNE,LOUISIANA,RED DRUM,861566,19.7,0
FINAL,1993,MAY/JUNE,MISSISSIPPI,RED DRUM,18426,53.8,0
FINAL,1993,JULY/AUGUST,ALABAMA,RED DRUM,13594,46.4,0
FINAL,1993,JULY/AUGUST,FLORIDA,RED DRUM,154395,24.3,0
FINAL,1993,JULY/AUGUST,LOUISIANA,RED DRUM,769493,22.4,0
FINAL,1993,JULY/AUGUST,MISSISSIPPI,RED DRUM,52320,22,0
FINAL,1993,SEPTEMBER/OCTOBER,ALABAMA,RED DRUM,90463,90.8,0
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,RED DRUM,286375,25.1,0
FINAL,1993,SEPTEMBER/OCTOBER,LOUISIANA,RED DRUM,2271598,16.2,0
FINAL,1993,SEPTEMBER/OCTOBER,MISSISSIPPI,RED DRUM,27004,47.1,0
FINAL,1993,NOVEMBER/DECEMBER,ALABAMA,RED DRUM,16009,40.8,0
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,RED DRUM,191299,25.9,0
FINAL,1993,NOVEMBER/DECEMBER,LOUISIANA,RED DRUM,1544748,27.8,0
FINAL,1993,NOVEMBER/DECEMBER,MISSISSIPPI,RED DRUM,70095,49.7,0
FINAL,1994,JANUARY/FEBRUARY,ALABAMA,RED DRUM,8789,66.2,0
FINAL,1994,JANUARY/FEBRUARY,FLORIDA,RED DRUM,107213,27.8,0
FINAL,1994,JANUARY/FEBRUARY,LOUISIANA,RED DRUM,1646732,30,0
FINAL,1994,JANUARY/FEBRUARY,MISSISSIPPI,RED DRUM,9078,72.5,0
FINAL,1994,MARCH/APRIL,ALABAMA,RED DRUM,35089,65.2,0
FINAL,1994,MARCH/APRIL,FLORIDA,RED DRUM,18068,73.4,0
FINAL,1994,MARCH/APRIL,LOUISIANA,RED DRUM,857275,20.9,0
FINAL,1994,MARCH/APRIL,MISSISSIPPI,RED DRUM,9394,39.8,0
FINAL,1994,MAY/JUNE,ALABAMA,RED DRUM,3129,97.2,0
FINAL,1994,MAY/JUNE,FLORIDA,RED DRUM,116458,26.8,0
FINAL,1994,MAY/JUNE,LOUISIANA,RED DRUM,824277,21.3,0
FINAL,1994,MAY/JUNE,MISSISSIPPI,RED DRUM,28734,42.2,0
FINAL,1994,JULY/AUGUST,ALABAMA,RED DRUM,26461,64.1,0
FINAL,1994,JULY/AUGUST,FLORIDA,RED DRUM,204292,21.7,0
FINAL,1994,JULY/AUGUST,LOUISIANA,RED DRUM,903005,18.3,0
FINAL,1994,JULY/AUGUST,MISSISSIPPI,RED DRUM,36141,47.9,0
