Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,4610,100.1
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,RED GROUPER,367,102.8
FINAL,1990,MAY/JUNE,NORTH CAROLINA,RED GROUPER,243,98.9
FINAL,1990,JULY/AUGUST,FLORIDA,RED GROUPER,0,.
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,RED GROUPER,13385,99.2
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,0,.
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED GROUPER,2407,99.8
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,2176,101.5
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,RED GROUPER,213,98.5
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,0,.
FINAL,1991,MARCH/APRIL,FLORIDA,RED GROUPER,0,.
FINAL,1991,MAY/JUNE,FLORIDA,RED GROUPER,2730,96
FINAL,1991,MAY/JUNE,NORTH CAROLINA,RED GROUPER,103,68.5
FINAL,1991,JULY/AUGUST,FLORIDA,RED GROUPER,0,.
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,RED GROUPER,398,88.7
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,0,.
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED GROUPER,1125,69.2
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,0,.
FINAL,1991,NOVEMBER/DECEMBER,NORTH CAROLINA,RED GROUPER,0,.
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,1089,100.6
FINAL,1992,MARCH/APRIL,FLORIDA,RED GROUPER,0,.
FINAL,1992,MARCH/APRIL,NORTH CAROLINA,RED GROUPER,128,98.6
FINAL,1992,MAY/JUNE,FLORIDA,RED GROUPER,4908,71.7
FINAL,1992,MAY/JUNE,NORTH CAROLINA,RED GROUPER,376,78.3
