Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,7838,100.1,0
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,RED GROUPER,110,102.8,0
FINAL,1990,MAY/JUNE,NORTH CAROLINA,RED GROUPER,471,98.9,0
FINAL,1990,JULY/AUGUST,FLORIDA,RED GROUPER,0,.,0
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,RED GROUPER,24020,99.8,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,0,.,0
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED GROUPER,7862,99.8,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,6092,101.5,0
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,RED GROUPER,1271,98.5,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,0,.,0
FINAL,1991,MARCH/APRIL,FLORIDA,RED GROUPER,0,.,0
FINAL,1991,MAY/JUNE,FLORIDA,RED GROUPER,6110,96,0
FINAL,1991,MAY/JUNE,NORTH CAROLINA,RED GROUPER,268,65.9,0
FINAL,1991,JULY/AUGUST,FLORIDA,RED GROUPER,0,.,0
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,RED GROUPER,519,83.3,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,0,.,0
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED GROUPER,4225,77.1,0
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,0,.,0
FINAL,1991,NOVEMBER/DECEMBER,NORTH CAROLINA,RED GROUPER,0,.,0
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,0,.,1089
FINAL,1992,MARCH/APRIL,FLORIDA,RED GROUPER,0,.,0
FINAL,1992,MARCH/APRIL,NORTH CAROLINA,RED GROUPER,448,98.6,0
FINAL,1992,MAY/JUNE,FLORIDA,RED GROUPER,6371,66,0
FINAL,1992,MAY/JUNE,NORTH CAROLINA,RED GROUPER,1135,57.3,0
FINAL,1992,JULY/AUGUST,FLORIDA,RED GROUPER,1928,98.7,0
FINAL,1992,JULY/AUGUST,NORTH CAROLINA,RED GROUPER,1173,74.2,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,14579,62.9,0
FINAL,1992,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED GROUPER,584,72.4,0
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,0,.,0
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,52249,86.7,0
FINAL,1993,MARCH/APRIL,FLORIDA,RED GROUPER,38596,55.5,0
FINAL,1993,MAY/JUNE,FLORIDA,RED GROUPER,6008,78.1,0
FINAL,1993,MAY/JUNE,NORTH CAROLINA,RED GROUPER,912,97.4,0
FINAL,1993,JULY/AUGUST,FLORIDA,RED GROUPER,16775,44.8,0
FINAL,1993,JULY/AUGUST,NORTH CAROLINA,RED GROUPER,10357,70.6,0
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,31238,47.3,0
FINAL,1993,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED GROUPER,2098,63.5,0
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,8628,101,0
FINAL,1994,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,7331,78.1,0
FINAL,1994,MARCH/APRIL,FLORIDA,RED GROUPER,24388,76.8,0
FINAL,1994,MARCH/APRIL,NORTH CAROLINA,RED GROUPER,0,.,0
FINAL,1994,MAY/JUNE,FLORIDA,RED GROUPER,3458,99.2,0
FINAL,1994,MAY/JUNE,NORTH CAROLINA,RED GROUPER,259,97.3,0
FINAL,1994,JULY/AUGUST,FLORIDA,RED GROUPER,9862,75.6,0
FINAL,1994,JULY/AUGUST,NORTH CAROLINA,RED GROUPER,1939,52,0
FINAL,1994,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,1470,100.7,0
FINAL,1994,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED GROUPER,464,71.2,0
FINAL,1994,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,19769,67.1,0
FINAL,1994,NOVEMBER/DECEMBER,NORTH CAROLINA,RED GROUPER,236,96.6,0
FINAL,1995,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,6670,73.3,0
FINAL,1995,MARCH/APRIL,FLORIDA,RED GROUPER,5056,98.8,0
FINAL,1995,MAY/JUNE,FLORIDA,RED GROUPER,6234,57.9,0
FINAL,1995,MAY/JUNE,NORTH CAROLINA,RED GROUPER,377,97.3,0
FINAL,1995,JULY/AUGUST,FLORIDA,RED GROUPER,4722,87.1,0
FINAL,1995,JULY/AUGUST,NORTH CAROLINA,RED GROUPER,5377,66.5,0
FINAL,1995,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,0,.,0
FINAL,1995,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED GROUPER,87,97.2,0
FINAL,1995,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,1237,100.6,0
FINAL,1996,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,46745,70.3,0
FINAL,1996,MARCH/APRIL,FLORIDA,RED GROUPER,0,.,0
FINAL,1996,MAY/JUNE,FLORIDA,RED GROUPER,1787,100.4,0
FINAL,1996,MAY/JUNE,NORTH CAROLINA,RED GROUPER,1883,64.7,0
FINAL,1996,JULY/AUGUST,FLORIDA,RED GROUPER,24356,60.3,0
FINAL,1996,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,16867,90.2,0
FINAL,1996,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,18188,64.2,0
FINAL,1997,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,33006,83.3,0
FINAL,1997,MARCH/APRIL,FLORIDA,RED GROUPER,1860,69.9,0
FINAL,1997,MAY/JUNE,FLORIDA,RED GROUPER,12470,51.5,0
FINAL,1997,MAY/JUNE,NORTH CAROLINA,RED GROUPER,0,.,0
FINAL,1997,JULY/AUGUST,FLORIDA,RED GROUPER,179723,79.2,0
FINAL,1997,JULY/AUGUST,NORTH CAROLINA,RED GROUPER,645,96.7,0
FINAL,1997,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,17414,74.4,0
FINAL,1997,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED GROUPER,0,.,0
FINAL,1997,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,11907,99,0
FINAL,1998,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,18731,56.6,0
FINAL,1998,MARCH/APRIL,FLORIDA,RED GROUPER,8194,96.2,0
FINAL,1998,MAY/JUNE,FLORIDA,RED GROUPER,25996,46.8,0
FINAL,1998,MAY/JUNE,NORTH CAROLINA,RED GROUPER,778,71.8,0
FINAL,1998,JULY/AUGUST,FLORIDA,RED GROUPER,13993,65.7,0
FINAL,1998,JULY/AUGUST,NORTH CAROLINA,RED GROUPER,214,99.5,0
FINAL,1998,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,21440,99.4,0
FINAL,1998,SEPTEMBER/OCTOBER,GEORGIA,RED GROUPER,135,103.1,0
FINAL,1998,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED GROUPER,339,100.9,0
FINAL,1998,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,27716,43.9,0
FINAL,1999,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,47404,55.5,0
FINAL,1999,MARCH/APRIL,FLORIDA,RED GROUPER,22729,35.9,0
FINAL,1999,MAY/JUNE,FLORIDA,RED GROUPER,6438,66.7,0
FINAL,1999,MAY/JUNE,NORTH CAROLINA,RED GROUPER,1764,69.1,0
FINAL,1999,JULY/AUGUST,FLORIDA,RED GROUPER,17863,40.7,0
FINAL,1999,JULY/AUGUST,NORTH CAROLINA,RED GROUPER,798,100.6,0
FINAL,1999,JULY/AUGUST,SOUTH CAROLINA,RED GROUPER,123,92.1,0
FINAL,1999,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,11921,92.9,0
FINAL,1999,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,0,.,0
FINAL,2000,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,4799,73.2,0
