Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,79445,81.4
FINAL,1990,MARCH/APRIL,FLORIDA,RED GROUPER,37957,65.4
FINAL,1990,MAY/JUNE,FLORIDA,RED GROUPER,163843,50.3
FINAL,1990,JULY/AUGUST,FLORIDA,RED GROUPER,80036,44.7
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,RED GROUPER,0,.
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,224010,33.1
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,21171,46.3
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,130503,63.7
FINAL,1991,MARCH/APRIL,FLORIDA,RED GROUPER,28600,52.9
FINAL,1991,MAY/JUNE,FLORIDA,RED GROUPER,173391,38.5
FINAL,1991,MAY/JUNE,LOUISIANA,RED GROUPER,562,99.5
FINAL,1991,JULY/AUGUST,FLORIDA,RED GROUPER,94935,65
FINAL,1991,JULY/AUGUST,LOUISIANA,RED GROUPER,35,69.7
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,153765,39.2
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,33866,68.4
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,113862,46.9
FINAL,1992,MARCH/APRIL,FLORIDA,RED GROUPER,25075,42.4
FINAL,1992,MAY/JUNE,FLORIDA,RED GROUPER,136574,29.3
FINAL,1992,JULY/AUGUST,FLORIDA,RED GROUPER,141507,25.6
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,305294,29.1
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,268863,38.6
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,134974,50.4
FINAL,1993,MARCH/APRIL,FLORIDA,RED GROUPER,371621,47.6
FINAL,1993,MAY/JUNE,FLORIDA,RED GROUPER,57762,31.7
FINAL,1993,JULY/AUGUST,FLORIDA,RED GROUPER,165649,62.2
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,135285,29.7
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,70300,51.3
FINAL,1994,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,59451,55.9
FINAL,1994,MARCH/APRIL,FLORIDA,RED GROUPER,43613,37.8
FINAL,1994,MAY/JUNE,FLORIDA,RED GROUPER,128668,27.1
FINAL,1994,JULY/AUGUST,FLORIDA,RED GROUPER,113098,26.5
FINAL,1994,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,87691,49.2
FINAL,1994,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,221788,36.3
FINAL,1995,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,43866,46
FINAL,1995,MARCH/APRIL,FLORIDA,RED GROUPER,72329,54.4
FINAL,1995,MAY/JUNE,FLORIDA,RED GROUPER,132132,35.2
FINAL,1995,JULY/AUGUST,FLORIDA,RED GROUPER,216457,28.5
FINAL,1995,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,161879,67.5
FINAL,1995,NOVEMBER/DECEMBER,ALABAMA,RED GROUPER,147,113.3
FINAL,1995,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,51286,42
FINAL,1996,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,40546,42.9
FINAL,1996,MARCH/APRIL,FLORIDA,RED GROUPER,20889,48.6
FINAL,1996,MAY/JUNE,ALABAMA,RED GROUPER,163,118.5
FINAL,1996,MAY/JUNE,FLORIDA,RED GROUPER,28379,34.3
FINAL,1996,JULY/AUGUST,FLORIDA,RED GROUPER,112842,32.1
FINAL,1996,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,51668,63.2
FINAL,1996,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,21625,34.4
FINAL,1997,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,22391,60.8
FINAL,1997,MARCH/APRIL,FLORIDA,RED GROUPER,23767,43.7
FINAL,1997,MAY/JUNE,FLORIDA,RED GROUPER,35894,38
FINAL,1997,JULY/AUGUST,FLORIDA,RED GROUPER,43876,37.3
FINAL,1997,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,49576,43
FINAL,1997,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,72561,59.4
FINAL,1998,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,44253,38.9
FINAL,1998,MARCH/APRIL,FLORIDA,RED GROUPER,873,59.3
FINAL,1998,MAY/JUNE,FLORIDA,RED GROUPER,84469,29
FINAL,1998,JULY/AUGUST,FLORIDA,RED GROUPER,54258,25.2
FINAL,1998,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,40188,39
FINAL,1998,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,39993,32.9
FINAL,1999,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,51604,35.7
FINAL,1999,MARCH/APRIL,ALABAMA,RED GROUPER,164,68.3
FINAL,1999,MARCH/APRIL,FLORIDA,RED GROUPER,77963,25.2
FINAL,1999,MAY/JUNE,FLORIDA,RED GROUPER,76458,37.5
FINAL,1999,JULY/AUGUST,FLORIDA,RED GROUPER,106658,39.2
FINAL,1999,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,77170,51.6
FINAL,1999,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,119320,41.5
FINAL,2000,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,68866,49.4
FINAL,2000,MARCH/APRIL,FLORIDA,RED GROUPER,110750,44.7
FINAL,2000,MAY/JUNE,FLORIDA,RED GROUPER,206280,38
FINAL,2000,JULY/AUGUST,FLORIDA,RED GROUPER,131580,29.2
FINAL,2000,SEPTEMBER/OCTOBER,ALABAMA,RED GROUPER,16,98.4
FINAL,2000,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,69803,35
FINAL,2000,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,36360,43.9
FINAL,2001,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,15218,59
FINAL,2001,MARCH/APRIL,ALABAMA,RED GROUPER,49,103.3
FINAL,2001,MARCH/APRIL,FLORIDA,RED GROUPER,35779,38.4
FINAL,2001,MAY/JUNE,FLORIDA,RED GROUPER,113419,30
FINAL,2001,JULY/AUGUST,FLORIDA,RED GROUPER,154973,32.4
FINAL,2001,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,24312,32.9
FINAL,2001,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,26727,42.7
FINAL,2002,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,30562,45.7
FINAL,2002,MARCH/APRIL,FLORIDA,RED GROUPER,79851,36.3
FINAL,2002,MAY/JUNE,FLORIDA,RED GROUPER,44487,30.2
FINAL,2002,JULY/AUGUST,FLORIDA,RED GROUPER,211362,35.7
FINAL,2002,SEPTEMBER/OCTOBER,ALABAMA,RED GROUPER,1516,52.2
FINAL,2002,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,68360,32
FINAL,2002,SEPTEMBER/OCTOBER,MISSISSIPPI,RED GROUPER,1308,100.1
FINAL,2002,NOVEMBER/DECEMBER,ALABAMA,RED GROUPER,1464,90.5
FINAL,2002,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,70863,36.2
FINAL,2003,JANUARY/FEBRUARY,ALABAMA,RED GROUPER,91,49.9
FINAL,2003,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,70691,66.4
FINAL,2003,MARCH/APRIL,ALABAMA,RED GROUPER,849,55.5
FINAL,2003,MARCH/APRIL,FLORIDA,RED GROUPER,62050,47.7
FINAL,2003,MAY/JUNE,ALABAMA,RED GROUPER,4077,31
FINAL,2003,MAY/JUNE,FLORIDA,RED GROUPER,55771,30.2
