Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,150626,80.1,0
FINAL,1990,MARCH/APRIL,FLORIDA,RED GROUPER,76569,69.6,0
FINAL,1990,MAY/JUNE,FLORIDA,RED GROUPER,546826,51.6,0
FINAL,1990,JULY/AUGUST,FLORIDA,RED GROUPER,219804,49,0
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,RED GROUPER,0,.,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,787151,34.9,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,50114,48.3,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,446176,64.2,0
FINAL,1991,MARCH/APRIL,FLORIDA,RED GROUPER,70149,52.6,0
FINAL,1991,MAY/JUNE,FLORIDA,RED GROUPER,468513,38,0
FINAL,1991,MAY/JUNE,LOUISIANA,RED GROUPER,1113,99.5,0
FINAL,1991,JULY/AUGUST,FLORIDA,RED GROUPER,282831,66.1,0
FINAL,1991,JULY/AUGUST,LOUISIANA,RED GROUPER,70,69.7,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,465461,37.3,0
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,167644,75.8,0
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,0,.,113862
FINAL,1992,MARCH/APRIL,FLORIDA,RED GROUPER,99075,40.4,0
FINAL,1992,MAY/JUNE,FLORIDA,RED GROUPER,405186,29.7,0
FINAL,1992,JULY/AUGUST,FLORIDA,RED GROUPER,416619,25.9,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,973574,28.1,0
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,838047,41.6,0
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,453084,54.3,0
FINAL,1993,MARCH/APRIL,FLORIDA,RED GROUPER,1165687,50.3,0
FINAL,1993,MAY/JUNE,FLORIDA,RED GROUPER,151177,33.1,0
FINAL,1993,JULY/AUGUST,FLORIDA,RED GROUPER,499232,63.1,0
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,350826,30.5,0
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,158190,49.4,0
FINAL,1994,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,157095,59.4,0
FINAL,1994,MARCH/APRIL,FLORIDA,RED GROUPER,137492,40.9,0
FINAL,1994,MAY/JUNE,FLORIDA,RED GROUPER,390270,27.5,0
FINAL,1994,JULY/AUGUST,FLORIDA,RED GROUPER,336075,28.6,0
FINAL,1994,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,275698,53.4,0
FINAL,1994,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,735828,36.5,0
FINAL,1995,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,135814,46,0
FINAL,1995,MARCH/APRIL,FLORIDA,RED GROUPER,213753,56,0
FINAL,1995,MAY/JUNE,FLORIDA,RED GROUPER,374037,36.2,0
FINAL,1995,JULY/AUGUST,FLORIDA,RED GROUPER,669237,29.4,0
FINAL,1995,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,483276,64.7,0
FINAL,1995,NOVEMBER/DECEMBER,ALABAMA,RED GROUPER,90,113.3,0
FINAL,1995,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,132348,42.3,0
FINAL,1996,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,108242,41,0
FINAL,1996,MARCH/APRIL,FLORIDA,RED GROUPER,52660,48.1,0
FINAL,1996,MAY/JUNE,ALABAMA,RED GROUPER,484,118.5,0
FINAL,1996,MAY/JUNE,FLORIDA,RED GROUPER,68348,36.7,0
FINAL,1996,JULY/AUGUST,FLORIDA,RED GROUPER,345507,33.1,0
FINAL,1996,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,159185,61.5,0
FINAL,1996,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,70743,34,0
FINAL,1997,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,67336,70.2,0
FINAL,1997,MARCH/APRIL,FLORIDA,RED GROUPER,85077,47.6,0
FINAL,1997,MAY/JUNE,FLORIDA,RED GROUPER,97821,41.6,0
FINAL,1997,JULY/AUGUST,FLORIDA,RED GROUPER,139837,35.7,0
FINAL,1997,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,159673,42.1,0
FINAL,1997,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,207753,60.2,0
FINAL,1998,JANUARY/FEBRUARY,FLORIDA,RED GROUPER,152026,41.3,0
FINAL,1998,MARCH/APRIL,FLORIDA,RED GROUPER,3197,57.8,0
FINAL,1998,MAY/JUNE,FLORIDA,RED GROUPER,308409,34.7,0
FINAL,1998,JULY/AUGUST,FLORIDA,RED GROUPER,181208,29.4,0
FINAL,1998,SEPTEMBER/OCTOBER,FLORIDA,RED GROUPER,129026,42.9,0
FINAL,1998,NOVEMBER/DECEMBER,FLORIDA,RED GROUPER,112821,34,0
