Estimate Status,Year,Wave,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,MAY/JUNE,RED PORGY,34325,99
FINAL,1990,JULY/AUGUST,RED PORGY,7226,80.7
FINAL,1990,SEPTEMBER/OCTOBER,RED PORGY,171728,50.8
FINAL,1990,NOVEMBER/DECEMBER,RED PORGY,7524,80.9
FINAL,1991,JANUARY/FEBRUARY,RED PORGY,505,95.9
FINAL,1991,MARCH/APRIL,RED PORGY,82523,73.5
FINAL,1991,JULY/AUGUST,RED PORGY,17698,57.8
FINAL,1991,SEPTEMBER/OCTOBER,RED PORGY,28744,56.5
FINAL,1991,NOVEMBER/DECEMBER,RED PORGY,275780,61.7
FINAL,1992,MARCH/APRIL,RED PORGY,35443,65.4
FINAL,1992,MAY/JUNE,RED PORGY,40971,55.3
FINAL,1992,JULY/AUGUST,RED PORGY,1474,103.8
FINAL,1992,SEPTEMBER/OCTOBER,RED PORGY,3335,54.7
FINAL,1993,MARCH/APRIL,RED PORGY,561,105.9
FINAL,1993,MAY/JUNE,RED PORGY,40306,58.9
FINAL,1993,JULY/AUGUST,RED PORGY,24575,50
FINAL,1993,SEPTEMBER/OCTOBER,RED PORGY,8513,45.1
FINAL,1993,NOVEMBER/DECEMBER,RED PORGY,4142,70.6
FINAL,1994,MARCH/APRIL,RED PORGY,57441,61.6
FINAL,1994,MAY/JUNE,RED PORGY,14621,63.1
FINAL,1994,JULY/AUGUST,RED PORGY,69946,62.3
FINAL,1994,SEPTEMBER/OCTOBER,RED PORGY,1386,79
FINAL,1995,MARCH/APRIL,RED PORGY,35354,100.4
FINAL,1995,MAY/JUNE,RED PORGY,160218,42.3
FINAL,1995,JULY/AUGUST,RED PORGY,17445,71.8
FINAL,1995,SEPTEMBER/OCTOBER,RED PORGY,73963,91.9
FINAL,1996,JANUARY/FEBRUARY,RED PORGY,61297,68
FINAL,1996,MARCH/APRIL,RED PORGY,20727,75.1
FINAL,1996,MAY/JUNE,RED PORGY,7336,57.8
FINAL,1996,JULY/AUGUST,RED PORGY,67169,68.2
FINAL,1996,SEPTEMBER/OCTOBER,RED PORGY,41116,54.8
FINAL,1996,NOVEMBER/DECEMBER,RED PORGY,23262,68.4
FINAL,1997,MARCH/APRIL,RED PORGY,8264,66.7
FINAL,1997,MAY/JUNE,RED PORGY,28262,68.3
FINAL,1997,JULY/AUGUST,RED PORGY,20319,65.3
FINAL,1997,SEPTEMBER/OCTOBER,RED PORGY,13711,37.1
FINAL,1997,NOVEMBER/DECEMBER,RED PORGY,22891,84.2
FINAL,1998,JANUARY/FEBRUARY,RED PORGY,2349,48.4
FINAL,1998,MARCH/APRIL,RED PORGY,17987,46.4
FINAL,1998,MAY/JUNE,RED PORGY,21447,32.9
FINAL,1998,JULY/AUGUST,RED PORGY,19874,46.2
FINAL,1998,SEPTEMBER/OCTOBER,RED PORGY,26091,70.2
FINAL,1998,NOVEMBER/DECEMBER,RED PORGY,31325,96.4
FINAL,1999,JANUARY/FEBRUARY,RED PORGY,5344,62.2
FINAL,1999,MARCH/APRIL,RED PORGY,15172,35.2
FINAL,1999,MAY/JUNE,RED PORGY,11069,41.5
FINAL,1999,JULY/AUGUST,RED PORGY,18366,34.3
FINAL,1999,SEPTEMBER/OCTOBER,RED PORGY,7603,32.8
FINAL,1999,NOVEMBER/DECEMBER,RED PORGY,3763,47
FINAL,2000,JANUARY/FEBRUARY,RED PORGY,25298,99.4
FINAL,2000,MARCH/APRIL,RED PORGY,7664,34.5
FINAL,2000,MAY/JUNE,RED PORGY,11446,62.3
FINAL,2000,JULY/AUGUST,RED PORGY,23836,57
FINAL,2000,SEPTEMBER/OCTOBER,RED PORGY,5078,27.1
FINAL,2000,NOVEMBER/DECEMBER,RED PORGY,3226,53.1
FINAL,2001,JANUARY/FEBRUARY,RED PORGY,2921,89
FINAL,2001,MARCH/APRIL,RED PORGY,65046,53.8
FINAL,2001,MAY/JUNE,RED PORGY,26547,41.4
FINAL,2001,JULY/AUGUST,RED PORGY,10571,26.8
FINAL,2001,SEPTEMBER/OCTOBER,RED PORGY,8985,34.3
FINAL,2001,NOVEMBER/DECEMBER,RED PORGY,3565,39
FINAL,2002,JANUARY/FEBRUARY,RED PORGY,32929,90
FINAL,2002,MARCH/APRIL,RED PORGY,24307,44.5
FINAL,2002,MAY/JUNE,RED PORGY,6121,33.2
FINAL,2002,JULY/AUGUST,RED PORGY,12184,31.8
FINAL,2002,SEPTEMBER/OCTOBER,RED PORGY,2450,42.2
FINAL,2002,NOVEMBER/DECEMBER,RED PORGY,92066,67.8
FINAL,2003,JANUARY/FEBRUARY,RED PORGY,13317,71.3
FINAL,2003,MARCH/APRIL,RED PORGY,9621,41.2
FINAL,2003,MAY/JUNE,RED PORGY,16687,56
FINAL,2003,JULY/AUGUST,RED PORGY,83614,58.1
FINAL,2003,SEPTEMBER/OCTOBER,RED PORGY,7055,31.9
FINAL,2003,NOVEMBER/DECEMBER,RED PORGY,2037,35.8
FINAL,2004,JANUARY/FEBRUARY,RED PORGY,13391,51.5
FINAL,2004,MARCH/APRIL,RED PORGY,10769,20.9
FINAL,2004,MAY/JUNE,RED PORGY,15633,27.7
FINAL,2004,JULY/AUGUST,RED PORGY,89589,35.4
FINAL,2004,SEPTEMBER/OCTOBER,RED PORGY,14037,55.4
FINAL,2004,NOVEMBER/DECEMBER,RED PORGY,685,52
FINAL,2005,JANUARY/FEBRUARY,RED PORGY,2217,39.6
FINAL,2005,MARCH/APRIL,RED PORGY,40853,32.7
FINAL,2005,MAY/JUNE,RED PORGY,42234,40.9
FINAL,2005,JULY/AUGUST,RED PORGY,14014,28.8
FINAL,2005,SEPTEMBER/OCTOBER,RED PORGY,24466,50.9
FINAL,2005,NOVEMBER/DECEMBER,RED PORGY,1863,38.8
FINAL,2006,JANUARY/FEBRUARY,RED PORGY,4546,62.3
FINAL,2006,MARCH/APRIL,RED PORGY,39033,72.3
FINAL,2006,MAY/JUNE,RED PORGY,58118,41
FINAL,2006,JULY/AUGUST,RED PORGY,14543,26.4
FINAL,2006,SEPTEMBER/OCTOBER,RED PORGY,25384,44.1
FINAL,2006,NOVEMBER/DECEMBER,RED PORGY,10302,54
FINAL,2007,JANUARY/FEBRUARY,RED PORGY,6359,41.1
FINAL,2007,MARCH/APRIL,RED PORGY,99790,64.2
FINAL,2007,MAY/JUNE,RED PORGY,40308,27.3
FINAL,2007,JULY/AUGUST,RED PORGY,94848,71.6
FINAL,2007,SEPTEMBER/OCTOBER,RED PORGY,40457,75.7
FINAL,2007,NOVEMBER/DECEMBER,RED PORGY,1410,62.3
FINAL,2008,JANUARY/FEBRUARY,RED PORGY,8157,33.2
FINAL,2008,MARCH/APRIL,RED PORGY,116842,73.7
FINAL,2008,MAY/JUNE,RED PORGY,37882,23.7
FINAL,2008,JULY/AUGUST,RED PORGY,18527,33.8
FINAL,2008,SEPTEMBER/OCTOBER,RED PORGY,7475,33.5
FINAL,2008,NOVEMBER/DECEMBER,RED PORGY,13974,73.6
FINAL,2009,JANUARY/FEBRUARY,RED PORGY,5290,30.5
FINAL,2009,MARCH/APRIL,RED PORGY,14815,36.7
FINAL,2009,MAY/JUNE,RED PORGY,29482,28.3
FINAL,2009,JULY/AUGUST,RED PORGY,27899,44.7
FINAL,2009,SEPTEMBER/OCTOBER,RED PORGY,17090,29.5
FINAL,2009,NOVEMBER/DECEMBER,RED PORGY,364,68.1
FINAL,2010,JANUARY/FEBRUARY,RED PORGY,5360,59.9
FINAL,2010,MARCH/APRIL,RED PORGY,37243,21.9
