Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,RED PORGY,32375,90.7
FINAL,1990,MAY/JUNE,NORTH CAROLINA,RED PORGY,9643,56.2
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,RED PORGY,98,94.9
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,RED PORGY,76044,65.3
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,RED PORGY,18971,88.6
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,3546,41
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,5677,102
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,RED PORGY,1345,69.5
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,RED PORGY,6427,75.3
FINAL,1991,MAY/JUNE,NORTH CAROLINA,RED PORGY,6707,37.4
FINAL,1991,MAY/JUNE,SOUTH CAROLINA,RED PORGY,11920,75.1
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,RED PORGY,1375,58.9
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,14681,102.2
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,11039,45.5
FINAL,1991,NOVEMBER/DECEMBER,NORTH CAROLINA,RED PORGY,1029,100.3
FINAL,1992,MARCH/APRIL,NORTH CAROLINA,RED PORGY,1006,91.5
FINAL,1992,MARCH/APRIL,SOUTH CAROLINA,RED PORGY,14512,74.5
FINAL,1992,MAY/JUNE,FLORIDA,RED PORGY,10157,96.7
FINAL,1992,MAY/JUNE,NORTH CAROLINA,RED PORGY,21933,47.7
FINAL,1992,MAY/JUNE,SOUTH CAROLINA,RED PORGY,3715,96.1
FINAL,1992,JULY/AUGUST,FLORIDA,RED PORGY,0,.
FINAL,1992,JULY/AUGUST,NORTH CAROLINA,RED PORGY,11170,46.5
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,926,99.2
FINAL,1992,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,5765,40.9
FINAL,1992,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED PORGY,1244,99
FINAL,1992,NOVEMBER/DECEMBER,GEORGIA,RED PORGY,882,100.1
FINAL,1992,NOVEMBER/DECEMBER,NORTH CAROLINA,RED PORGY,614,102.2
FINAL,1992,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED PORGY,71212,71
FINAL,1993,MARCH/APRIL,NORTH CAROLINA,RED PORGY,3242,96.1
FINAL,1993,MARCH/APRIL,SOUTH CAROLINA,RED PORGY,2852,82.9
FINAL,1993,MAY/JUNE,NORTH CAROLINA,RED PORGY,12834,46.9
FINAL,1993,JULY/AUGUST,NORTH CAROLINA,RED PORGY,19719,56
FINAL,1993,JULY/AUGUST,SOUTH CAROLINA,RED PORGY,781,60.5
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,1057,99.3
FINAL,1993,SEPTEMBER/OCTOBER,GEORGIA,RED PORGY,1151,125.9
FINAL,1993,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,2912,62
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,2007,99.6
FINAL,1993,NOVEMBER/DECEMBER,NORTH CAROLINA,RED PORGY,26,95.3
FINAL,1993,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED PORGY,0,.
FINAL,1994,MARCH/APRIL,FLORIDA,RED PORGY,3728,100.3
FINAL,1994,MARCH/APRIL,NORTH CAROLINA,RED PORGY,15063,63.5
FINAL,1994,MARCH/APRIL,SOUTH CAROLINA,RED PORGY,14315,96.5
FINAL,1994,MAY/JUNE,NORTH CAROLINA,RED PORGY,17191,39.7
FINAL,1994,JULY/AUGUST,NORTH CAROLINA,RED PORGY,25777,46.8
FINAL,1994,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,1018,101.9
FINAL,1994,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,4406,54.4
FINAL,1994,NOVEMBER/DECEMBER,NORTH CAROLINA,RED PORGY,2194,58.7
FINAL,1995,MARCH/APRIL,NORTH CAROLINA,RED PORGY,4705,99.4
FINAL,1995,MARCH/APRIL,SOUTH CAROLINA,RED PORGY,14154,103.6
FINAL,1995,MAY/JUNE,NORTH CAROLINA,RED PORGY,5022,79
FINAL,1995,JULY/AUGUST,FLORIDA,RED PORGY,1394,97.4
FINAL,1995,JULY/AUGUST,NORTH CAROLINA,RED PORGY,9276,40.8
FINAL,1995,JULY/AUGUST,SOUTH CAROLINA,RED PORGY,18985,95.2
FINAL,1995,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,1785,64.9
FINAL,1995,NOVEMBER/DECEMBER,GEORGIA,RED PORGY,403,95.5
FINAL,1995,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED PORGY,2140,84.3
FINAL,1996,MARCH/APRIL,GEORGIA,RED PORGY,1832,62.4
FINAL,1996,MARCH/APRIL,NORTH CAROLINA,RED PORGY,1015,99.3
FINAL,1996,MARCH/APRIL,SOUTH CAROLINA,RED PORGY,39563,97.9
FINAL,1996,MAY/JUNE,GEORGIA,RED PORGY,2185,83
FINAL,1996,MAY/JUNE,NORTH CAROLINA,RED PORGY,12822,38
FINAL,1996,JULY/AUGUST,GEORGIA,RED PORGY,624,100.1
FINAL,1996,JULY/AUGUST,NORTH CAROLINA,RED PORGY,602,99.5
FINAL,1996,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,1159,101.1
FINAL,1996,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED PORGY,127,93.2
FINAL,1996,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED PORGY,443,101.1
FINAL,1997,MARCH/APRIL,FLORIDA,RED PORGY,2299,99.2
FINAL,1997,MARCH/APRIL,NORTH CAROLINA,RED PORGY,601,100.6
FINAL,1997,MARCH/APRIL,SOUTH CAROLINA,RED PORGY,2198,104.9
FINAL,1997,MAY/JUNE,NORTH CAROLINA,RED PORGY,11825,60.4
FINAL,1997,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,3899,68.8
FINAL,1997,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED PORGY,52,94.6
FINAL,1997,NOVEMBER/DECEMBER,NORTH CAROLINA,RED PORGY,831,99.8
FINAL,1997,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED PORGY,1259,80.2
FINAL,1998,MARCH/APRIL,NORTH CAROLINA,RED PORGY,7836,73.6
FINAL,1998,MARCH/APRIL,SOUTH CAROLINA,RED PORGY,1794,95.4
FINAL,1998,MAY/JUNE,FLORIDA,RED PORGY,5893,80.7
FINAL,1998,MAY/JUNE,NORTH CAROLINA,RED PORGY,13612,71.9
FINAL,1998,JULY/AUGUST,NORTH CAROLINA,RED PORGY,463,75.7
FINAL,1998,JULY/AUGUST,SOUTH CAROLINA,RED PORGY,83,89.5
FINAL,1998,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,0,.
FINAL,1998,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED PORGY,667,98.5
FINAL,1999,JANUARY/FEBRUARY,FLORIDA,RED PORGY,4664,70.9
FINAL,1999,MARCH/APRIL,FLORIDA,RED PORGY,616,91.7
FINAL,1999,MARCH/APRIL,NORTH CAROLINA,RED PORGY,0,.
FINAL,1999,MAY/JUNE,FLORIDA,RED PORGY,1829,74.7
FINAL,1999,MAY/JUNE,NORTH CAROLINA,RED PORGY,7576,64.9
