Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,RED PORGY,20898,84.3,0
FINAL,1990,MAY/JUNE,NORTH CAROLINA,RED PORGY,6629,60.2,0
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,RED PORGY,58,94.9,0
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,RED PORGY,34087,57.1,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,RED PORGY,0,.,18971
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,2762,44,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,577,102,0
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,RED PORGY,2072,92.8,0
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,RED PORGY,4866,71.9,0
FINAL,1991,MAY/JUNE,NORTH CAROLINA,RED PORGY,4477,38.6,0
FINAL,1991,MAY/JUNE,SOUTH CAROLINA,RED PORGY,7825,71.3,0
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,RED PORGY,795,59.1,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,5238,102.2,0
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,5317,41,0
FINAL,1991,NOVEMBER/DECEMBER,NORTH CAROLINA,RED PORGY,1176,100.3,0
FINAL,1992,MARCH/APRIL,NORTH CAROLINA,RED PORGY,809,91.8,0
FINAL,1992,MARCH/APRIL,SOUTH CAROLINA,RED PORGY,13782,92.2,0
FINAL,1992,MAY/JUNE,FLORIDA,RED PORGY,2035,96.7,0
FINAL,1992,MAY/JUNE,NORTH CAROLINA,RED PORGY,13687,43.3,0
FINAL,1992,MAY/JUNE,SOUTH CAROLINA,RED PORGY,2221,94.5,0
FINAL,1992,JULY/AUGUST,FLORIDA,RED PORGY,0,.,0
FINAL,1992,JULY/AUGUST,NORTH CAROLINA,RED PORGY,6638,38.8,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,279,99.2,0
FINAL,1992,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,2533,35.3,0
FINAL,1992,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED PORGY,695,99,0
FINAL,1992,NOVEMBER/DECEMBER,GEORGIA,RED PORGY,441,100.1,0
FINAL,1992,NOVEMBER/DECEMBER,NORTH CAROLINA,RED PORGY,392,105.5,0
FINAL,1992,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED PORGY,48958,71,0
FINAL,1993,MARCH/APRIL,NORTH CAROLINA,RED PORGY,1891,95.3,0
FINAL,1993,MARCH/APRIL,SOUTH CAROLINA,RED PORGY,1748,72,0
FINAL,1993,MAY/JUNE,NORTH CAROLINA,RED PORGY,6947,47.1,0
FINAL,1993,JULY/AUGUST,NORTH CAROLINA,RED PORGY,9797,51.5,0
FINAL,1993,JULY/AUGUST,SOUTH CAROLINA,RED PORGY,508,59,0
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,637,99.3,0
FINAL,1993,SEPTEMBER/OCTOBER,GEORGIA,RED PORGY,1111,125.9,0
FINAL,1993,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,2150,65.5,0
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,1003,99.6,0
FINAL,1993,NOVEMBER/DECEMBER,NORTH CAROLINA,RED PORGY,16,95.3,0
FINAL,1993,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED PORGY,0,.,0
FINAL,1994,MARCH/APRIL,FLORIDA,RED PORGY,1684,100.3,0
FINAL,1994,MARCH/APRIL,NORTH CAROLINA,RED PORGY,9616,64.6,0
FINAL,1994,MARCH/APRIL,SOUTH CAROLINA,RED PORGY,10307,96.5,0
FINAL,1994,MAY/JUNE,NORTH CAROLINA,RED PORGY,10161,39.8,0
FINAL,1994,JULY/AUGUST,NORTH CAROLINA,RED PORGY,16004,45.8,0
FINAL,1994,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,407,101.9,0
FINAL,1994,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,2083,57.1,0
FINAL,1994,NOVEMBER/DECEMBER,NORTH CAROLINA,RED PORGY,1293,57.4,0
FINAL,1995,MARCH/APRIL,NORTH CAROLINA,RED PORGY,3213,99.4,0
FINAL,1995,MARCH/APRIL,SOUTH CAROLINA,RED PORGY,8139,103.6,0
FINAL,1995,MAY/JUNE,NORTH CAROLINA,RED PORGY,3152,81.7,0
FINAL,1995,JULY/AUGUST,FLORIDA,RED PORGY,818,97.4,0
FINAL,1995,JULY/AUGUST,NORTH CAROLINA,RED PORGY,5728,42,0
FINAL,1995,JULY/AUGUST,SOUTH CAROLINA,RED PORGY,11807,94.9,0
FINAL,1995,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,770,66.9,0
FINAL,1995,NOVEMBER/DECEMBER,GEORGIA,RED PORGY,516,95.5,0
FINAL,1995,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED PORGY,2782,84.3,0
FINAL,1996,MARCH/APRIL,GEORGIA,RED PORGY,1268,62.7,0
FINAL,1996,MARCH/APRIL,NORTH CAROLINA,RED PORGY,551,99.3,0
FINAL,1996,MARCH/APRIL,SOUTH CAROLINA,RED PORGY,41483,99.6,0
FINAL,1996,MAY/JUNE,GEORGIA,RED PORGY,1957,86,0
FINAL,1996,MAY/JUNE,NORTH CAROLINA,RED PORGY,8039,40.5,0
FINAL,1996,JULY/AUGUST,GEORGIA,RED PORGY,470,100.1,0
FINAL,1996,JULY/AUGUST,NORTH CAROLINA,RED PORGY,346,99.5,0
FINAL,1996,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,894,101.1,0
FINAL,1996,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED PORGY,112,93.2,0
FINAL,1996,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED PORGY,443,101.1,0
FINAL,1997,MARCH/APRIL,FLORIDA,RED PORGY,575,99.2,0
FINAL,1997,MARCH/APRIL,NORTH CAROLINA,RED PORGY,394,100.6,0
FINAL,1997,MARCH/APRIL,SOUTH CAROLINA,RED PORGY,3831,104.9,0
FINAL,1997,MAY/JUNE,NORTH CAROLINA,RED PORGY,8713,58.2,0
FINAL,1997,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,2130,70.1,0
FINAL,1997,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED PORGY,30,94.6,0
FINAL,1997,NOVEMBER/DECEMBER,NORTH CAROLINA,RED PORGY,147,99.8,0
FINAL,1997,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED PORGY,1133,80.2,0
FINAL,1998,MARCH/APRIL,NORTH CAROLINA,RED PORGY,6070,74.9,0
FINAL,1998,MARCH/APRIL,SOUTH CAROLINA,RED PORGY,1220,95.4,0
FINAL,1998,MAY/JUNE,FLORIDA,RED PORGY,2063,80.7,0
FINAL,1998,MAY/JUNE,NORTH CAROLINA,RED PORGY,6585,68.2,0
FINAL,1998,JULY/AUGUST,NORTH CAROLINA,RED PORGY,231,76.9,0
FINAL,1998,JULY/AUGUST,SOUTH CAROLINA,RED PORGY,54,89.5,0
FINAL,1998,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,0,.,0
FINAL,1998,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED PORGY,1001,98.5,0
FINAL,1999,JANUARY/FEBRUARY,FLORIDA,RED PORGY,3757,74.4,0
FINAL,1999,MARCH/APRIL,FLORIDA,RED PORGY,367,88.3,0
FINAL,1999,MARCH/APRIL,NORTH CAROLINA,RED PORGY,0,.,0
FINAL,1999,MAY/JUNE,FLORIDA,RED PORGY,2893,79.4,0
FINAL,1999,MAY/JUNE,NORTH CAROLINA,RED PORGY,4787,62.8,0
FINAL,1999,MAY/JUNE,SOUTH CAROLINA,RED PORGY,2045,69.3,0
FINAL,1999,JULY/AUGUST,FLORIDA,RED PORGY,2119,98,0
FINAL,1999,JULY/AUGUST,NORTH CAROLINA,RED PORGY,377,79.1,0
FINAL,1999,JULY/AUGUST,SOUTH CAROLINA,RED PORGY,158,90,0
FINAL,1999,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,768,78.5,0
FINAL,1999,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED PORGY,0,.,0
FINAL,1999,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,1821,97.4,0
FINAL,1999,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED PORGY,2494,90.9,0
FINAL,2000,MARCH/APRIL,GEORGIA,RED PORGY,0,.,0
FINAL,2000,MARCH/APRIL,SOUTH CAROLINA,RED PORGY,1390,63.4,0
FINAL,2000,MAY/JUNE,FLORIDA,RED PORGY,0,.,0
FINAL,2000,MAY/JUNE,SOUTH CAROLINA,RED PORGY,394,72.5,0
FINAL,2000,JULY/AUGUST,GEORGIA,RED PORGY,0,.,0
FINAL,2000,JULY/AUGUST,NORTH CAROLINA,RED PORGY,5546,95.5,0
FINAL,2000,JULY/AUGUST,SOUTH CAROLINA,RED PORGY,0,.,0
FINAL,2000,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,676,77,0
FINAL,2000,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,23,101.2,0
FINAL,2000,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED PORGY,752,61.9,0
FINAL,2000,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,0,.,0
FINAL,2000,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED PORGY,62,98.5,0
FINAL,2001,JANUARY/FEBRUARY,FLORIDA,RED PORGY,1001,97,0
FINAL,2001,MARCH/APRIL,FLORIDA,RED PORGY,1183,77,0
FINAL,2001,MARCH/APRIL,NORTH CAROLINA,RED PORGY,0,.,0
FINAL,2001,MAY/JUNE,FLORIDA,RED PORGY,1462,97.9,0
FINAL,2001,MAY/JUNE,NORTH CAROLINA,RED PORGY,8206,46.1,0
FINAL,2001,MAY/JUNE,SOUTH CAROLINA,RED PORGY,0,.,0
FINAL,2001,JULY/AUGUST,FLORIDA,RED PORGY,2228,70,0
FINAL,2001,JULY/AUGUST,NORTH CAROLINA,RED PORGY,6989,53.7,0
FINAL,2001,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,1604,110.1,0
FINAL,2001,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,740,100.2,0
FINAL,2001,SEPTEMBER/OCTOBER,SOUTH CAROLINA,RED PORGY,371,82.2,0
FINAL,2001,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,1496,85,0
FINAL,2001,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED PORGY,0,.,0
FINAL,2002,JANUARY/FEBRUARY,FLORIDA,RED PORGY,145,98.1,0
FINAL,2002,MARCH/APRIL,FLORIDA,RED PORGY,4085,44.8,0
FINAL,2002,MAY/JUNE,GEORGIA,RED PORGY,522,97.3,0
FINAL,2002,MAY/JUNE,NORTH CAROLINA,RED PORGY,20508,53,0
FINAL,2002,MAY/JUNE,SOUTH CAROLINA,RED PORGY,608,85.8,0
FINAL,2002,JULY/AUGUST,FLORIDA,RED PORGY,2696,100.7,0
FINAL,2002,JULY/AUGUST,GEORGIA,RED PORGY,0,.,0
FINAL,2002,JULY/AUGUST,NORTH CAROLINA,RED PORGY,10539,40.9,0
FINAL,2002,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,103,83.7,0
FINAL,2002,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,1457,98.7,0
FINAL,2002,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED PORGY,0,.,0
FINAL,2003,JANUARY/FEBRUARY,FLORIDA,RED PORGY,8509,95.4,0
FINAL,2003,MARCH/APRIL,FLORIDA,RED PORGY,519,55.9,0
FINAL,2003,MARCH/APRIL,GEORGIA,RED PORGY,3,97.7,0
FINAL,2003,MARCH/APRIL,SOUTH CAROLINA,RED PORGY,425,86.4,0
FINAL,2003,MAY/JUNE,FLORIDA,RED PORGY,1184,71.1,0
FINAL,2003,MAY/JUNE,GEORGIA,RED PORGY,2482,91.9,0
FINAL,2003,MAY/JUNE,NORTH CAROLINA,RED PORGY,11369,49.8,0
FINAL,2003,MAY/JUNE,SOUTH CAROLINA,RED PORGY,131,98.8,0
FINAL,2003,JULY/AUGUST,FLORIDA,RED PORGY,5711,96,0
FINAL,2003,JULY/AUGUST,GEORGIA,RED PORGY,255,79.7,0
FINAL,2003,JULY/AUGUST,NORTH CAROLINA,RED PORGY,5421,58.6,0
FINAL,2003,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,883,55.1,0
FINAL,2003,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED PORGY,2672,87.4,0
FINAL,2003,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,60,101.5,0
FINAL,2003,NOVEMBER/DECEMBER,GEORGIA,RED PORGY,15,92.2,0
FINAL,2003,NOVEMBER/DECEMBER,NORTH CAROLINA,RED PORGY,2420,97.6,0
FINAL,2003,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED PORGY,0,.,0
FINAL,2004,JANUARY/FEBRUARY,FLORIDA,RED PORGY,5667,65.4,0
FINAL,2004,MARCH/APRIL,FLORIDA,RED PORGY,483,56.7,0
FINAL,2004,MARCH/APRIL,GEORGIA,RED PORGY,161,89.9,0
FINAL,2004,MARCH/APRIL,NORTH CAROLINA,RED PORGY,18080,87.7,0
FINAL,2004,MARCH/APRIL,SOUTH CAROLINA,RED PORGY,773,79.3,0
FINAL,2004,MAY/JUNE,GEORGIA,RED PORGY,4145,65.1,0
FINAL,2004,MAY/JUNE,NORTH CAROLINA,RED PORGY,7386,38.8,0
FINAL,2004,MAY/JUNE,SOUTH CAROLINA,RED PORGY,4351,54.1,0
FINAL,2004,JULY/AUGUST,FLORIDA,RED PORGY,2075,54.3,0
FINAL,2004,JULY/AUGUST,GEORGIA,RED PORGY,595,80.2,0
FINAL,2004,JULY/AUGUST,NORTH CAROLINA,RED PORGY,7644,46.3,0
