s,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,MAY/JUNE,ALABAMA,RED PORGY,54,99.8
FINAL,1990,MAY/JUNE,FLORIDA,RED PORGY,34325,99
FINAL,1990,JULY/AUGUST,ALABAMA,RED PORGY,8307,80.6
FINAL,1990,JULY/AUGUST,FLORIDA,RED PORGY,7226,80.7
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,6955,100
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,171728,50.8
FINAL,1990,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,18,104.2
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,1847,101.3
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,RED PORGY,505,95.9
FINAL,1991,MARCH/APRIL,ALABAMA,RED PORGY,42839,96.2
FINAL,1991,MARCH/APRIL,FLORIDA,RED PORGY,82523,73.5
FINAL,1991,MAY/JUNE,ALABAMA,RED PORGY,662,78.8
FINAL,1991,MAY/JUNE,LOUISIANA,RED PORGY,125,93.9
FINAL,1991,JULY/AUGUST,ALABAMA,RED PORGY,816,107.1
FINAL,1991,JULY/AUGUST,FLORIDA,RED PORGY,17698,57.8
FINAL,1991,JULY/AUGUST,LOUISIANA,RED PORGY,66,100.2
FINAL,1991,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,1670,90.5
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,14063,44.2
FINAL,1991,SEPTEMBER/OCTOBER,LOUISIANA,RED PORGY,185,94.4
FINAL,1991,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,2229,87.4
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,275780,61.7
FINAL,1992,JANUARY/FEBRUARY,ALABAMA,RED PORGY,904,102.7
FINAL,1992,MARCH/APRIL,ALABAMA,RED PORGY,24968,76.7
FINAL,1992,MARCH/APRIL,FLORIDA,RED PORGY,35443,65.4
FINAL,1992,MARCH/APRIL,LOUISIANA,RED PORGY,11,98
FINAL,1992,MAY/JUNE,ALABAMA,RED PORGY,1749,87.5
FINAL,1992,MAY/JUNE,FLORIDA,RED PORGY,30814,66.2
FINAL,1992,MAY/JUNE,LOUISIANA,RED PORGY,214,85.9
FINAL,1992,JULY/AUGUST,ALABAMA,RED PORGY,4050,71.9
FINAL,1992,JULY/AUGUST,FLORIDA,RED PORGY,1474,103.8
FINAL,1992,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,47,89.6
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,2409,65.4
FINAL,1992,SEPTEMBER/OCTOBER,LOUISIANA,RED PORGY,131,65.4
FINAL,1992,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,1113,95
FINAL,1993,MARCH/APRIL,ALABAMA,RED PORGY,7621,82.3
FINAL,1993,MARCH/APRIL,FLORIDA,RED PORGY,561,105.9
FINAL,1993,MARCH/APRIL,LOUISIANA,RED PORGY,250,92.3
FINAL,1993,MAY/JUNE,ALABAMA,RED PORGY,1801,105
FINAL,1993,MAY/JUNE,FLORIDA,RED PORGY,40306,58.9
FINAL,1993,JULY/AUGUST,FLORIDA,RED PORGY,24575,50
FINAL,1993,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,1597,75.8
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,7457,49.5
FINAL,1993,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,3319,75
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,2135,100
FINAL,1994,JANUARY/FEBRUARY,ALABAMA,RED PORGY,495,130.6
FINAL,1994,JANUARY/FEBRUARY,LOUISIANA,RED PORGY,275,79.6
FINAL,1994,MARCH/APRIL,ALABAMA,RED PORGY,2689,102.3
FINAL,1994,MARCH/APRIL,FLORIDA,RED PORGY,53714,65.5
FINAL,1994,MARCH/APRIL,LOUISIANA,RED PORGY,30,94.2
FINAL,1994,MAY/JUNE,ALABAMA,RED PORGY,9431,67.9
FINAL,1994,MAY/JUNE,FLORIDA,RED PORGY,14621,63.1
FINAL,1994,MAY/JUNE,LOUISIANA,RED PORGY,58,93.2
FINAL,1994,JULY/AUGUST,ALABAMA,RED PORGY,853,78.9
FINAL,1994,JULY/AUGUST,FLORIDA,RED PORGY,69946,62.3
FINAL,1994,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,842,94.8
FINAL,1994,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,368,95.7
FINAL,1995,JANUARY/FEBRUARY,ALABAMA,RED PORGY,35,100
FINAL,1995,MARCH/APRIL,ALABAMA,RED PORGY,128,58.2
FINAL,1995,MARCH/APRIL,FLORIDA,RED PORGY,35354,100.4
FINAL,1995,MAY/JUNE,FLORIDA,RED PORGY,160218,42.3
FINAL,1995,JULY/AUGUST,ALABAMA,RED PORGY,634,90.3
FINAL,1995,JULY/AUGUST,FLORIDA,RED PORGY,16051,77.6
FINAL,1995,JULY/AUGUST,LOUISIANA,RED PORGY,820,71.3
FINAL,1995,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,792,74
FINAL,1995,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,73963,91.9
FINAL,1995,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,4292,103.4
FINAL,1996,JANUARY/FEBRUARY,FLORIDA,RED PORGY,61297,68
FINAL,1996,JANUARY/FEBRUARY,LOUISIANA,RED PORGY,110,97.9
FINAL,1996,MARCH/APRIL,ALABAMA,RED PORGY,18981,87.2
FINAL,1996,MARCH/APRIL,FLORIDA,RED PORGY,20727,75.1
FINAL,1996,MAY/JUNE,ALABAMA,RED PORGY,3176,74.7
FINAL,1996,MAY/JUNE,FLORIDA,RED PORGY,7336,57.8
FINAL,1996,JULY/AUGUST,FLORIDA,RED PORGY,67169,68.2
FINAL,1996,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,41116,54.8
FINAL,1996,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,148,87.6
FINAL,1996,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,23262,68.4
FINAL,1997,MARCH/APRIL,ALABAMA,RED PORGY,4805,39.4
FINAL,1997,MARCH/APRIL,FLORIDA,RED PORGY,5965,84.2
FINAL,1997,MAY/JUNE,FLORIDA,RED PORGY,28262,68.3
FINAL,1997,JULY/AUGUST,ALABAMA,RED PORGY,5725,79
FINAL,1997,JULY/AUGUST,FLORIDA,RED PORGY,20319,65.3
FINAL,1997,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,3358,96.2
FINAL,1997,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,13711,37.1
FINAL,1997,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,2007,87.5
FINAL,1997,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,22891,84.2
FINAL,1998,JANUARY/FEBRUARY,ALABAMA,RED PORGY,25,99
FINAL,1998,JANUARY/FEBRUARY,FLORIDA,RED PORGY,2349,48.4
FINAL,1998,MARCH/APRIL,ALABAMA,RED PORGY,748,101
FINAL,1998,MARCH/APRIL,FLORIDA,RED PORGY,17987,46.4
FINAL,1998,MAY/JUNE,ALABAMA,RED PORGY,286,103.9
FINAL,1998,MAY/JUNE,FLORIDA,RED PORGY,15554,33.4
FINAL,1998,JULY/AUGUST,ALABAMA,RED PORGY,1418,64
FINAL,1998,JULY/AUGUST,FLORIDA,RED PORGY,19874,46.2
FINAL,1998,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,514,94.5
FINAL,1998,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,26091,70.2
FINAL,1998,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,269,75.5
FINAL,1998,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,31325,96.4
FINAL,1999,JANUARY/FEBRUARY,ALABAMA,RED PORGY,4,102.3
FINAL,1999,JANUARY/FEBRUARY,FLORIDA,RED PORGY,680,52.6
FINAL,1999,MARCH/APRIL,ALABAMA,RED PORGY,2305,53.7
FINAL,1999,MARCH/APRIL,FLORIDA,RED PORGY,14556,36.5
FINAL,1999,MAY/JUNE,ALABAMA,RED PORGY,2740,82.2
FINAL,1999,MAY/JUNE,FLORIDA,RED PORGY,9241,47.5
FINAL,1999,JULY/AUGUST,ALABAMA,RED PORGY,1070,70.6
FINAL,1999,JULY/AUGUST,FLORIDA,RED PORGY,16799,36.4
FINAL,1999,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,707,95.2
FINAL,1999,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,7603,32.8
FINAL,1999,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,2612,52.4
FINAL,2000,JANUARY/FEBRUARY,ALABAMA,RED PORGY,72,71.5
FINAL,2000,JANUARY/FEBRUARY,FLORIDA,RED PORGY,25298,99.4
FINAL,2000,MARCH/APRIL,ALABAMA,RED PORGY,1573,58.8
FINAL,2000,MARCH/APRIL,FLORIDA,RED PORGY,7664,34.5
FINAL,2000,MAY/JUNE,ALABAMA,RED PORGY,1186,71.2
FINAL,2000,MAY/JUNE,FLORIDA,RED PORGY,11446,62.3
FINAL,2000,JULY/AUGUST,ALABAMA,RED PORGY,211,69.6
FINAL,2000,JULY/AUGUST,FLORIDA,RED PORGY,23836,57
FINAL,2000,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,4671,28.8
FINAL,2000,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,30,100.9
FINAL,2000,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,3226,53.1
FINAL,2001,JANUARY/FEBRUARY,ALABAMA,RED PORGY,159,83.9
FINAL,2001,JANUARY/FEBRUARY,FLORIDA,RED PORGY,311,48.6
FINAL,2001,MARCH/APRIL,ALABAMA,RED PORGY,1561,49.9
FINAL,2001,MARCH/APRIL,FLORIDA,RED PORGY,63444,55.2
FINAL,2001,MAY/JUNE,ALABAMA,RED PORGY,1239,46.2
FINAL,2001,MAY/JUNE,FLORIDA,RED PORGY,24448,44.1
FINAL,2001,JULY/AUGUST,ALABAMA,RED PORGY,3810,81.6
FINAL,2001,JULY/AUGUST,FLORIDA,RED PORGY,7790,27.8
FINAL,2001,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,7109,32.2
FINAL,2001,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,10,98.4
FINAL,2001,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,1730,29.3
FINAL,2002,JANUARY/FEBRUARY,ALABAMA,RED PORGY,1754,55.4
FINAL,2002,JANUARY/FEBRUARY,FLORIDA,RED PORGY,32739,90.5
FINAL,2002,MARCH/APRIL,ALABAMA,RED PORGY,4311,66.6
FINAL,2002,MARCH/APRIL,FLORIDA,RED PORGY,18936,55.7
