Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,MAY/JUNE,ALABAMA,RED PORGY,23,99.8,0
FINAL,1990,MAY/JUNE,FLORIDA,RED PORGY,13290,99,0
FINAL,1990,JULY/AUGUST,ALABAMA,RED PORGY,3370,80.6,0
FINAL,1990,JULY/AUGUST,FLORIDA,RED PORGY,2174,80.7,0
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,4432,100,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,159174,55.8,0
FINAL,1990,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,60,104.2,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,949,101.3,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,RED PORGY,252,95.9,0
FINAL,1991,MARCH/APRIL,ALABAMA,RED PORGY,21249,95.5,0
FINAL,1991,MARCH/APRIL,FLORIDA,RED PORGY,43878,70,0
FINAL,1991,MAY/JUNE,ALABAMA,RED PORGY,495,78.9,0
FINAL,1991,MAY/JUNE,LOUISIANA,RED PORGY,64,93.9,0
FINAL,1991,JULY/AUGUST,ALABAMA,RED PORGY,546,107.1,0
FINAL,1991,JULY/AUGUST,FLORIDA,RED PORGY,6357,58.3,0
FINAL,1991,JULY/AUGUST,LOUISIANA,RED PORGY,39,100.2,0
FINAL,1991,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,1479,92.9,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,8847,50.3,0
FINAL,1991,SEPTEMBER/OCTOBER,LOUISIANA,RED PORGY,96,94.4,0
FINAL,1991,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,1606,87.5,0
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,219955,66.5,0
FINAL,1992,JANUARY/FEBRUARY,ALABAMA,RED PORGY,0,.,904
FINAL,1992,MARCH/APRIL,ALABAMA,RED PORGY,15881,79.9,0
FINAL,1992,MARCH/APRIL,FLORIDA,RED PORGY,24375,63.2,0
FINAL,1992,MARCH/APRIL,LOUISIANA,RED PORGY,6,98,0
FINAL,1992,MAY/JUNE,ALABAMA,RED PORGY,1449,87.6,0
FINAL,1992,MAY/JUNE,FLORIDA,RED PORGY,32596,72.9,0
FINAL,1992,MAY/JUNE,LOUISIANA,RED PORGY,198,85.2,0
FINAL,1992,JULY/AUGUST,ALABAMA,RED PORGY,2587,71.5,0
FINAL,1992,JULY/AUGUST,FLORIDA,RED PORGY,1090,103.8,0
FINAL,1992,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,44,89.5,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,2131,65.1,0
FINAL,1992,SEPTEMBER/OCTOBER,LOUISIANA,RED PORGY,114,62.8,0
FINAL,1992,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,915,95.6,0
FINAL,1993,MARCH/APRIL,ALABAMA,RED PORGY,6856,88,0
FINAL,1993,MARCH/APRIL,FLORIDA,RED PORGY,487,105.9,0
FINAL,1993,MARCH/APRIL,LOUISIANA,RED PORGY,216,92.3,0
FINAL,1993,MAY/JUNE,ALABAMA,RED PORGY,1087,105,0
FINAL,1993,MAY/JUNE,FLORIDA,RED PORGY,22138,55.4,0
FINAL,1993,JULY/AUGUST,FLORIDA,RED PORGY,13320,52.9,0
FINAL,1993,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,820,73.2,0
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,4980,52.1,0
FINAL,1993,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,1603,69.7,0
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,867,100,0
FINAL,1994,JANUARY/FEBRUARY,ALABAMA,RED PORGY,291,130.7,0
FINAL,1994,JANUARY/FEBRUARY,LOUISIANA,RED PORGY,61,79.6,0
FINAL,1994,MARCH/APRIL,ALABAMA,RED PORGY,1407,102.4,0
FINAL,1994,MARCH/APRIL,FLORIDA,RED PORGY,22391,55.3,0
FINAL,1994,MARCH/APRIL,LOUISIANA,RED PORGY,14,94.2,0
FINAL,1994,MAY/JUNE,ALABAMA,RED PORGY,4326,71.3,0
FINAL,1994,MAY/JUNE,FLORIDA,RED PORGY,6337,66.8,0
FINAL,1994,MAY/JUNE,LOUISIANA,RED PORGY,13,93.2,0
FINAL,1994,JULY/AUGUST,ALABAMA,RED PORGY,363,78.9,0
FINAL,1994,JULY/AUGUST,FLORIDA,RED PORGY,23596,67.4,0
FINAL,1994,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,425,95.6,0
FINAL,1994,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,153,95.7,0
FINAL,1995,JANUARY/FEBRUARY,ALABAMA,RED PORGY,17,100,0
FINAL,1995,MARCH/APRIL,ALABAMA,RED PORGY,57,58.2,0
FINAL,1995,MARCH/APRIL,FLORIDA,RED PORGY,20505,100.4,0
FINAL,1995,MAY/JUNE,FLORIDA,RED PORGY,73423,42.2,0
FINAL,1995,JULY/AUGUST,ALABAMA,RED PORGY,289,85.5,0
FINAL,1995,JULY/AUGUST,FLORIDA,RED PORGY,5264,77.6,0
FINAL,1995,JULY/AUGUST,LOUISIANA,RED PORGY,506,71.3,0
FINAL,1995,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,126,77.1,0
FINAL,1995,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,23753,92.3,0
FINAL,1995,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,1576,101.6,0
FINAL,1996,JANUARY/FEBRUARY,FLORIDA,RED PORGY,23925,65.7,0
FINAL,1996,JANUARY/FEBRUARY,LOUISIANA,RED PORGY,86,97.9,0
FINAL,1996,MARCH/APRIL,ALABAMA,RED PORGY,7197,79.8,0
FINAL,1996,MARCH/APRIL,FLORIDA,RED PORGY,13618,71.3,0
FINAL,1996,MAY/JUNE,ALABAMA,RED PORGY,1783,76.8,0
FINAL,1996,MAY/JUNE,FLORIDA,RED PORGY,2584,58.1,0
FINAL,1996,JULY/AUGUST,FLORIDA,RED PORGY,22814,69.1,0
FINAL,1996,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,16950,58.5,0
FINAL,1996,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,74,87.6,0
FINAL,1996,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,12693,70,0
FINAL,1997,MARCH/APRIL,ALABAMA,RED PORGY,3729,39.8,0
FINAL,1997,MARCH/APRIL,FLORIDA,RED PORGY,2703,81.9,0
FINAL,1997,MAY/JUNE,FLORIDA,RED PORGY,14142,69.2,0
FINAL,1997,JULY/AUGUST,ALABAMA,RED PORGY,3255,80,0
FINAL,1997,JULY/AUGUST,FLORIDA,RED PORGY,8067,65,0
FINAL,1997,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,4507,96.8,0
FINAL,1997,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,12905,39.6,0
FINAL,1997,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,1514,87.5,0
FINAL,1997,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,12590,86,0
FINAL,1998,JANUARY/FEBRUARY,ALABAMA,RED PORGY,21,99,0
FINAL,1998,JANUARY/FEBRUARY,FLORIDA,RED PORGY,1124,47.7,0
FINAL,1998,MARCH/APRIL,ALABAMA,RED PORGY,483,101,0
FINAL,1998,MARCH/APRIL,FLORIDA,RED PORGY,7694,45.7,0
FINAL,1998,MAY/JUNE,ALABAMA,RED PORGY,227,103.9,0
FINAL,1998,MAY/JUNE,FLORIDA,RED PORGY,12507,35,0
FINAL,1998,JULY/AUGUST,ALABAMA,RED PORGY,918,62.6,0
FINAL,1998,JULY/AUGUST,FLORIDA,RED PORGY,10873,43.8,0
FINAL,1998,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,367,93.7,0
