Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,MARCH/APRIL,FLORIDA,RED SNAPPER,9022,70.6
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,RED SNAPPER,116,98.2
FINAL,1990,MAY/JUNE,NORTH CAROLINA,RED SNAPPER,1371,97.1
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,RED SNAPPER,1171,63.9
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,RED SNAPPER,1143,96.2
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED SNAPPER,171,85.2
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,RED SNAPPER,13062,87.5
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,RED SNAPPER,0,.
FINAL,1991,MARCH/APRIL,FLORIDA,RED SNAPPER,3386,80.5
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,RED SNAPPER,3911,94
FINAL,1991,MAY/JUNE,FLORIDA,RED SNAPPER,18179,74.3
FINAL,1991,MAY/JUNE,GEORGIA,RED SNAPPER,0,.
FINAL,1991,MAY/JUNE,NORTH CAROLINA,RED SNAPPER,2711,73.6
FINAL,1991,MAY/JUNE,SOUTH CAROLINA,RED SNAPPER,780,99.3
FINAL,1991,JULY/AUGUST,FLORIDA,RED SNAPPER,22088,96.1
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,RED SNAPPER,616,71.1
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,RED SNAPPER,6971,102.9
FINAL,1991,SEPTEMBER/OCTOBER,GEORGIA,RED SNAPPER,681,94.6
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED SNAPPER,845,98.4
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,RED SNAPPER,4624,94.2
FINAL,1991,NOVEMBER/DECEMBER,SOUTH CAROLINA,RED SNAPPER,0,.
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,RED SNAPPER,5258,97.2
FINAL,1992,MARCH/APRIL,FLORIDA,RED SNAPPER,349,101.7
FINAL,1992,MARCH/APRIL,GEORGIA,RED SNAPPER,756,60.7
FINAL,1992,MAY/JUNE,FLORIDA,RED SNAPPER,33808,87.9
FINAL,1992,MAY/JUNE,GEORGIA,RED SNAPPER,25,97.8
FINAL,1992,MAY/JUNE,NORTH CAROLINA,RED SNAPPER,597,93.1
FINAL,1992,JULY/AUGUST,FLORIDA,RED SNAPPER,46756,39.7
FINAL,1992,JULY/AUGUST,GEORGIA,RED SNAPPER,622,84.7
FINAL,1992,JULY/AUGUST,NORTH CAROLINA,RED SNAPPER,266,81
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,RED SNAPPER,4107,54.9
FINAL,1992,SEPTEMBER/OCTOBER,GEORGIA,RED SNAPPER,428,85.1
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,RED SNAPPER,2969,88.8
FINAL,1992,NOVEMBER/DECEMBER,NORTH CAROLINA,RED SNAPPER,88,96.5
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,RED SNAPPER,5844,98.7
FINAL,1993,MARCH/APRIL,FLORIDA,RED SNAPPER,2550,98.6
FINAL,1993,MARCH/APRIL,GEORGIA,RED SNAPPER,333,100.9
FINAL,1993,MAY/JUNE,FLORIDA,RED SNAPPER,6609,62.9
FINAL,1993,MAY/JUNE,GEORGIA,RED SNAPPER,1055,84.5
FINAL,1993,MAY/JUNE,NORTH CAROLINA,RED SNAPPER,504,69.7
FINAL,1993,JULY/AUGUST,FLORIDA,RED SNAPPER,2225,71.6
FINAL,1993,JULY/AUGUST,GEORGIA,RED SNAPPER,21,87.2
FINAL,1993,JULY/AUGUST,NORTH CAROLINA,RED SNAPPER,106,70.9
FINAL,1993,JULY/AUGUST,SOUTH CAROLINA,RED SNAPPER,0,.
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,RED SNAPPER,0,.
FINAL,1993,SEPTEMBER/OCTOBER,GEORGIA,RED SNAPPER,400,125.9
FINAL,1993,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED SNAPPER,0,.
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,RED SNAPPER,10479,69.5
FINAL,1994,JANUARY/FEBRUARY,FLORIDA,RED SNAPPER,1513,96.2
FINAL,1994,MARCH/APRIL,GEORGIA,RED SNAPPER,7802,95.4
FINAL,1994,MARCH/APRIL,NORTH CAROLINA,RED SNAPPER,851,75.2
FINAL,1994,MARCH/APRIL,SOUTH CAROLINA,RED SNAPPER,1193,96.5
FINAL,1994,MAY/JUNE,FLORIDA,RED SNAPPER,13194,77.7
FINAL,1994,MAY/JUNE,GEORGIA,RED SNAPPER,501,82.7
FINAL,1994,MAY/JUNE,NORTH CAROLINA,RED SNAPPER,246,66.5
FINAL,1994,JULY/AUGUST,FLORIDA,RED SNAPPER,19721,57.7
FINAL,1994,JULY/AUGUST,NORTH CAROLINA,RED SNAPPER,2191,87.4
FINAL,1994,SEPTEMBER/OCTOBER,FLORIDA,RED SNAPPER,0,.
FINAL,1994,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED SNAPPER,173,61.1
FINAL,1994,NOVEMBER/DECEMBER,FLORIDA,RED SNAPPER,5073,99.1
