Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,MARCH/APRIL,FLORIDA,RED SNAPPER,1804,70.6,0
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,RED SNAPPER,62,98.2,0
FINAL,1990,MAY/JUNE,NORTH CAROLINA,RED SNAPPER,728,96.5,0
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,RED SNAPPER,2312,70.4,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,RED SNAPPER,1828,96.2,0
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED SNAPPER,914,85.2,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,RED SNAPPER,30753,69.1,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,RED SNAPPER,0,.,0
FINAL,1991,MARCH/APRIL,FLORIDA,RED SNAPPER,2370,80.5,0
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,RED SNAPPER,2813,94,0
FINAL,1991,MAY/JUNE,FLORIDA,RED SNAPPER,20492,76.6,0
FINAL,1991,MAY/JUNE,GEORGIA,RED SNAPPER,0,.,0
FINAL,1991,MAY/JUNE,NORTH CAROLINA,RED SNAPPER,4519,76.5,0
FINAL,1991,MAY/JUNE,SOUTH CAROLINA,RED SNAPPER,1212,99.5,0
FINAL,1991,JULY/AUGUST,FLORIDA,RED SNAPPER,58927,99.1,0
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,RED SNAPPER,487,81,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,RED SNAPPER,22308,102.9,0
FINAL,1991,SEPTEMBER/OCTOBER,GEORGIA,RED SNAPPER,1864,94.6,0
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,RED SNAPPER,393,97.7,0
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,RED SNAPPER,15489,94.2,0
