Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,MARCH/APRIL,ALABAMA,RED SNAPPER,6125,77.5
FINAL,1990,MARCH/APRIL,FLORIDA,RED SNAPPER,26943,74.4
FINAL,1990,MARCH/APRIL,LOUISIANA,RED SNAPPER,101754,62.1
FINAL,1990,MARCH/APRIL,MISSISSIPPI,RED SNAPPER,37799,29.4
FINAL,1990,MAY/JUNE,ALABAMA,RED SNAPPER,97299,73.4
FINAL,1990,MAY/JUNE,FLORIDA,RED SNAPPER,37568,74.6
FINAL,1990,MAY/JUNE,MISSISSIPPI,RED SNAPPER,0,.
FINAL,1990,JULY/AUGUST,ALABAMA,RED SNAPPER,157940,68.3
FINAL,1990,JULY/AUGUST,FLORIDA,RED SNAPPER,4822,97.7
FINAL,1990,JULY/AUGUST,LOUISIANA,RED SNAPPER,12125,64.2
FINAL,1990,JULY/AUGUST,MISSISSIPPI,RED SNAPPER,250,101.6
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,RED SNAPPER,80683,53.1
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,RED SNAPPER,138646,66.8
FINAL,1990,SEPTEMBER/OCTOBER,LOUISIANA,RED SNAPPER,46403,46.3
FINAL,1990,SEPTEMBER/OCTOBER,MISSISSIPPI,RED SNAPPER,2184,68
FINAL,1990,NOVEMBER/DECEMBER,ALABAMA,RED SNAPPER,51838,15.9
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,RED SNAPPER,67338,50.6
FINAL,1990,NOVEMBER/DECEMBER,LOUISIANA,RED SNAPPER,0,.
FINAL,1990,NOVEMBER/DECEMBER,MISSISSIPPI,RED SNAPPER,106165,92.4
FINAL,1991,JANUARY/FEBRUARY,ALABAMA,RED SNAPPER,111290,64.3
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,RED SNAPPER,189,101.8
FINAL,1991,JANUARY/FEBRUARY,LOUISIANA,RED SNAPPER,110,59.4
FINAL,1991,JANUARY/FEBRUARY,MISSISSIPPI,RED SNAPPER,55056,41.2
FINAL,1991,MARCH/APRIL,ALABAMA,RED SNAPPER,155936,31.9
FINAL,1991,MARCH/APRIL,FLORIDA,RED SNAPPER,5552,75.3
FINAL,1991,MARCH/APRIL,LOUISIANA,RED SNAPPER,33247,62.1
FINAL,1991,MARCH/APRIL,MISSISSIPPI,RED SNAPPER,17,76.1
FINAL,1991,MAY/JUNE,ALABAMA,RED SNAPPER,71682,40.3
FINAL,1991,MAY/JUNE,FLORIDA,RED SNAPPER,16780,50.1
FINAL,1991,MAY/JUNE,LOUISIANA,RED SNAPPER,20302,53.5
FINAL,1991,MAY/JUNE,MISSISSIPPI,RED SNAPPER,214,102.2
FINAL,1991,JULY/AUGUST,ALABAMA,RED SNAPPER,53491,46.9
FINAL,1991,JULY/AUGUST,FLORIDA,RED SNAPPER,46991,59.5
FINAL,1991,JULY/AUGUST,LOUISIANA,RED SNAPPER,26775,56.3
FINAL,1991,JULY/AUGUST,MISSISSIPPI,RED SNAPPER,99150,72.3
FINAL,1991,SEPTEMBER/OCTOBER,ALABAMA,RED SNAPPER,171414,38.1
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,RED SNAPPER,49529,46.3
FINAL,1991,SEPTEMBER/OCTOBER,LOUISIANA,RED SNAPPER,84902,65.5
FINAL,1991,SEPTEMBER/OCTOBER,MISSISSIPPI,RED SNAPPER,12772,110.2
FINAL,1991,NOVEMBER/DECEMBER,ALABAMA,RED SNAPPER,155480,50.2
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,RED SNAPPER,86752,62.8
FINAL,1991,NOVEMBER/DECEMBER,LOUISIANA,RED SNAPPER,4773,70.2
FINAL,1991,NOVEMBER/DECEMBER,MISSISSIPPI,RED SNAPPER,12492,96.5
FINAL,1992,JANUARY/FEBRUARY,ALABAMA,RED SNAPPER,96943,63
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,RED SNAPPER,0,.
FINAL,1992,JANUARY/FEBRUARY,LOUISIANA,RED SNAPPER,27961,58.2
FINAL,1992,JANUARY/FEBRUARY,MISSISSIPPI,RED SNAPPER,55915,67.7
FINAL,1992,MARCH/APRIL,ALABAMA,RED SNAPPER,82444,47.1
FINAL,1992,MARCH/APRIL,FLORIDA,RED SNAPPER,26609,65.5
FINAL,1992,MARCH/APRIL,LOUISIANA,RED SNAPPER,120009,37.5
FINAL,1992,MARCH/APRIL,MISSISSIPPI,RED SNAPPER,21843,65.5
FINAL,1992,MAY/JUNE,ALABAMA,RED SNAPPER,493866,46.9
FINAL,1992,MAY/JUNE,FLORIDA,RED SNAPPER,12054,57.6
FINAL,1992,MAY/JUNE,LOUISIANA,RED SNAPPER,51401,50.8
FINAL,1992,MAY/JUNE,MISSISSIPPI,RED SNAPPER,32785,74.1
FINAL,1992,JULY/AUGUST,ALABAMA,RED SNAPPER,34347,43.1
FINAL,1992,JULY/AUGUST,FLORIDA,RED SNAPPER,18840,46.3
FINAL,1992,JULY/AUGUST,LOUISIANA,RED SNAPPER,96822,52.5
FINAL,1992,JULY/AUGUST,MISSISSIPPI,RED SNAPPER,131964,34.3
FINAL,1992,SEPTEMBER/OCTOBER,ALABAMA,RED SNAPPER,229887,27.3
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,RED SNAPPER,216319,37.6
FINAL,1992,SEPTEMBER/OCTOBER,LOUISIANA,RED SNAPPER,28443,43.5
FINAL,1992,SEPTEMBER/OCTOBER,MISSISSIPPI,RED SNAPPER,104052,41.8
FINAL,1992,NOVEMBER/DECEMBER,ALABAMA,RED SNAPPER,125641,40.3
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,RED SNAPPER,1085,88.7
FINAL,1992,NOVEMBER/DECEMBER,LOUISIANA,RED SNAPPER,458,103.9
FINAL,1992,NOVEMBER/DECEMBER,MISSISSIPPI,RED SNAPPER,55678,46.5
FINAL,1993,JANUARY/FEBRUARY,ALABAMA,RED SNAPPER,51063,58.9
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,RED SNAPPER,0,.
FINAL,1993,JANUARY/FEBRUARY,LOUISIANA,RED SNAPPER,62089,67.6
