Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,MARCH/APRIL,ALABAMA,RED SNAPPER,10644,93.1,0
FINAL,1990,MARCH/APRIL,FLORIDA,RED SNAPPER,56229,82.5,0
FINAL,1990,MARCH/APRIL,LOUISIANA,RED SNAPPER,53448,60.9,0
FINAL,1990,MARCH/APRIL,MISSISSIPPI,RED SNAPPER,49153,30,0
FINAL,1990,MAY/JUNE,ALABAMA,RED SNAPPER,81907,69,0
FINAL,1990,MAY/JUNE,FLORIDA,RED SNAPPER,171902,83.7,0
FINAL,1990,MAY/JUNE,MISSISSIPPI,RED SNAPPER,0,.,0
FINAL,1990,JULY/AUGUST,ALABAMA,RED SNAPPER,179642,59.1,0
FINAL,1990,JULY/AUGUST,FLORIDA,RED SNAPPER,15047,97.7,0
FINAL,1990,JULY/AUGUST,LOUISIANA,RED SNAPPER,26566,85,0
FINAL,1990,JULY/AUGUST,MISSISSIPPI,RED SNAPPER,201,101.6,0
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,RED SNAPPER,90734,56,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,RED SNAPPER,147355,54.7,0
FINAL,1990,SEPTEMBER/OCTOBER,LOUISIANA,RED SNAPPER,62569,49.7,0
FINAL,1990,SEPTEMBER/OCTOBER,MISSISSIPPI,RED SNAPPER,1926,69.2,0
FINAL,1990,NOVEMBER/DECEMBER,ALABAMA,RED SNAPPER,93211,15.8,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,RED SNAPPER,97206,59.4,0
FINAL,1990,NOVEMBER/DECEMBER,LOUISIANA,RED SNAPPER,0,.,0
FINAL,1990,NOVEMBER/DECEMBER,MISSISSIPPI,RED SNAPPER,95445,92.4,0
FINAL,1991,JANUARY/FEBRUARY,ALABAMA,RED SNAPPER,156276,78.4,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,RED SNAPPER,170,101.8,0
FINAL,1991,JANUARY/FEBRUARY,LOUISIANA,RED SNAPPER,244,59.4,0
FINAL,1991,JANUARY/FEBRUARY,MISSISSIPPI,RED SNAPPER,41292,41.2,0
FINAL,1991,MARCH/APRIL,ALABAMA,RED SNAPPER,345604,35.9,0
FINAL,1991,MARCH/APRIL,FLORIDA,RED SNAPPER,17646,75.8,0
FINAL,1991,MARCH/APRIL,LOUISIANA,RED SNAPPER,88777,69.3,0
FINAL,1991,MARCH/APRIL,MISSISSIPPI,RED SNAPPER,26,85.8,0
FINAL,1991,MAY/JUNE,ALABAMA,RED SNAPPER,118269,44,0
FINAL,1991,MAY/JUNE,FLORIDA,RED SNAPPER,33142,50.4,0
FINAL,1991,MAY/JUNE,LOUISIANA,RED SNAPPER,54904,57.6,0
FINAL,1991,MAY/JUNE,MISSISSIPPI,RED SNAPPER,375,102.2,0
FINAL,1991,JULY/AUGUST,ALABAMA,RED SNAPPER,93353,51.4,0
FINAL,1991,JULY/AUGUST,FLORIDA,RED SNAPPER,72762,61.3,0
FINAL,1991,JULY/AUGUST,LOUISIANA,RED SNAPPER,42419,56.4,0
FINAL,1991,JULY/AUGUST,MISSISSIPPI,RED SNAPPER,107319,71,0
FINAL,1991,SEPTEMBER/OCTOBER,ALABAMA,RED SNAPPER,260063,45.5,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,RED SNAPPER,86949,51.7,0
FINAL,1991,SEPTEMBER/OCTOBER,LOUISIANA,RED SNAPPER,138045,69.2,0
FINAL,1991,SEPTEMBER/OCTOBER,MISSISSIPPI,RED SNAPPER,7078,110.2,0
FINAL,1991,NOVEMBER/DECEMBER,ALABAMA,RED SNAPPER,132125,47.5,0
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,RED SNAPPER,65538,62.3,0
FINAL,1991,NOVEMBER/DECEMBER,LOUISIANA,RED SNAPPER,10297,77.9,0
FINAL,1991,NOVEMBER/DECEMBER,MISSISSIPPI,RED SNAPPER,11118,96.5,0
FINAL,1992,JANUARY/FEBRUARY,ALABAMA,RED SNAPPER,0,.,96943
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,RED SNAPPER,0,.,0
