Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,MAY/JUNE,CONNECTICUT,SCUP,11890,41.1
FINAL,1990,MAY/JUNE,MASSACHUSETTS,SCUP,276792,55.1
FINAL,1990,MAY/JUNE,NEW YORK,SCUP,337764,34.8
FINAL,1990,MAY/JUNE,NORTH CAROLINA,SCUP,2024,100.9
FINAL,1990,MAY/JUNE,RHODE ISLAND,SCUP,131281,38.4
FINAL,1990,JULY/AUGUST,CONNECTICUT,SCUP,168916,34.9
FINAL,1990,JULY/AUGUST,DELAWARE,SCUP,493,90.8
FINAL,1990,JULY/AUGUST,MAINE,SCUP,0,.
FINAL,1990,JULY/AUGUST,MARYLAND,SCUP,50188,71.6
FINAL,1990,JULY/AUGUST,MASSACHUSETTS,SCUP,751283,31.9
FINAL,1990,JULY/AUGUST,NEW JERSEY,SCUP,98700,93.4
FINAL,1990,JULY/AUGUST,NEW YORK,SCUP,4808331,20.7
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,SCUP,293,98.1
FINAL,1990,JULY/AUGUST,RHODE ISLAND,SCUP,1725662,47.6
FINAL,1990,JULY/AUGUST,VIRGINIA,SCUP,51305,40.4
FINAL,1990,SEPTEMBER/OCTOBER,CONNECTICUT,SCUP,477054,38.1
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,SCUP,73695,58
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,SCUP,0,.
FINAL,1990,SEPTEMBER/OCTOBER,MASSACHUSETTS,SCUP,999062,32.6
FINAL,1990,SEPTEMBER/OCTOBER,NEW JERSEY,SCUP,117592,48.2
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,SCUP,1590214,20.6
FINAL,1990,SEPTEMBER/OCTOBER,RHODE ISLAND,SCUP,918324,38.9
FINAL,1990,SEPTEMBER/OCTOBER,VIRGINIA,SCUP,396289,33.7
FINAL,1990,NOVEMBER/DECEMBER,CONNECTICUT,SCUP,807079,18.7
FINAL,1990,NOVEMBER/DECEMBER,MASSACHUSETTS,SCUP,967,101.9
FINAL,1990,NOVEMBER/DECEMBER,NEW JERSEY,SCUP,222952,80.9
FINAL,1990,NOVEMBER/DECEMBER,NEW YORK,SCUP,22207,56.2
FINAL,1990,NOVEMBER/DECEMBER,RHODE ISLAND,SCUP,134,97.2
FINAL,1990,NOVEMBER/DECEMBER,VIRGINIA,SCUP,117,86.8
FINAL,1991,MARCH/APRIL,RHODE ISLAND,SCUP,443,100.2
FINAL,1991,MAY/JUNE,CONNECTICUT,SCUP,310811,62.7
FINAL,1991,MAY/JUNE,DELAWARE,SCUP,0,.
FINAL,1991,MAY/JUNE,MASSACHUSETTS,SCUP,826218,40.5
FINAL,1991,MAY/JUNE,NEW YORK,SCUP,1082631,23.4
FINAL,1991,MAY/JUNE,NORTH CAROLINA,SCUP,10048,57.7
FINAL,1991,MAY/JUNE,RHODE ISLAND,SCUP,510082,36.5
FINAL,1991,JULY/AUGUST,CONNECTICUT,SCUP,1514139,30.4
FINAL,1991,JULY/AUGUST,DELAWARE,SCUP,129862,34.5
FINAL,1991,JULY/AUGUST,MARYLAND,SCUP,0,.
FINAL,1991,JULY/AUGUST,MASSACHUSETTS,SCUP,2697883,26.5
FINAL,1991,JULY/AUGUST,NEW JERSEY,SCUP,46396,51.1
FINAL,1991,JULY/AUGUST,NEW YORK,SCUP,2261385,26.2
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,SCUP,3078,78.7
FINAL,1991,JULY/AUGUST,RHODE ISLAND,SCUP,1798620,27.2
FINAL,1991,JULY/AUGUST,SOUTH CAROLINA,SCUP,7916,109.3
FINAL,1991,JULY/AUGUST,VIRGINIA,SCUP,45462,37.9
FINAL,1991,SEPTEMBER/OCTOBER,CONNECTICUT,SCUP,630465,53.2
FINAL,1991,SEPTEMBER/OCTOBER,DELAWARE,SCUP,303497,32.8
FINAL,1991,SEPTEMBER/OCTOBER,MARYLAND,SCUP,22158,53.1
FINAL,1991,SEPTEMBER/OCTOBER,MASSACHUSETTS,SCUP,2442972,28.6
FINAL,1991,SEPTEMBER/OCTOBER,NEW JERSEY,SCUP,985314,21.9
FINAL,1991,SEPTEMBER/OCTOBER,NEW YORK,SCUP,2872286,16
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,SCUP,3101,60.4
FINAL,1991,SEPTEMBER/OCTOBER,RHODE ISLAND,SCUP,3245771,37.9
FINAL,1991,SEPTEMBER/OCTOBER,VIRGINIA,SCUP,144398,42.7
