Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,MAY/JUNE,CONNECTICUT,SCUP,2135,42.7,0
FINAL,1990,MAY/JUNE,MASSACHUSETTS,SCUP,78138,46.6,0
FINAL,1990,MAY/JUNE,NEW YORK,SCUP,59996,41.7,0
FINAL,1990,MAY/JUNE,NORTH CAROLINA,SCUP,407,100.9,0
FINAL,1990,MAY/JUNE,RHODE ISLAND,SCUP,26312,39.7,0
FINAL,1990,JULY/AUGUST,CONNECTICUT,SCUP,25188,34.7,0
FINAL,1990,JULY/AUGUST,DELAWARE,SCUP,59,81.4,0
FINAL,1990,JULY/AUGUST,MAINE,SCUP,0,.,0
FINAL,1990,JULY/AUGUST,MARYLAND,SCUP,7636,72.5,0
FINAL,1990,JULY/AUGUST,MASSACHUSETTS,SCUP,193025,32.4,0
FINAL,1990,JULY/AUGUST,NEW JERSEY,SCUP,19007,93.1,0
FINAL,1990,JULY/AUGUST,NEW YORK,SCUP,1152983,21.6,0
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,SCUP,60,98.1,0
FINAL,1990,JULY/AUGUST,RHODE ISLAND,SCUP,354930,45.1,0
FINAL,1990,JULY/AUGUST,VIRGINIA,SCUP,5990,40.4,0
FINAL,1990,SEPTEMBER/OCTOBER,CONNECTICUT,SCUP,121220,43.1,0
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,SCUP,9268,54.1,0
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,SCUP,0,.,0
FINAL,1990,SEPTEMBER/OCTOBER,MASSACHUSETTS,SCUP,261485,31.4,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW JERSEY,SCUP,16548,49.4,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,SCUP,426509,24.8,0
FINAL,1990,SEPTEMBER/OCTOBER,RHODE ISLAND,SCUP,208592,36.1,0
FINAL,1990,SEPTEMBER/OCTOBER,VIRGINIA,SCUP,85103,39.2,0
FINAL,1990,NOVEMBER/DECEMBER,CONNECTICUT,SCUP,156812,18.7,0
FINAL,1990,NOVEMBER/DECEMBER,MASSACHUSETTS,SCUP,256,101.9,0
FINAL,1990,NOVEMBER/DECEMBER,NEW JERSEY,SCUP,32853,82.2,0
FINAL,1990,NOVEMBER/DECEMBER,NEW YORK,SCUP,9071,56.1,0
FINAL,1990,NOVEMBER/DECEMBER,RHODE ISLAND,SCUP,43,96.8,0
FINAL,1990,NOVEMBER/DECEMBER,VIRGINIA,SCUP,23,86.8,0
FINAL,1991,MARCH/APRIL,RHODE ISLAND,SCUP,142,100.2,0
FINAL,1991,MAY/JUNE,CONNECTICUT,SCUP,88016,65.7,0
FINAL,1991,MAY/JUNE,DELAWARE,SCUP,0,.,0
FINAL,1991,MAY/JUNE,MASSACHUSETTS,SCUP,259065,42,0
FINAL,1991,MAY/JUNE,NEW YORK,SCUP,325407,23.6,0
FINAL,1991,MAY/JUNE,NORTH CAROLINA,SCUP,1234,58.1,0
FINAL,1991,MAY/JUNE,RHODE ISLAND,SCUP,134418,36.8,0
FINAL,1991,JULY/AUGUST,CONNECTICUT,SCUP,484711,33.4,0
FINAL,1991,JULY/AUGUST,DELAWARE,SCUP,20332,34.7,0
