Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,SHEEPSHEAD,969744,36
FINAL,1990,MARCH/APRIL,FLORIDA,SHEEPSHEAD,530220,51
FINAL,1990,MARCH/APRIL,GEORGIA,SHEEPSHEAD,12374,61.4
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,SHEEPSHEAD,1402,99.3
FINAL,1990,MARCH/APRIL,SOUTH CAROLINA,SHEEPSHEAD,16548,47.6
FINAL,1990,MAY/JUNE,FLORIDA,SHEEPSHEAD,241596,57.7
FINAL,1990,MAY/JUNE,GEORGIA,SHEEPSHEAD,384,103.3
FINAL,1990,MAY/JUNE,NORTH CAROLINA,SHEEPSHEAD,53205,52.8
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,SHEEPSHEAD,9206,51.1
FINAL,1990,JULY/AUGUST,FLORIDA,SHEEPSHEAD,128470,49.1
FINAL,1990,JULY/AUGUST,GEORGIA,SHEEPSHEAD,52444,60.8
FINAL,1990,JULY/AUGUST,MARYLAND,SHEEPSHEAD,0,.
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,SHEEPSHEAD,42573,39.5
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,SHEEPSHEAD,10602,42.6
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,SHEEPSHEAD,0,.
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,SHEEPSHEAD,203534,58
FINAL,1990,SEPTEMBER/OCTOBER,GEORGIA,SHEEPSHEAD,14187,40.7
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,SHEEPSHEAD,5861,60.1
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SHEEPSHEAD,117220,69.2
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,SHEEPSHEAD,376804,38.6
FINAL,1990,NOVEMBER/DECEMBER,GEORGIA,SHEEPSHEAD,51347,23.5
FINAL,1990,NOVEMBER/DECEMBER,SOUTH CAROLINA,SHEEPSHEAD,53370,102.4
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,SHEEPSHEAD,749684,47.5
FINAL,1991,MARCH/APRIL,FLORIDA,SHEEPSHEAD,771866,45.1
FINAL,1991,MARCH/APRIL,GEORGIA,SHEEPSHEAD,10388,72.5
FINAL,1991,MAY/JUNE,FLORIDA,SHEEPSHEAD,392349,41.3
FINAL,1991,MAY/JUNE,GEORGIA,SHEEPSHEAD,81528,45.1
