Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,SHEEPSHEAD,685984,43.5,0
FINAL,1990,MARCH/APRIL,FLORIDA,SHEEPSHEAD,259902,43.5,0
FINAL,1990,MARCH/APRIL,GEORGIA,SHEEPSHEAD,4413,61.9,0
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,SHEEPSHEAD,701,99.3,0
FINAL,1990,MARCH/APRIL,SOUTH CAROLINA,SHEEPSHEAD,17014,50.8,0
FINAL,1990,MAY/JUNE,FLORIDA,SHEEPSHEAD,160336,62.2,0
FINAL,1990,MAY/JUNE,GEORGIA,SHEEPSHEAD,422,103.3,0
FINAL,1990,MAY/JUNE,NORTH CAROLINA,SHEEPSHEAD,21934,43.3,0
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,SHEEPSHEAD,18606,60.4,0
FINAL,1990,JULY/AUGUST,FLORIDA,SHEEPSHEAD,45877,44.1,0
FINAL,1990,JULY/AUGUST,GEORGIA,SHEEPSHEAD,19914,64.6,0
FINAL,1990,JULY/AUGUST,MARYLAND,SHEEPSHEAD,0,.,0
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,SHEEPSHEAD,45218,38.5,0
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,SHEEPSHEAD,5301,42.6,0
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,SHEEPSHEAD,0,.,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,SHEEPSHEAD,188002,59.2,0
FINAL,1990,SEPTEMBER/OCTOBER,GEORGIA,SHEEPSHEAD,6946,48.3,0
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,SHEEPSHEAD,5259,57.2,0
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SHEEPSHEAD,117788,68.4,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,SHEEPSHEAD,281038,36.3,0
FINAL,1990,NOVEMBER/DECEMBER,GEORGIA,SHEEPSHEAD,33296,23.4,0
FINAL,1990,NOVEMBER/DECEMBER,SOUTH CAROLINA,SHEEPSHEAD,77623,102.4,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,SHEEPSHEAD,587030,51.4,0
FINAL,1991,MARCH/APRIL,FLORIDA,SHEEPSHEAD,393162,35.5,0
FINAL,1991,MARCH/APRIL,GEORGIA,SHEEPSHEAD,8976,67.8,0
FINAL,1991,MAY/JUNE,FLORIDA,SHEEPSHEAD,444026,44.9,0
FINAL,1991,MAY/JUNE,GEORGIA,SHEEPSHEAD,91926,44,0
FINAL,1991,MAY/JUNE,MARYLAND,SHEEPSHEAD,5053,102.1,0
FINAL,1991,MAY/JUNE,NORTH CAROLINA,SHEEPSHEAD,5942,45.7,0
FINAL,1991,MAY/JUNE,SOUTH CAROLINA,SHEEPSHEAD,44367,48.8,0
FINAL,1991,JULY/AUGUST,FLORIDA,SHEEPSHEAD,98608,47.1,0
FINAL,1991,JULY/AUGUST,GEORGIA,SHEEPSHEAD,2947,110.3,0
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,SHEEPSHEAD,36285,55.9,0
FINAL,1991,JULY/AUGUST,SOUTH CAROLINA,SHEEPSHEAD,29850,79.2,0
FINAL,1991,SEPTEMBER/OCTOBER,DELAWARE,SHEEPSHEAD,641,102.6,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,SHEEPSHEAD,196433,38.2,0
FINAL,1991,SEPTEMBER/OCTOBER,GEORGIA,SHEEPSHEAD,4954,50.2,0
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,SHEEPSHEAD,23630,38.6,0
FINAL,1991,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SHEEPSHEAD,18500,69.8,0
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,SHEEPSHEAD,398531,34.3,0
FINAL,1991,NOVEMBER/DECEMBER,GEORGIA,SHEEPSHEAD,48466,58.2,0
FINAL,1991,NOVEMBER/DECEMBER,NORTH CAROLINA,SHEEPSHEAD,4085,63.8,0
FINAL,1991,NOVEMBER/DECEMBER,SOUTH CAROLINA,SHEEPSHEAD,82182,90.6,0
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,SHEEPSHEAD,0,.,753112
FINAL,1992,MARCH/APRIL,FLORIDA,SHEEPSHEAD,386709,44.5,0
FINAL,1992,MARCH/APRIL,GEORGIA,SHEEPSHEAD,129754,86.4,0
FINAL,1992,MARCH/APRIL,SOUTH CAROLINA,SHEEPSHEAD,148682,56.3,0
FINAL,1992,MAY/JUNE,FLORIDA,SHEEPSHEAD,240535,37.7,0
FINAL,1992,MAY/JUNE,GEORGIA,SHEEPSHEAD,18095,40.9,0
FINAL,1992,MAY/JUNE,NEW YORK,SHEEPSHEAD,14493,82.2,0
FINAL,1992,MAY/JUNE,NORTH CAROLINA,SHEEPSHEAD,23413,38.7,0
FINAL,1992,MAY/JUNE,SOUTH CAROLINA,SHEEPSHEAD,38206,38.7,0
FINAL,1992,JULY/AUGUST,FLORIDA,SHEEPSHEAD,31076,36.5,0
FINAL,1992,JULY/AUGUST,GEORGIA,SHEEPSHEAD,180506,53.7,0
FINAL,1992,JULY/AUGUST,MARYLAND,SHEEPSHEAD,0,.,0
FINAL,1992,JULY/AUGUST,NORTH CAROLINA,SHEEPSHEAD,81531,71.5,0
FINAL,1992,JULY/AUGUST,SOUTH CAROLINA,SHEEPSHEAD,20941,56.7,0
FINAL,1992,SEPTEMBER/OCTOBER,DELAWARE,SHEEPSHEAD,0,.,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,SHEEPSHEAD,101817,45.3,0
FINAL,1992,SEPTEMBER/OCTOBER,GEORGIA,SHEEPSHEAD,10448,40.4,0
FINAL,1992,SEPTEMBER/OCTOBER,NEW YORK,SHEEPSHEAD,18214,98.8,0
FINAL,1992,SEPTEMBER/OCTOBER,NORTH CAROLINA,SHEEPSHEAD,82386,60.3,0
FINAL,1992,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SHEEPSHEAD,41260,57.7,0
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,SHEEPSHEAD,740568,21,0
FINAL,1992,NOVEMBER/DECEMBER,GEORGIA,SHEEPSHEAD,80655,46,0
FINAL,1992,NOVEMBER/DECEMBER,NORTH CAROLINA,SHEEPSHEAD,9762,53.2,0
FINAL,1992,NOVEMBER/DECEMBER,SOUTH CAROLINA,SHEEPSHEAD,79262,61.3,0
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,SHEEPSHEAD,324151,24.8,0
FINAL,1993,MARCH/APRIL,FLORIDA,SHEEPSHEAD,494598,30.1,0
FINAL,1993,MARCH/APRIL,GEORGIA,SHEEPSHEAD,104124,65.8,0
FINAL,1993,MARCH/APRIL,NORTH CAROLINA,SHEEPSHEAD,3564,96.8,0
FINAL,1993,MARCH/APRIL,SOUTH CAROLINA,SHEEPSHEAD,84433,70.2,0
FINAL,1993,MAY/JUNE,FLORIDA,SHEEPSHEAD,602908,85.4,0
FINAL,1993,MAY/JUNE,GEORGIA,SHEEPSHEAD,22786,40.7,0
FINAL,1993,MAY/JUNE,NORTH CAROLINA,SHEEPSHEAD,23379,33.8,0
FINAL,1993,MAY/JUNE,SOUTH CAROLINA,SHEEPSHEAD,37593,56.9,0
FINAL,1993,JULY/AUGUST,FLORIDA,SHEEPSHEAD,236195,67.8,0
FINAL,1993,JULY/AUGUST,GEORGIA,SHEEPSHEAD,17037,76.6,0
FINAL,1993,JULY/AUGUST,NORTH CAROLINA,SHEEPSHEAD,53372,34.8,0
FINAL,1993,JULY/AUGUST,SOUTH CAROLINA,SHEEPSHEAD,6663,52.8,0
FINAL,1993,SEPTEMBER/OCTOBER,DELAWARE,SHEEPSHEAD,0,.,1865
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,SHEEPSHEAD,107113,33.2,0
FINAL,1993,SEPTEMBER/OCTOBER,GEORGIA,SHEEPSHEAD,3001,85.7,0
FINAL,1993,SEPTEMBER/OCTOBER,NORTH CAROLINA,SHEEPSHEAD,22590,53.4,0
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,SHEEPSHEAD,1023799,30,0
FINAL,1993,NOVEMBER/DECEMBER,GEORGIA,SHEEPSHEAD,35908,37.6,0
FINAL,1993,NOVEMBER/DECEMBER,NORTH CAROLINA,SHEEPSHEAD,28472,69.4,0
FINAL,1993,NOVEMBER/DECEMBER,SOUTH CAROLINA,SHEEPSHEAD,15189,70.5,0
