Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,ALABAMA,SHEEPSHEAD,157905,38.3
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,SHEEPSHEAD,907611,28.2
FINAL,1990,JANUARY/FEBRUARY,LOUISIANA,SHEEPSHEAD,23638,94.7
FINAL,1990,JANUARY/FEBRUARY,MISSISSIPPI,SHEEPSHEAD,12579,88.9
FINAL,1990,MARCH/APRIL,ALABAMA,SHEEPSHEAD,265901,35.4
FINAL,1990,MARCH/APRIL,FLORIDA,SHEEPSHEAD,904812,38.6
FINAL,1990,MARCH/APRIL,LOUISIANA,SHEEPSHEAD,114945,49.6
FINAL,1990,MARCH/APRIL,MISSISSIPPI,SHEEPSHEAD,131621,65.2
FINAL,1990,MAY/JUNE,ALABAMA,SHEEPSHEAD,18264,46.4
FINAL,1990,MAY/JUNE,FLORIDA,SHEEPSHEAD,71272,49.7
FINAL,1990,MAY/JUNE,LOUISIANA,SHEEPSHEAD,65893,49.6
FINAL,1990,MAY/JUNE,MISSISSIPPI,SHEEPSHEAD,180615,12.2
FINAL,1990,JULY/AUGUST,ALABAMA,SHEEPSHEAD,358,103.2
FINAL,1990,JULY/AUGUST,FLORIDA,SHEEPSHEAD,103951,60.2
FINAL,1990,JULY/AUGUST,LOUISIANA,SHEEPSHEAD,50924,54.5
FINAL,1990,JULY/AUGUST,MISSISSIPPI,SHEEPSHEAD,10378,43.6
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,SHEEPSHEAD,92970,60.1
FINAL,1990,SEPTEMBER/OCTOBER,LOUISIANA,SHEEPSHEAD,38989,47
FINAL,1990,SEPTEMBER/OCTOBER,MISSISSIPPI,SHEEPSHEAD,13308,77.5
FINAL,1990,NOVEMBER/DECEMBER,ALABAMA,SHEEPSHEAD,353424,73.2
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,SHEEPSHEAD,648260,49.3
FINAL,1990,NOVEMBER/DECEMBER,LOUISIANA,SHEEPSHEAD,80677,45.8
FINAL,1990,NOVEMBER/DECEMBER,MISSISSIPPI,SHEEPSHEAD,27226,43.7
FINAL,1991,JANUARY/FEBRUARY,ALABAMA,SHEEPSHEAD,273349,41.4
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,SHEEPSHEAD,1309823,63.2
FINAL,1991,JANUARY/FEBRUARY,LOUISIANA,SHEEPSHEAD,48129,61.8
FINAL,1991,JANUARY/FEBRUARY,MISSISSIPPI,SHEEPSHEAD,11363,96.2
FINAL,1991,MARCH/APRIL,ALABAMA,SHEEPSHEAD,554958,29.8
FINAL,1991,MARCH/APRIL,FLORIDA,SHEEPSHEAD,248480,37.6
FINAL,1991,MARCH/APRIL,LOUISIANA,SHEEPSHEAD,32591,47.6
FINAL,1991,MARCH/APRIL,MISSISSIPPI,SHEEPSHEAD,35725,103.2
FINAL,1991,MAY/JUNE,ALABAMA,SHEEPSHEAD,11348,49.6
FINAL,1991,MAY/JUNE,FLORIDA,SHEEPSHEAD,57564,59.6
FINAL,1991,MAY/JUNE,LOUISIANA,SHEEPSHEAD,74046,49.4
FINAL,1991,MAY/JUNE,MISSISSIPPI,SHEEPSHEAD,12174,50.3
FINAL,1991,JULY/AUGUST,FLORIDA,SHEEPSHEAD,34228,50.6
FINAL,1991,JULY/AUGUST,LOUISIANA,SHEEPSHEAD,110736,44.9
FINAL,1991,JULY/AUGUST,MISSISSIPPI,SHEEPSHEAD,14892,68.5
FINAL,1991,SEPTEMBER/OCTOBER,ALABAMA,SHEEPSHEAD,5786,84.9
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,SHEEPSHEAD,158310,60.9
FINAL,1991,SEPTEMBER/OCTOBER,LOUISIANA,SHEEPSHEAD,39329,41.2
FINAL,1991,SEPTEMBER/OCTOBER,MISSISSIPPI,SHEEPSHEAD,4005,93.6
FINAL,1991,NOVEMBER/DECEMBER,ALABAMA,SHEEPSHEAD,40530,47.9
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,SHEEPSHEAD,854917,28.7
FINAL,1991,NOVEMBER/DECEMBER,LOUISIANA,SHEEPSHEAD,212328,56.2
FINAL,1991,NOVEMBER/DECEMBER,MISSISSIPPI,SHEEPSHEAD,84478,68.8
FINAL,1992,JANUARY/FEBRUARY,ALABAMA,SHEEPSHEAD,102087,32.3
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,SHEEPSHEAD,1888847,23.4
FINAL,1992,JANUARY/FEBRUARY,LOUISIANA,SHEEPSHEAD,1368712,66.4
FINAL,1992,JANUARY/FEBRUARY,MISSISSIPPI,SHEEPSHEAD,31125,60.5
FINAL,1992,MARCH/APRIL,ALABAMA,SHEEPSHEAD,118780,41.6
FINAL,1992,MARCH/APRIL,FLORIDA,SHEEPSHEAD,1456873,28
FINAL,1992,MARCH/APRIL,LOUISIANA,SHEEPSHEAD,141716,32.2
FINAL,1992,MARCH/APRIL,MISSISSIPPI,SHEEPSHEAD,42597,62.2
FINAL,1992,MAY/JUNE,ALABAMA,SHEEPSHEAD,38886,60.6
FINAL,1992,MAY/JUNE,FLORIDA,SHEEPSHEAD,53154,31.3
FINAL,1992,MAY/JUNE,LOUISIANA,SHEEPSHEAD,21373,29.3
FINAL,1992,MAY/JUNE,MISSISSIPPI,SHEEPSHEAD,4826,72.6
FINAL,1992,JULY/AUGUST,ALABAMA,SHEEPSHEAD,3163,59.4
FINAL,1992,JULY/AUGUST,FLORIDA,SHEEPSHEAD,57435,59.7
FINAL,1992,JULY/AUGUST,LOUISIANA,SHEEPSHEAD,116304,36.7
