Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,ALABAMA,SHEEPSHEAD,154299,40.7,0
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,SHEEPSHEAD,568150,26.1,0
FINAL,1990,JANUARY/FEBRUARY,LOUISIANA,SHEEPSHEAD,35830,94.7,0
FINAL,1990,JANUARY/FEBRUARY,MISSISSIPPI,SHEEPSHEAD,9821,88.6,0
FINAL,1990,MARCH/APRIL,ALABAMA,SHEEPSHEAD,267096,35.8,0
FINAL,1990,MARCH/APRIL,FLORIDA,SHEEPSHEAD,846346,44,0
FINAL,1990,MARCH/APRIL,LOUISIANA,SHEEPSHEAD,164401,51.5,0
FINAL,1990,MARCH/APRIL,MISSISSIPPI,SHEEPSHEAD,71744,32.4,0
FINAL,1990,MAY/JUNE,ALABAMA,SHEEPSHEAD,19626,41.5,0
FINAL,1990,MAY/JUNE,FLORIDA,SHEEPSHEAD,64730,48.8,0
FINAL,1990,MAY/JUNE,LOUISIANA,SHEEPSHEAD,74357,48.5,0
FINAL,1990,MAY/JUNE,MISSISSIPPI,SHEEPSHEAD,85184,13.8,0
FINAL,1990,JULY/AUGUST,ALABAMA,SHEEPSHEAD,481,103.2,0
FINAL,1990,JULY/AUGUST,FLORIDA,SHEEPSHEAD,70581,62,0
FINAL,1990,JULY/AUGUST,LOUISIANA,SHEEPSHEAD,80288,57.5,0
FINAL,1990,JULY/AUGUST,MISSISSIPPI,SHEEPSHEAD,8508,44.8,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,SHEEPSHEAD,90227,58.3,0
FINAL,1990,SEPTEMBER/OCTOBER,LOUISIANA,SHEEPSHEAD,47277,47.1,0
FINAL,1990,SEPTEMBER/OCTOBER,MISSISSIPPI,SHEEPSHEAD,6738,72,0
FINAL,1990,NOVEMBER/DECEMBER,ALABAMA,SHEEPSHEAD,400710,67,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,SHEEPSHEAD,359631,44.1,0
FINAL,1990,NOVEMBER/DECEMBER,LOUISIANA,SHEEPSHEAD,62477,44.5,0
FINAL,1990,NOVEMBER/DECEMBER,MISSISSIPPI,SHEEPSHEAD,20568,44.8,0
FINAL,1991,JANUARY/FEBRUARY,ALABAMA,SHEEPSHEAD,580118,45.1,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,SHEEPSHEAD,1565314,68.3,0
FINAL,1991,JANUARY/FEBRUARY,LOUISIANA,SHEEPSHEAD,46145,53,0
FINAL,1991,JANUARY/FEBRUARY,MISSISSIPPI,SHEEPSHEAD,11818,96.2,0
FINAL,1991,MARCH/APRIL,ALABAMA,SHEEPSHEAD,1020122,27.1,0
FINAL,1991,MARCH/APRIL,FLORIDA,SHEEPSHEAD,191720,39.7,0
FINAL,1991,MARCH/APRIL,LOUISIANA,SHEEPSHEAD,46673,42.9,0
FINAL,1991,MARCH/APRIL,MISSISSIPPI,SHEEPSHEAD,44580,103.3,0
FINAL,1991,MAY/JUNE,ALABAMA,SHEEPSHEAD,12187,49.1,0
FINAL,1991,MAY/JUNE,FLORIDA,SHEEPSHEAD,44217,70.4,0
FINAL,1991,MAY/JUNE,LOUISIANA,SHEEPSHEAD,116938,54.4,0
FINAL,1991,MAY/JUNE,MISSISSIPPI,SHEEPSHEAD,12969,48.3,0
FINAL,1991,JULY/AUGUST,FLORIDA,SHEEPSHEAD,31005,57.8,0
FINAL,1991,JULY/AUGUST,LOUISIANA,SHEEPSHEAD,88385,42.4,0
FINAL,1991,JULY/AUGUST,MISSISSIPPI,SHEEPSHEAD,10801,61.3,0
FINAL,1991,SEPTEMBER/OCTOBER,ALABAMA,SHEEPSHEAD,7908,82.7,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,SHEEPSHEAD,89908,62.2,0
FINAL,1991,SEPTEMBER/OCTOBER,LOUISIANA,SHEEPSHEAD,49691,44.3,0
FINAL,1991,SEPTEMBER/OCTOBER,MISSISSIPPI,SHEEPSHEAD,1769,93.6,0
FINAL,1991,NOVEMBER/DECEMBER,ALABAMA,SHEEPSHEAD,49555,50.8,0
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,SHEEPSHEAD,688018,33.5,0
FINAL,1991,NOVEMBER/DECEMBER,LOUISIANA,SHEEPSHEAD,174052,60.6,0
FINAL,1991,NOVEMBER/DECEMBER,MISSISSIPPI,SHEEPSHEAD,113269,75.9,0
FINAL,1992,JANUARY/FEBRUARY,ALABAMA,SHEEPSHEAD,0,.,102087
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,SHEEPSHEAD,0,.,1888847
FINAL,1992,JANUARY/FEBRUARY,LOUISIANA,SHEEPSHEAD,0,.,1368712
FINAL,1992,JANUARY/FEBRUARY,MISSISSIPPI,SHEEPSHEAD,0,.,31125
FINAL,1992,MARCH/APRIL,ALABAMA,SHEEPSHEAD,131659,43.6,0
FINAL,1992,MARCH/APRIL,FLORIDA,SHEEPSHEAD,1301286,44.6,0
FINAL,1992,MARCH/APRIL,LOUISIANA,SHEEPSHEAD,141598,30.6,0
FINAL,1992,MARCH/APRIL,MISSISSIPPI,SHEEPSHEAD,41696,57.4,0
FINAL,1992,MAY/JUNE,ALABAMA,SHEEPSHEAD,59189,58,0
FINAL,1992,MAY/JUNE,FLORIDA,SHEEPSHEAD,29179,28.1,0
FINAL,1992,MAY/JUNE,LOUISIANA,SHEEPSHEAD,30967,32.1,0
FINAL,1992,MAY/JUNE,MISSISSIPPI,SHEEPSHEAD,2643,67.8,0
FINAL,1992,JULY/AUGUST,ALABAMA,SHEEPSHEAD,4392,53.1,0
FINAL,1992,JULY/AUGUST,FLORIDA,SHEEPSHEAD,28070,53.6,0
FINAL,1992,JULY/AUGUST,LOUISIANA,SHEEPSHEAD,182915,36.1,0
FINAL,1992,JULY/AUGUST,MISSISSIPPI,SHEEPSHEAD,394,83.9,0
FINAL,1992,SEPTEMBER/OCTOBER,ALABAMA,SHEEPSHEAD,465,96.6,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,SHEEPSHEAD,106720,33.2,0
FINAL,1992,SEPTEMBER/OCTOBER,LOUISIANA,SHEEPSHEAD,411569,69.6,0
FINAL,1992,SEPTEMBER/OCTOBER,MISSISSIPPI,SHEEPSHEAD,32782,49.3,0
FINAL,1992,NOVEMBER/DECEMBER,ALABAMA,SHEEPSHEAD,98329,38.7,0
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,SHEEPSHEAD,902228,24.6,0
FINAL,1992,NOVEMBER/DECEMBER,LOUISIANA,SHEEPSHEAD,100430,27.3,0
FINAL,1992,NOVEMBER/DECEMBER,MISSISSIPPI,SHEEPSHEAD,343905,42.7,0
FINAL,1993,JANUARY/FEBRUARY,ALABAMA,SHEEPSHEAD,78618,52.4,0
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,SHEEPSHEAD,1510715,23.2,0
FINAL,1993,JANUARY/FEBRUARY,LOUISIANA,SHEEPSHEAD,98676,59.2,0
FINAL,1993,JANUARY/FEBRUARY,MISSISSIPPI,SHEEPSHEAD,69710,38.8,0
FINAL,1993,MARCH/APRIL,ALABAMA,SHEEPSHEAD,69301,61.6,0
FINAL,1993,MARCH/APRIL,FLORIDA,SHEEPSHEAD,1836407,25.5,0
FINAL,1993,MARCH/APRIL,LOUISIANA,SHEEPSHEAD,627583,51.7,0
FINAL,1993,MARCH/APRIL,MISSISSIPPI,SHEEPSHEAD,63824,62.2,0
FINAL,1993,MAY/JUNE,ALABAMA,SHEEPSHEAD,57615,61.5,0
FINAL,1993,MAY/JUNE,FLORIDA,SHEEPSHEAD,18085,43.5,0
FINAL,1993,MAY/JUNE,LOUISIANA,SHEEPSHEAD,23665,33.1,0
FINAL,1993,MAY/JUNE,MISSISSIPPI,SHEEPSHEAD,64921,49.1,0
FINAL,1993,JULY/AUGUST,FLORIDA,SHEEPSHEAD,59683,63.6,0
FINAL,1993,JULY/AUGUST,LOUISIANA,SHEEPSHEAD,27011,36.8,0
FINAL,1993,JULY/AUGUST,MISSISSIPPI,SHEEPSHEAD,2044,74.8,0
FINAL,1993,SEPTEMBER/OCTOBER,ALABAMA,SHEEPSHEAD,27208,72.7,0
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,SHEEPSHEAD,128568,78.4,0
FINAL,1993,SEPTEMBER/OCTOBER,LOUISIANA,SHEEPSHEAD,224387,38.2,0
FINAL,1993,SEPTEMBER/OCTOBER,MISSISSIPPI,SHEEPSHEAD,7737,69.9,0
FINAL,1993,NOVEMBER/DECEMBER,ALABAMA,SHEEPSHEAD,204661,46.3,0
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,SHEEPSHEAD,940399,26.2,0
FINAL,1993,NOVEMBER/DECEMBER,LOUISIANA,SHEEPSHEAD,433241,33.2,0
FINAL,1993,NOVEMBER/DECEMBER,MISSISSIPPI,SHEEPSHEAD,223055,53.3,0
FINAL,1994,JANUARY/FEBRUARY,ALABAMA,SHEEPSHEAD,171534,35.3,0
FINAL,1994,JANUARY/FEBRUARY,FLORIDA,SHEEPSHEAD,1068969,34.3,0
FINAL,1994,JANUARY/FEBRUARY,LOUISIANA,SHEEPSHEAD,59844,77.7,0
FINAL,1994,JANUARY/FEBRUARY,MISSISSIPPI,SHEEPSHEAD,57012,65,0
FINAL,1994,MARCH/APRIL,ALABAMA,SHEEPSHEAD,116328,37.4,0
FINAL,1994,MARCH/APRIL,FLORIDA,SHEEPSHEAD,758894,23.8,0
FINAL,1994,MARCH/APRIL,LOUISIANA,SHEEPSHEAD,31104,38.7,0
FINAL,1994,MARCH/APRIL,MISSISSIPPI,SHEEPSHEAD,173071,66.6,0
FINAL,1994,MAY/JUNE,ALABAMA,SHEEPSHEAD,170899,103.4,0
FINAL,1994,MAY/JUNE,FLORIDA,SHEEPSHEAD,25191,40.9,0
FINAL,1994,MAY/JUNE,LOUISIANA,SHEEPSHEAD,51532,43.6,0
FINAL,1994,MAY/JUNE,MISSISSIPPI,SHEEPSHEAD,8747,69.3,0
FINAL,1994,JULY/AUGUST,ALABAMA,SHEEPSHEAD,20268,71.1,0
FINAL,1994,JULY/AUGUST,FLORIDA,SHEEPSHEAD,37838,48.9,0
FINAL,1994,JULY/AUGUST,LOUISIANA,SHEEPSHEAD,137385,36,0
FINAL,1994,JULY/AUGUST,MISSISSIPPI,SHEEPSHEAD,0,.,0
FINAL,1994,SEPTEMBER/OCTOBER,FLORIDA,SHEEPSHEAD,106887,38.4,0
FINAL,1994,SEPTEMBER/OCTOBER,LOUISIANA,SHEEPSHEAD,114893,22,0
FINAL,1994,SEPTEMBER/OCTOBER,MISSISSIPPI,SHEEPSHEAD,58286,44.7,0
FINAL,1994,NOVEMBER/DECEMBER,ALABAMA,SHEEPSHEAD,65840,41.2,0
FINAL,1994,NOVEMBER/DECEMBER,FLORIDA,SHEEPSHEAD,217117,36.6,0
FINAL,1994,NOVEMBER/DECEMBER,LOUISIANA,SHEEPSHEAD,266971,36.6,0
FINAL,1994,NOVEMBER/DECEMBER,MISSISSIPPI,SHEEPSHEAD,421491,37.5,0
FINAL,1995,JANUARY/FEBRUARY,ALABAMA,SHEEPSHEAD,267933,58.6,0
FINAL,1995,JANUARY/FEBRUARY,FLORIDA,SHEEPSHEAD,1103338,24.1,0
FINAL,1995,JANUARY/FEBRUARY,LOUISIANA,SHEEPSHEAD,274951,34.2,0
FINAL,1995,JANUARY/FEBRUARY,MISSISSIPPI,SHEEPSHEAD,22743,41,0
FINAL,1995,MARCH/APRIL,ALABAMA,SHEEPSHEAD,868442,59.4,0
FINAL,1995,MARCH/APRIL,FLORIDA,SHEEPSHEAD,877288,26.9,0
FINAL,1995,MARCH/APRIL,LOUISIANA,SHEEPSHEAD,9909,68.7,0
FINAL,1995,MARCH/APRIL,MISSISSIPPI,SHEEPSHEAD,183298,29.3,0
FINAL,1995,MAY/JUNE,ALABAMA,SHEEPSHEAD,71446,58.7,0
FINAL,1995,MAY/JUNE,FLORIDA,SHEEPSHEAD,28581,49.9,0
FINAL,1995,MAY/JUNE,LOUISIANA,SHEEPSHEAD,196316,25.4,0
FINAL,1995,MAY/JUNE,MISSISSIPPI,SHEEPSHEAD,14971,66.3,0
FINAL,1995,JULY/AUGUST,ALABAMA,SHEEPSHEAD,11239,100.8,0
FINAL,1995,JULY/AUGUST,FLORIDA,SHEEPSHEAD,64729,37.4,0
FINAL,1995,JULY/AUGUST,LOUISIANA,SHEEPSHEAD,152379,31,0
FINAL,1995,JULY/AUGUST,MISSISSIPPI,SHEEPSHEAD,19643,57.8,0
FINAL,1995,SEPTEMBER/OCTOBER,ALABAMA,SHEEPSHEAD,2430,46.8,0
FINAL,1995,SEPTEMBER/OCTOBER,FLORIDA,SHEEPSHEAD,74758,34.1,0
FINAL,1995,SEPTEMBER/OCTOBER,LOUISIANA,SHEEPSHEAD,226638,30.1,0
FINAL,1995,SEPTEMBER/OCTOBER,MISSISSIPPI,SHEEPSHEAD,9444,62.9,0
FINAL,1995,NOVEMBER/DECEMBER,ALABAMA,SHEEPSHEAD,208528,64.3,0
FINAL,1995,NOVEMBER/DECEMBER,FLORIDA,SHEEPSHEAD,1246698,21.7,0
FINAL,1995,NOVEMBER/DECEMBER,LOUISIANA,SHEEPSHEAD,244370,38.2,0
FINAL,1995,NOVEMBER/DECEMBER,MISSISSIPPI,SHEEPSHEAD,295612,46.8,0
FINAL,1996,JANUARY/FEBRUARY,ALABAMA,SHEEPSHEAD,264706,66.3,0
FINAL,1996,JANUARY/FEBRUARY,FLORIDA,SHEEPSHEAD,558958,28.8,0
FINAL,1996,JANUARY/FEBRUARY,LOUISIANA,SHEEPSHEAD,205280,55.4,0
FINAL,1996,JANUARY/FEBRUARY,MISSISSIPPI,SHEEPSHEAD,16031,73.3,0
FINAL,1996,MARCH/APRIL,ALABAMA,SHEEPSHEAD,85079,38.1,0
FINAL,1996,MARCH/APRIL,FLORIDA,SHEEPSHEAD,792810,30.5,0
FINAL,1996,MARCH/APRIL,LOUISIANA,SHEEPSHEAD,41519,62.4,0
FINAL,1996,MARCH/APRIL,MISSISSIPPI,SHEEPSHEAD,102697,48.2,0
FINAL,1996,MAY/JUNE,ALABAMA,SHEEPSHEAD,7373,65.2,0
FINAL,1996,MAY/JUNE,FLORIDA,SHEEPSHEAD,89101,45.9,0
FINAL,1996,MAY/JUNE,LOUISIANA,SHEEPSHEAD,115659,39.2,0
