Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,MARCH/APRIL,FLORIDA,SOUTHERN FLOUNDER,64368,46.2
FINAL,1990,MARCH/APRIL,GEORGIA,SOUTHERN FLOUNDER,4124,107.2
FINAL,1990,MARCH/APRIL,SOUTH CAROLINA,SOUTHERN FLOUNDER,90972,64.2
FINAL,1990,MAY/JUNE,FLORIDA,SOUTHERN FLOUNDER,194153,72.2
FINAL,1990,MAY/JUNE,GEORGIA,SOUTHERN FLOUNDER,7932,71.2
FINAL,1990,MAY/JUNE,NORTH CAROLINA,SOUTHERN FLOUNDER,57136,45.9
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,SOUTHERN FLOUNDER,75376,49.1
FINAL,1990,JULY/AUGUST,FLORIDA,SOUTHERN FLOUNDER,44219,97.7
FINAL,1990,JULY/AUGUST,GEORGIA,SOUTHERN FLOUNDER,21181,28.5
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,SOUTHERN FLOUNDER,13859,47.1
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,SOUTHERN FLOUNDER,28135,48.9
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,SOUTHERN FLOUNDER,16376,56.5
FINAL,1990,SEPTEMBER/OCTOBER,GEORGIA,SOUTHERN FLOUNDER,39124,52
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,SOUTHERN FLOUNDER,46839,27.2
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SOUTHERN FLOUNDER,17357,38.8
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,SOUTHERN FLOUNDER,445873,65
FINAL,1990,NOVEMBER/DECEMBER,GEORGIA,SOUTHERN FLOUNDER,11264,43.1
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,SOUTHERN FLOUNDER,20271,54.2
FINAL,1990,NOVEMBER/DECEMBER,SOUTH CAROLINA,SOUTHERN FLOUNDER,8773,81.4
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,SOUTHERN FLOUNDER,6985,70.8
FINAL,1991,MARCH/APRIL,FLORIDA,SOUTHERN FLOUNDER,99107,43.3
FINAL,1991,MARCH/APRIL,GEORGIA,SOUTHERN FLOUNDER,8267,27.1
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,SOUTHERN FLOUNDER,5713,63.5
FINAL,1991,MARCH/APRIL,SOUTH CAROLINA,SOUTHERN FLOUNDER,19743,18.1
FINAL,1991,MAY/JUNE,FLORIDA,SOUTHERN FLOUNDER,41000,54.3
FINAL,1991,MAY/JUNE,GEORGIA,SOUTHERN FLOUNDER,26243,25.1
FINAL,1991,MAY/JUNE,NORTH CAROLINA,SOUTHERN FLOUNDER,88732,23.1
FINAL,1991,MAY/JUNE,SOUTH CAROLINA,SOUTHERN FLOUNDER,3952,100.6
FINAL,1991,JULY/AUGUST,FLORIDA,SOUTHERN FLOUNDER,131975,69.7
FINAL,1991,JULY/AUGUST,GEORGIA,SOUTHERN FLOUNDER,24736,66.7
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,SOUTHERN FLOUNDER,40716,26
FINAL,1991,JULY/AUGUST,SOUTH CAROLINA,SOUTHERN FLOUNDER,31360,56.3
FINAL,1991,JULY/AUGUST,VIRGINIA,SOUTHERN FLOUNDER,4944,98.5
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,SOUTHERN FLOUNDER,93528,45
FINAL,1991,SEPTEMBER/OCTOBER,GEORGIA,SOUTHERN FLOUNDER,27502,24.3
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,SOUTHERN FLOUNDER,99272,30
FINAL,1991,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SOUTHERN FLOUNDER,103883,35.2
FINAL,1991,SEPTEMBER/OCTOBER,VIRGINIA,SOUTHERN FLOUNDER,8840,93.4
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,SOUTHERN FLOUNDER,155834,44.3
FINAL,1991,NOVEMBER/DECEMBER,GEORGIA,SOUTHERN FLOUNDER,15421,33.4
FINAL,1991,NOVEMBER/DECEMBER,NORTH CAROLINA,SOUTHERN FLOUNDER,22887,29.9
FINAL,1991,NOVEMBER/DECEMBER,SOUTH CAROLINA,SOUTHERN FLOUNDER,5036,69.9
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,SOUTHERN FLOUNDER,36552,82.6
FINAL,1992,MARCH/APRIL,FLORIDA,SOUTHERN FLOUNDER,164665,40.4
FINAL,1992,MARCH/APRIL,GEORGIA,SOUTHERN FLOUNDER,6310,39.3
FINAL,1992,MARCH/APRIL,NORTH CAROLINA,SOUTHERN FLOUNDER,4211,75
FINAL,1992,MARCH/APRIL,SOUTH CAROLINA,SOUTHERN FLOUNDER,8191,91.4
FINAL,1992,MAY/JUNE,FLORIDA,SOUTHERN FLOUNDER,298268,27.8
FINAL,1992,MAY/JUNE,GEORGIA,SOUTHERN FLOUNDER,18511,47.7
FINAL,1992,MAY/JUNE,NORTH CAROLINA,SOUTHERN FLOUNDER,55336,45.4
FINAL,1992,MAY/JUNE,SOUTH CAROLINA,SOUTHERN FLOUNDER,30610,38.7
FINAL,1992,JULY/AUGUST,FLORIDA,SOUTHERN FLOUNDER,264433,32.3
FINAL,1992,JULY/AUGUST,GEORGIA,SOUTHERN FLOUNDER,42240,68.4
