Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,MARCH/APRIL,FLORIDA,SOUTHERN FLOUNDER,37622,58,0
FINAL,1990,MARCH/APRIL,GEORGIA,SOUTHERN FLOUNDER,5342,107.6,0
FINAL,1990,MARCH/APRIL,SOUTH CAROLINA,SOUTHERN FLOUNDER,89565,75.8,0
FINAL,1990,MAY/JUNE,FLORIDA,SOUTHERN FLOUNDER,141496,75.4,0
FINAL,1990,MAY/JUNE,GEORGIA,SOUTHERN FLOUNDER,5181,73.3,0
FINAL,1990,MAY/JUNE,NORTH CAROLINA,SOUTHERN FLOUNDER,39831,46.1,0
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,SOUTHERN FLOUNDER,41527,52,0
FINAL,1990,JULY/AUGUST,FLORIDA,SOUTHERN FLOUNDER,25057,97.7,0
FINAL,1990,JULY/AUGUST,GEORGIA,SOUTHERN FLOUNDER,18063,35.5,0
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,SOUTHERN FLOUNDER,8668,46.6,0
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,SOUTHERN FLOUNDER,22015,52.9,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,SOUTHERN FLOUNDER,12610,61.6,0
FINAL,1990,SEPTEMBER/OCTOBER,GEORGIA,SOUTHERN FLOUNDER,24957,53.5,0
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,SOUTHERN FLOUNDER,39872,27,0
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SOUTHERN FLOUNDER,12429,44.5,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,SOUTHERN FLOUNDER,288613,71.4,0
FINAL,1990,NOVEMBER/DECEMBER,GEORGIA,SOUTHERN FLOUNDER,10713,52.3,0
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,SOUTHERN FLOUNDER,10042,51.5,0
FINAL,1990,NOVEMBER/DECEMBER,SOUTH CAROLINA,SOUTHERN FLOUNDER,4814,76.3,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,SOUTHERN FLOUNDER,2596,68.8,0
FINAL,1991,MARCH/APRIL,FLORIDA,SOUTHERN FLOUNDER,59274,51.8,0
FINAL,1991,MARCH/APRIL,GEORGIA,SOUTHERN FLOUNDER,8422,22.2,0
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,SOUTHERN FLOUNDER,2381,58.9,0
FINAL,1991,MARCH/APRIL,SOUTH CAROLINA,SOUTHERN FLOUNDER,13220,18.1,0
FINAL,1991,MAY/JUNE,FLORIDA,SOUTHERN FLOUNDER,12343,54.4,0
