Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,SOUTHERN FLOUNDER,11727,92.7
FINAL,1990,JANUARY/FEBRUARY,LOUISIANA,SOUTHERN FLOUNDER,49197,56.6
FINAL,1990,MARCH/APRIL,ALABAMA,SOUTHERN FLOUNDER,11516,89.1
FINAL,1990,MARCH/APRIL,FLORIDA,SOUTHERN FLOUNDER,0,.
FINAL,1990,MARCH/APRIL,LOUISIANA,SOUTHERN FLOUNDER,25018,48.1
FINAL,1990,MARCH/APRIL,MISSISSIPPI,SOUTHERN FLOUNDER,23455,43.6
FINAL,1990,MAY/JUNE,ALABAMA,SOUTHERN FLOUNDER,51671,56.6
FINAL,1990,MAY/JUNE,FLORIDA,SOUTHERN FLOUNDER,69141,51.3
FINAL,1990,MAY/JUNE,LOUISIANA,SOUTHERN FLOUNDER,133871,38.9
FINAL,1990,MAY/JUNE,MISSISSIPPI,SOUTHERN FLOUNDER,65464,65.2
FINAL,1990,JULY/AUGUST,ALABAMA,SOUTHERN FLOUNDER,87618,47.3
FINAL,1990,JULY/AUGUST,FLORIDA,SOUTHERN FLOUNDER,4754,94.4
FINAL,1990,JULY/AUGUST,LOUISIANA,SOUTHERN FLOUNDER,401598,43.1
FINAL,1990,JULY/AUGUST,MISSISSIPPI,SOUTHERN FLOUNDER,43799,40.3
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,SOUTHERN FLOUNDER,30785,68
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,SOUTHERN FLOUNDER,3023,91.2
FINAL,1990,SEPTEMBER/OCTOBER,LOUISIANA,SOUTHERN FLOUNDER,148048,33.6
FINAL,1990,SEPTEMBER/OCTOBER,MISSISSIPPI,SOUTHERN FLOUNDER,60560,70.8
FINAL,1990,NOVEMBER/DECEMBER,ALABAMA,SOUTHERN FLOUNDER,14796,68.1
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,SOUTHERN FLOUNDER,4531,96
FINAL,1990,NOVEMBER/DECEMBER,LOUISIANA,SOUTHERN FLOUNDER,289330,20.7
FINAL,1990,NOVEMBER/DECEMBER,MISSISSIPPI,SOUTHERN FLOUNDER,43026,41.7
FINAL,1991,JANUARY/FEBRUARY,ALABAMA,SOUTHERN FLOUNDER,1237,86.6
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,SOUTHERN FLOUNDER,5835,73
FINAL,1991,JANUARY/FEBRUARY,LOUISIANA,SOUTHERN FLOUNDER,203893,21.6
FINAL,1991,JANUARY/FEBRUARY,MISSISSIPPI,SOUTHERN FLOUNDER,4759,29
FINAL,1991,MARCH/APRIL,ALABAMA,SOUTHERN FLOUNDER,31488,100
FINAL,1991,MARCH/APRIL,LOUISIANA,SOUTHERN FLOUNDER,407001,34.1
FINAL,1991,MARCH/APRIL,MISSISSIPPI,SOUTHERN FLOUNDER,45898,44.9
FINAL,1991,MAY/JUNE,ALABAMA,SOUTHERN FLOUNDER,69520,34.4
FINAL,1991,MAY/JUNE,FLORIDA,SOUTHERN FLOUNDER,13411,76.8
FINAL,1991,MAY/JUNE,LOUISIANA,SOUTHERN FLOUNDER,177721,47.9
FINAL,1991,MAY/JUNE,MISSISSIPPI,SOUTHERN FLOUNDER,361349,39.1
FINAL,1991,JULY/AUGUST,ALABAMA,SOUTHERN FLOUNDER,21699,53.1
FINAL,1991,JULY/AUGUST,FLORIDA,SOUTHERN FLOUNDER,9743,97.8
FINAL,1991,JULY/AUGUST,LOUISIANA,SOUTHERN FLOUNDER,170583,38.1
FINAL,1991,JULY/AUGUST,MISSISSIPPI,SOUTHERN FLOUNDER,138106,27.7
FINAL,1991,SEPTEMBER/OCTOBER,ALABAMA,SOUTHERN FLOUNDER,14715,54.2
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,SOUTHERN FLOUNDER,12871,72.9
FINAL,1991,SEPTEMBER/OCTOBER,LOUISIANA,SOUTHERN FLOUNDER,199609,29.8
FINAL,1991,SEPTEMBER/OCTOBER,MISSISSIPPI,SOUTHERN FLOUNDER,22157,59.9
FINAL,1991,NOVEMBER/DECEMBER,ALABAMA,SOUTHERN FLOUNDER,4300,54.5
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,SOUTHERN FLOUNDER,302602,64.6
FINAL,1991,NOVEMBER/DECEMBER,LOUISIANA,SOUTHERN FLOUNDER,156612,36.1
FINAL,1991,NOVEMBER/DECEMBER,MISSISSIPPI,SOUTHERN FLOUNDER,16200,33.3
FINAL,1992,JANUARY/FEBRUARY,ALABAMA,SOUTHERN FLOUNDER,18369,85.7
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,SOUTHERN FLOUNDER,0,.
FINAL,1992,JANUARY/FEBRUARY,LOUISIANA,SOUTHERN FLOUNDER,127143,45.2
FINAL,1992,JANUARY/FEBRUARY,MISSISSIPPI,SOUTHERN FLOUNDER,2357,101.3
FINAL,1992,MARCH/APRIL,ALABAMA,SOUTHERN FLOUNDER,2598,76.2
FINAL,1992,MARCH/APRIL,FLORIDA,SOUTHERN FLOUNDER,8352,47.4
FINAL,1992,MARCH/APRIL,LOUISIANA,SOUTHERN FLOUNDER,73678,24.8
FINAL,1992,MARCH/APRIL,MISSISSIPPI,SOUTHERN FLOUNDER,49851,30.7
FINAL,1992,MAY/JUNE,ALABAMA,SOUTHERN FLOUNDER,61281,61.5
FINAL,1992,MAY/JUNE,FLORIDA,SOUTHERN FLOUNDER,6896,42.3
FINAL,1992,MAY/JUNE,LOUISIANA,SOUTHERN FLOUNDER,148202,18.1
FINAL,1992,MAY/JUNE,MISSISSIPPI,SOUTHERN FLOUNDER,86833,46.6
FINAL,1992,JULY/AUGUST,ALABAMA,SOUTHERN FLOUNDER,24311,59.3
FINAL,1992,JULY/AUGUST,LOUISIANA,SOUTHERN FLOUNDER,178810,27.9
FINAL,1992,JULY/AUGUST,MISSISSIPPI,SOUTHERN FLOUNDER,43162,39
FINAL,1992,SEPTEMBER/OCTOBER,ALABAMA,SOUTHERN FLOUNDER,49094,35.2
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,SOUTHERN FLOUNDER,13665,53.3
FINAL,1992,SEPTEMBER/OCTOBER,LOUISIANA,SOUTHERN FLOUNDER,143981,18.9
FINAL,1992,SEPTEMBER/OCTOBER,MISSISSIPPI,SOUTHERN FLOUNDER,49963,34.5
FINAL,1992,NOVEMBER/DECEMBER,ALABAMA,SOUTHERN FLOUNDER,15798,60.9
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,SOUTHERN FLOUNDER,6928,59
FINAL,1992,NOVEMBER/DECEMBER,LOUISIANA,SOUTHERN FLOUNDER,146076,44.8
FINAL,1992,NOVEMBER/DECEMBER,MISSISSIPPI,SOUTHERN FLOUNDER,33638,37.1
FINAL,1993,JANUARY/FEBRUARY,ALABAMA,SOUTHERN FLOUNDER,2584,90.9
FINAL,1993,JANUARY/FEBRUARY,LOUISIANA,SOUTHERN FLOUNDER,49882,60.1
FINAL,1993,JANUARY/FEBRUARY,MISSISSIPPI,SOUTHERN FLOUNDER,26448,95.4
FINAL,1993,MARCH/APRIL,ALABAMA,SOUTHERN FLOUNDER,5811,59
FINAL,1993,MARCH/APRIL,FLORIDA,SOUTHERN FLOUNDER,14594,64.6
FINAL,1993,MARCH/APRIL,LOUISIANA,SOUTHERN FLOUNDER,81730,35.3
FINAL,1993,MARCH/APRIL,MISSISSIPPI,SOUTHERN FLOUNDER,31871,49.8
FINAL,1993,MAY/JUNE,ALABAMA,SOUTHERN FLOUNDER,130493,60.2
FINAL,1993,MAY/JUNE,FLORIDA,SOUTHERN FLOUNDER,4535,69.9
FINAL,1993,MAY/JUNE,LOUISIANA,SOUTHERN FLOUNDER,133010,20.7
FINAL,1993,MAY/JUNE,MISSISSIPPI,SOUTHERN FLOUNDER,52020,33.1
