Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,SOUTHERN FLOUNDER,2926,92.7,0
FINAL,1990,JANUARY/FEBRUARY,LOUISIANA,SOUTHERN FLOUNDER,30440,56.8,0
FINAL,1990,MARCH/APRIL,ALABAMA,SOUTHERN FLOUNDER,4986,89.1,0
FINAL,1990,MARCH/APRIL,FLORIDA,SOUTHERN FLOUNDER,0,.,0
FINAL,1990,MARCH/APRIL,LOUISIANA,SOUTHERN FLOUNDER,9431,44,0
FINAL,1990,MARCH/APRIL,MISSISSIPPI,SOUTHERN FLOUNDER,12070,43.5,0
FINAL,1990,MAY/JUNE,ALABAMA,SOUTHERN FLOUNDER,36964,57.9,0
FINAL,1990,MAY/JUNE,FLORIDA,SOUTHERN FLOUNDER,58059,59,0
FINAL,1990,MAY/JUNE,LOUISIANA,SOUTHERN FLOUNDER,81293,44.6,0
FINAL,1990,MAY/JUNE,MISSISSIPPI,SOUTHERN FLOUNDER,42672,66.8,0
FINAL,1990,JULY/AUGUST,ALABAMA,SOUTHERN FLOUNDER,69682,48.5,0
FINAL,1990,JULY/AUGUST,FLORIDA,SOUTHERN FLOUNDER,3328,94.4,0
FINAL,1990,JULY/AUGUST,LOUISIANA,SOUTHERN FLOUNDER,282921,46.6,0
FINAL,1990,JULY/AUGUST,MISSISSIPPI,SOUTHERN FLOUNDER,18456,37.8,0
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,SOUTHERN FLOUNDER,12325,63.2,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,SOUTHERN FLOUNDER,3205,97.5,0
FINAL,1990,SEPTEMBER/OCTOBER,LOUISIANA,SOUTHERN FLOUNDER,95569,35.6,0
FINAL,1990,SEPTEMBER/OCTOBER,MISSISSIPPI,SOUTHERN FLOUNDER,23779,76.1,0
FINAL,1990,NOVEMBER/DECEMBER,ALABAMA,SOUTHERN FLOUNDER,17041,71,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,SOUTHERN FLOUNDER,1888,96,0
FINAL,1990,NOVEMBER/DECEMBER,LOUISIANA,SOUTHERN FLOUNDER,185149,26.7,0
FINAL,1990,NOVEMBER/DECEMBER,MISSISSIPPI,SOUTHERN FLOUNDER,47270,48.6,0
FINAL,1991,JANUARY/FEBRUARY,ALABAMA,SOUTHERN FLOUNDER,618,86.6,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,SOUTHERN FLOUNDER,7942,79.2,0
