Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,SPANISH MACKEREL,153098,68.1
FINAL,1990,MARCH/APRIL,FLORIDA,SPANISH MACKEREL,108904,54.9
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,SPANISH MACKEREL,267,95.3
FINAL,1990,MAY/JUNE,FLORIDA,SPANISH MACKEREL,97793,42.1
FINAL,1990,MAY/JUNE,GEORGIA,SPANISH MACKEREL,17414,77.3
FINAL,1990,MAY/JUNE,NORTH CAROLINA,SPANISH MACKEREL,485201,22.8
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,SPANISH MACKEREL,34355,41.4
FINAL,1990,MAY/JUNE,VIRGINIA,SPANISH MACKEREL,29136,44.1
FINAL,1990,JULY/AUGUST,FLORIDA,SPANISH MACKEREL,4238,75
FINAL,1990,JULY/AUGUST,GEORGIA,SPANISH MACKEREL,16479,70.6
FINAL,1990,JULY/AUGUST,MARYLAND,SPANISH MACKEREL,348,101.2
FINAL,1990,JULY/AUGUST,NEW JERSEY,SPANISH MACKEREL,2198,99.3
FINAL,1990,JULY/AUGUST,NEW YORK,SPANISH MACKEREL,2171,85.7
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,SPANISH MACKEREL,357423,21
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,SPANISH MACKEREL,113153,63.7
FINAL,1990,JULY/AUGUST,VIRGINIA,SPANISH MACKEREL,27769,50
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,SPANISH MACKEREL,788,102.8
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,SPANISH MACKEREL,288263,37.8
FINAL,1990,SEPTEMBER/OCTOBER,GEORGIA,SPANISH MACKEREL,3779,100.4
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,SPANISH MACKEREL,65,105.8
FINAL,1990,SEPTEMBER/OCTOBER,NEW JERSEY,SPANISH MACKEREL,1752,69.5
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,SPANISH MACKEREL,2408,62.4
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,SPANISH MACKEREL,155468,21.5
FINAL,1990,SEPTEMBER/OCTOBER,RHODE ISLAND,SPANISH MACKEREL,157,100.3
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SPANISH MACKEREL,286142,64.3
FINAL,1990,SEPTEMBER/OCTOBER,VIRGINIA,SPANISH MACKEREL,6032,60.4
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,SPANISH MACKEREL,255665,55.7
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,SPANISH MACKEREL,13502,48.5
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,SPANISH MACKEREL,47337,65.7
FINAL,1991,MARCH/APRIL,FLORIDA,SPANISH MACKEREL,702764,32.6
FINAL,1991,MARCH/APRIL,GEORGIA,SPANISH MACKEREL,19,108.8
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,SPANISH MACKEREL,4357,104.7
FINAL,1991,MAY/JUNE,FLORIDA,SPANISH MACKEREL,141316,73.9
FINAL,1991,MAY/JUNE,GEORGIA,SPANISH MACKEREL,952,76.3
FINAL,1991,MAY/JUNE,NORTH CAROLINA,SPANISH MACKEREL,264351,14.4
FINAL,1991,MAY/JUNE,SOUTH CAROLINA,SPANISH MACKEREL,150172,59.3
FINAL,1991,MAY/JUNE,VIRGINIA,SPANISH MACKEREL,22938,43.7
FINAL,1991,JULY/AUGUST,CONNECTICUT,SPANISH MACKEREL,879,100.4
FINAL,1991,JULY/AUGUST,DELAWARE,SPANISH MACKEREL,1018,77
FINAL,1991,JULY/AUGUST,FLORIDA,SPANISH MACKEREL,8008,75.6
FINAL,1991,JULY/AUGUST,GEORGIA,SPANISH MACKEREL,3863,46.1
FINAL,1991,JULY/AUGUST,MARYLAND,SPANISH MACKEREL,10571,56.1
FINAL,1991,JULY/AUGUST,MASSACHUSETTS,SPANISH MACKEREL,19595,83.3
FINAL,1991,JULY/AUGUST,NEW JERSEY,SPANISH MACKEREL,10142,41.2
FINAL,1991,JULY/AUGUST,NEW YORK,SPANISH MACKEREL,12337,56.8
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,SPANISH MACKEREL,418712,17.7
FINAL,1991,JULY/AUGUST,RHODE ISLAND,SPANISH MACKEREL,45,100.7
FINAL,1991,JULY/AUGUST,SOUTH CAROLINA,SPANISH MACKEREL,33466,50.4
