Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,SPANISH MACKEREL,175385,51.7,0
FINAL,1990,MARCH/APRIL,FLORIDA,SPANISH MACKEREL,57708,51.5,0
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,SPANISH MACKEREL,499,95.7,0
FINAL,1990,MAY/JUNE,FLORIDA,SPANISH MACKEREL,35831,42.7,0
FINAL,1990,MAY/JUNE,GEORGIA,SPANISH MACKEREL,11282,67.8,0
FINAL,1990,MAY/JUNE,NORTH CAROLINA,SPANISH MACKEREL,271018,20.7,0
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,SPANISH MACKEREL,28328,46.7,0
FINAL,1990,MAY/JUNE,VIRGINIA,SPANISH MACKEREL,10765,41.3,0
FINAL,1990,JULY/AUGUST,FLORIDA,SPANISH MACKEREL,4238,73.7,0
FINAL,1990,JULY/AUGUST,GEORGIA,SPANISH MACKEREL,8265,68.7,0
FINAL,1990,JULY/AUGUST,MARYLAND,SPANISH MACKEREL,247,101.2,0
FINAL,1990,JULY/AUGUST,NEW JERSEY,SPANISH MACKEREL,1568,99.3,0
FINAL,1990,JULY/AUGUST,NEW YORK,SPANISH MACKEREL,2787,88.4,0
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,SPANISH MACKEREL,264927,22.1,0
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,SPANISH MACKEREL,97828,67.3,0
FINAL,1990,JULY/AUGUST,VIRGINIA,SPANISH MACKEREL,16799,51.5,0
FINAL,1990,SEPTEMBER/OCTOBER,DELAWARE,SPANISH MACKEREL,569,102.8,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,SPANISH MACKEREL,280087,47.2,0
FINAL,1990,SEPTEMBER/OCTOBER,GEORGIA,SPANISH MACKEREL,1260,100.4,0
FINAL,1990,SEPTEMBER/OCTOBER,MARYLAND,SPANISH MACKEREL,64,105.8,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW JERSEY,SPANISH MACKEREL,1317,70.5,0
FINAL,1990,SEPTEMBER/OCTOBER,NEW YORK,SPANISH MACKEREL,1875,60.7,0
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,SPANISH MACKEREL,121345,38.1,0
FINAL,1990,SEPTEMBER/OCTOBER,RHODE ISLAND,SPANISH MACKEREL,282,100.3,0
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SPANISH MACKEREL,101405,66.3,0
FINAL,1990,SEPTEMBER/OCTOBER,VIRGINIA,SPANISH MACKEREL,3319,71.2,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,SPANISH MACKEREL,364530,64.9,0
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,SPANISH MACKEREL,5402,43.8,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,SPANISH MACKEREL,27866,66.8,0
FINAL,1991,MARCH/APRIL,FLORIDA,SPANISH MACKEREL,568406,46.1,0
FINAL,1991,MARCH/APRIL,GEORGIA,SPANISH MACKEREL,15,108.8,0
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,SPANISH MACKEREL,6287,105.2,0
FINAL,1991,MAY/JUNE,FLORIDA,SPANISH MACKEREL,122920,62.7,0
FINAL,1991,MAY/JUNE,GEORGIA,SPANISH MACKEREL,850,76.9,0
FINAL,1991,MAY/JUNE,NORTH CAROLINA,SPANISH MACKEREL,180059,14.1,0
FINAL,1991,MAY/JUNE,SOUTH CAROLINA,SPANISH MACKEREL,58350,51.1,0
FINAL,1991,MAY/JUNE,VIRGINIA,SPANISH MACKEREL,8325,48.1,0
FINAL,1991,JULY/AUGUST,CONNECTICUT,SPANISH MACKEREL,1338,100.4,0
FINAL,1991,JULY/AUGUST,DELAWARE,SPANISH MACKEREL,657,71.2,0
FINAL,1991,JULY/AUGUST,FLORIDA,SPANISH MACKEREL,16012,87.8,0
FINAL,1991,JULY/AUGUST,GEORGIA,SPANISH MACKEREL,2092,51.7,0
FINAL,1991,JULY/AUGUST,MARYLAND,SPANISH MACKEREL,6584,55.5,0
FINAL,1991,JULY/AUGUST,MASSACHUSETTS,SPANISH MACKEREL,36131,86.7,0
FINAL,1991,JULY/AUGUST,NEW JERSEY,SPANISH MACKEREL,7979,43.6,0
FINAL,1991,JULY/AUGUST,NEW YORK,SPANISH MACKEREL,16569,64.7,0
FINAL,1991,JULY/AUGUST,NORTH CAROLINA,SPANISH MACKEREL,349667,17,0
FINAL,1991,JULY/AUGUST,RHODE ISLAND,SPANISH MACKEREL,73,100.7,0
FINAL,1991,JULY/AUGUST,SOUTH CAROLINA,SPANISH MACKEREL,33619,43.6,0
FINAL,1991,JULY/AUGUST,VIRGINIA,SPANISH MACKEREL,22903,52.5,0
FINAL,1991,SEPTEMBER/OCTOBER,CONNECTICUT,SPANISH MACKEREL,19578,79,0
FINAL,1991,SEPTEMBER/OCTOBER,DELAWARE,SPANISH MACKEREL,184,82.4,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,SPANISH MACKEREL,383100,38.5,0
FINAL,1991,SEPTEMBER/OCTOBER,MARYLAND,SPANISH MACKEREL,250,100.5,0
FINAL,1991,SEPTEMBER/OCTOBER,MASSACHUSETTS,SPANISH MACKEREL,9427,85,0
FINAL,1991,SEPTEMBER/OCTOBER,NEW JERSEY,SPANISH MACKEREL,679,72,0
FINAL,1991,SEPTEMBER/OCTOBER,NEW YORK,SPANISH MACKEREL,9120,56.2,0
FINAL,1991,SEPTEMBER/OCTOBER,NORTH CAROLINA,SPANISH MACKEREL,231041,26.6,0
FINAL,1991,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SPANISH MACKEREL,24355,40.7,0
FINAL,1991,SEPTEMBER/OCTOBER,VIRGINIA,SPANISH MACKEREL,885,70.2,0
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,SPANISH MACKEREL,625272,44.3,0
FINAL,1991,NOVEMBER/DECEMBER,NORTH CAROLINA,SPANISH MACKEREL,2051,54.9,0
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,SPANISH MACKEREL,0,.,131142
FINAL,1992,MARCH/APRIL,FLORIDA,SPANISH MACKEREL,267544,33.9,0
FINAL,1992,MARCH/APRIL,GEORGIA,SPANISH MACKEREL,2293,62.9,0
FINAL,1992,MARCH/APRIL,NORTH CAROLINA,SPANISH MACKEREL,12408,55.1,0
FINAL,1992,MAY/JUNE,FLORIDA,SPANISH MACKEREL,144298,59.6,0
FINAL,1992,MAY/JUNE,GEORGIA,SPANISH MACKEREL,9155,51.4,0
FINAL,1992,MAY/JUNE,NORTH CAROLINA,SPANISH MACKEREL,200802,15.1,0
FINAL,1992,MAY/JUNE,SOUTH CAROLINA,SPANISH MACKEREL,38506,25.1,0
FINAL,1992,MAY/JUNE,VIRGINIA,SPANISH MACKEREL,5693,48,0
FINAL,1992,JULY/AUGUST,DELAWARE,SPANISH MACKEREL,10,108.3,0
FINAL,1992,JULY/AUGUST,FLORIDA,SPANISH MACKEREL,91353,76.7,0
FINAL,1992,JULY/AUGUST,GEORGIA,SPANISH MACKEREL,21168,52.9,0
FINAL,1992,JULY/AUGUST,MARYLAND,SPANISH MACKEREL,3416,73.1,0
FINAL,1992,JULY/AUGUST,NEW JERSEY,SPANISH MACKEREL,15436,60.7,0
FINAL,1992,JULY/AUGUST,NEW YORK,SPANISH MACKEREL,126,104.1,0
FINAL,1992,JULY/AUGUST,NORTH CAROLINA,SPANISH MACKEREL,209238,18.2,0
FINAL,1992,JULY/AUGUST,SOUTH CAROLINA,SPANISH MACKEREL,14448,46.5,0
FINAL,1992,JULY/AUGUST,VIRGINIA,SPANISH MACKEREL,111570,52.7,0
FINAL,1992,SEPTEMBER/OCTOBER,DELAWARE,SPANISH MACKEREL,24,100.4,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,SPANISH MACKEREL,223300,47,0
FINAL,1992,SEPTEMBER/OCTOBER,MASSACHUSETTS,SPANISH MACKEREL,0,.,0
FINAL,1992,SEPTEMBER/OCTOBER,NEW JERSEY,SPANISH MACKEREL,7964,63.9,0
FINAL,1992,SEPTEMBER/OCTOBER,NEW YORK,SPANISH MACKEREL,1813,83.6,0
FINAL,1992,SEPTEMBER/OCTOBER,NORTH CAROLINA,SPANISH MACKEREL,108673,25.7,0
FINAL,1992,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SPANISH MACKEREL,7925,46.2,0
FINAL,1992,SEPTEMBER/OCTOBER,VIRGINIA,SPANISH MACKEREL,345,68.8,0
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,SPANISH MACKEREL,256438,44.6,0
FINAL,1992,NOVEMBER/DECEMBER,NORTH CAROLINA,SPANISH MACKEREL,367,103.3,0
FINAL,1992,NOVEMBER/DECEMBER,SOUTH CAROLINA,SPANISH MACKEREL,22,92.4,0
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,SPANISH MACKEREL,105764,36.4,0
FINAL,1993,MARCH/APRIL,FLORIDA,SPANISH MACKEREL,27386,72.4,0
FINAL,1993,MARCH/APRIL,NORTH CAROLINA,SPANISH MACKEREL,466,97.8,0
FINAL,1993,MAY/JUNE,FLORIDA,SPANISH MACKEREL,67460,43.2,0
FINAL,1993,MAY/JUNE,GEORGIA,SPANISH MACKEREL,576,97,0
FINAL,1993,MAY/JUNE,NORTH CAROLINA,SPANISH MACKEREL,134282,22.4,0
FINAL,1993,MAY/JUNE,SOUTH CAROLINA,SPANISH MACKEREL,25492,42.4,0
FINAL,1993,MAY/JUNE,VIRGINIA,SPANISH MACKEREL,16273,62.6,0
FINAL,1993,JULY/AUGUST,FLORIDA,SPANISH MACKEREL,27422,52.2,0
FINAL,1993,JULY/AUGUST,GEORGIA,SPANISH MACKEREL,10044,98,0
FINAL,1993,JULY/AUGUST,MARYLAND,SPANISH MACKEREL,20731,76.7,0
FINAL,1993,JULY/AUGUST,MASSACHUSETTS,SPANISH MACKEREL,0,.,0
FINAL,1993,JULY/AUGUST,NEW JERSEY,SPANISH MACKEREL,4712,80.7,0
FINAL,1993,JULY/AUGUST,NEW YORK,SPANISH MACKEREL,3247,63.7,0
FINAL,1993,JULY/AUGUST,NORTH CAROLINA,SPANISH MACKEREL,210861,31.2,0
FINAL,1993,JULY/AUGUST,SOUTH CAROLINA,SPANISH MACKEREL,17140,45.9,0
FINAL,1993,JULY/AUGUST,VIRGINIA,SPANISH MACKEREL,41801,64.5,0
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,SPANISH MACKEREL,46839,36.7,0
FINAL,1993,SEPTEMBER/OCTOBER,GEORGIA,SPANISH MACKEREL,8779,47.1,0
FINAL,1993,SEPTEMBER/OCTOBER,MARYLAND,SPANISH MACKEREL,4781,97.4,0
FINAL,1993,SEPTEMBER/OCTOBER,MASSACHUSETTS,SPANISH MACKEREL,1154,99,0
FINAL,1993,SEPTEMBER/OCTOBER,NEW YORK,SPANISH MACKEREL,617,100,0
FINAL,1993,SEPTEMBER/OCTOBER,NORTH CAROLINA,SPANISH MACKEREL,149293,27.5,0
FINAL,1993,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SPANISH MACKEREL,15321,63.5,0
FINAL,1993,SEPTEMBER/OCTOBER,VIRGINIA,SPANISH MACKEREL,15221,80.5,0
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,SPANISH MACKEREL,120130,30.1,0
FINAL,1993,NOVEMBER/DECEMBER,NORTH CAROLINA,SPANISH MACKEREL,7425,61.4,0
FINAL,1994,JANUARY/FEBRUARY,FLORIDA,SPANISH MACKEREL,83480,34.3,0
FINAL,1994,MARCH/APRIL,FLORIDA,SPANISH MACKEREL,92365,43,0
