Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,SPANISH MACKEREL,92052,41.4
FINAL,1990,MARCH/APRIL,ALABAMA,SPANISH MACKEREL,160497,39.1
FINAL,1990,MARCH/APRIL,FLORIDA,SPANISH MACKEREL,824670,28.5
FINAL,1990,MARCH/APRIL,MISSISSIPPI,SPANISH MACKEREL,0,.
FINAL,1990,MAY/JUNE,ALABAMA,SPANISH MACKEREL,38331,41.2
FINAL,1990,MAY/JUNE,FLORIDA,SPANISH MACKEREL,390360,34.6
FINAL,1990,MAY/JUNE,LOUISIANA,SPANISH MACKEREL,2755,95.8
FINAL,1990,MAY/JUNE,MISSISSIPPI,SPANISH MACKEREL,4472,100.5
FINAL,1990,JULY/AUGUST,ALABAMA,SPANISH MACKEREL,363313,55
FINAL,1990,JULY/AUGUST,FLORIDA,SPANISH MACKEREL,361294,36.6
FINAL,1990,JULY/AUGUST,LOUISIANA,SPANISH MACKEREL,58589,63.1
FINAL,1990,JULY/AUGUST,MISSISSIPPI,SPANISH MACKEREL,8310,65.4
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,SPANISH MACKEREL,241062,74.2
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,SPANISH MACKEREL,1422115,25.6
FINAL,1990,SEPTEMBER/OCTOBER,LOUISIANA,SPANISH MACKEREL,78059,51.7
FINAL,1990,SEPTEMBER/OCTOBER,MISSISSIPPI,SPANISH MACKEREL,7801,42.2
FINAL,1990,NOVEMBER/DECEMBER,ALABAMA,SPANISH MACKEREL,3376,87.7
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,SPANISH MACKEREL,332625,37.9
FINAL,1990,NOVEMBER/DECEMBER,LOUISIANA,SPANISH MACKEREL,3070,92.1
FINAL,1991,JANUARY/FEBRUARY,ALABAMA,SPANISH MACKEREL,1237,86.6
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,SPANISH MACKEREL,123637,49.4
FINAL,1991,MARCH/APRIL,ALABAMA,SPANISH MACKEREL,45553,48.1
FINAL,1991,MARCH/APRIL,FLORIDA,SPANISH MACKEREL,1328971,41
FINAL,1991,MARCH/APRIL,MISSISSIPPI,SPANISH MACKEREL,6597,35
FINAL,1991,MAY/JUNE,ALABAMA,SPANISH MACKEREL,94675,47.8
FINAL,1991,MAY/JUNE,FLORIDA,SPANISH MACKEREL,620787,38.3
