Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,SPANISH MACKEREL,37285,39.7,0
FINAL,1990,MARCH/APRIL,ALABAMA,SPANISH MACKEREL,97702,37,0
FINAL,1990,MARCH/APRIL,FLORIDA,SPANISH MACKEREL,734093,31.2,0
FINAL,1990,MARCH/APRIL,MISSISSIPPI,SPANISH MACKEREL,0,.,0
FINAL,1990,MAY/JUNE,ALABAMA,SPANISH MACKEREL,24147,37.6,0
FINAL,1990,MAY/JUNE,FLORIDA,SPANISH MACKEREL,354540,32,0
FINAL,1990,MAY/JUNE,LOUISIANA,SPANISH MACKEREL,1593,88.8,0
FINAL,1990,MAY/JUNE,MISSISSIPPI,SPANISH MACKEREL,3055,100.5,0
FINAL,1990,JULY/AUGUST,ALABAMA,SPANISH MACKEREL,213848,53.9,0
FINAL,1990,JULY/AUGUST,FLORIDA,SPANISH MACKEREL,256300,40.9,0
FINAL,1990,JULY/AUGUST,LOUISIANA,SPANISH MACKEREL,81424,67.1,0
FINAL,1990,JULY/AUGUST,MISSISSIPPI,SPANISH MACKEREL,6083,67.2,0
FINAL,1990,SEPTEMBER/OCTOBER,ALABAMA,SPANISH MACKEREL,122873,70.6,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,SPANISH MACKEREL,747296,24.1,0
FINAL,1990,SEPTEMBER/OCTOBER,LOUISIANA,SPANISH MACKEREL,97379,52.6,0
FINAL,1990,SEPTEMBER/OCTOBER,MISSISSIPPI,SPANISH MACKEREL,4803,43,0
FINAL,1990,NOVEMBER/DECEMBER,ALABAMA,SPANISH MACKEREL,1688,87.7,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,SPANISH MACKEREL,195409,33.5,0
FINAL,1990,NOVEMBER/DECEMBER,LOUISIANA,SPANISH MACKEREL,1740,92.1,0
FINAL,1991,JANUARY/FEBRUARY,ALABAMA,SPANISH MACKEREL,866,86.6,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,SPANISH MACKEREL,86432,44.4,0
FINAL,1991,MARCH/APRIL,ALABAMA,SPANISH MACKEREL,23713,49.2,0
FINAL,1991,MARCH/APRIL,FLORIDA,SPANISH MACKEREL,790646,35.2,0
FINAL,1991,MARCH/APRIL,MISSISSIPPI,SPANISH MACKEREL,3362,35.8,0
FINAL,1991,MAY/JUNE,ALABAMA,SPANISH MACKEREL,79229,45,0
FINAL,1991,MAY/JUNE,FLORIDA,SPANISH MACKEREL,435306,40.9,0
FINAL,1991,MAY/JUNE,LOUISIANA,SPANISH MACKEREL,13657,47.2,0
FINAL,1991,MAY/JUNE,MISSISSIPPI,SPANISH MACKEREL,17705,60.5,0
FINAL,1991,JULY/AUGUST,ALABAMA,SPANISH MACKEREL,119504,23.4,0
FINAL,1991,JULY/AUGUST,FLORIDA,SPANISH MACKEREL,190840,48.4,0
FINAL,1991,JULY/AUGUST,LOUISIANA,SPANISH MACKEREL,43318,71,0
FINAL,1991,JULY/AUGUST,MISSISSIPPI,SPANISH MACKEREL,7784,48.3,0
FINAL,1991,SEPTEMBER/OCTOBER,ALABAMA,SPANISH MACKEREL,30233,50.4,0
FINAL,1991,SEPTEMBER/OCTOBER,FLORIDA,SPANISH MACKEREL,360572,22.6,0
FINAL,1991,SEPTEMBER/OCTOBER,LOUISIANA,SPANISH MACKEREL,22151,58.6,0
FINAL,1991,SEPTEMBER/OCTOBER,MISSISSIPPI,SPANISH MACKEREL,103030,72.4,0
FINAL,1991,NOVEMBER/DECEMBER,FLORIDA,SPANISH MACKEREL,173523,48.3,0
FINAL,1991,NOVEMBER/DECEMBER,LOUISIANA,SPANISH MACKEREL,63643,57.2,0
FINAL,1992,JANUARY/FEBRUARY,FLORIDA,SPANISH MACKEREL,0,.,397107
FINAL,1992,MARCH/APRIL,ALABAMA,SPANISH MACKEREL,29790,48.9,0
FINAL,1992,MARCH/APRIL,FLORIDA,SPANISH MACKEREL,1176493,17,0
FINAL,1992,MARCH/APRIL,LOUISIANA,SPANISH MACKEREL,136644,36.5,0
FINAL,1992,MARCH/APRIL,MISSISSIPPI,SPANISH MACKEREL,13028,41.4,0
FINAL,1992,MAY/JUNE,ALABAMA,SPANISH MACKEREL,255035,37.2,0
FINAL,1992,MAY/JUNE,FLORIDA,SPANISH MACKEREL,614361,35.1,0
FINAL,1992,MAY/JUNE,LOUISIANA,SPANISH MACKEREL,71165,63.4,0
FINAL,1992,MAY/JUNE,MISSISSIPPI,SPANISH MACKEREL,14746,42.4,0
FINAL,1992,JULY/AUGUST,ALABAMA,SPANISH MACKEREL,44861,34.2,0
FINAL,1992,JULY/AUGUST,FLORIDA,SPANISH MACKEREL,155530,30.3,0
FINAL,1992,JULY/AUGUST,LOUISIANA,SPANISH MACKEREL,19104,53.7,0
FINAL,1992,JULY/AUGUST,MISSISSIPPI,SPANISH MACKEREL,7130,35.1,0
FINAL,1992,SEPTEMBER/OCTOBER,ALABAMA,SPANISH MACKEREL,104078,51.5,0
FINAL,1992,SEPTEMBER/OCTOBER,FLORIDA,SPANISH MACKEREL,486697,22.3,0
FINAL,1992,SEPTEMBER/OCTOBER,LOUISIANA,SPANISH MACKEREL,32190,64.1,0
FINAL,1992,SEPTEMBER/OCTOBER,MISSISSIPPI,SPANISH MACKEREL,2802,78.9,0
FINAL,1992,NOVEMBER/DECEMBER,FLORIDA,SPANISH MACKEREL,224358,29.3,0
FINAL,1993,JANUARY/FEBRUARY,ALABAMA,SPANISH MACKEREL,485,115.8,0
FINAL,1993,JANUARY/FEBRUARY,FLORIDA,SPANISH MACKEREL,78804,94.9,0
FINAL,1993,MARCH/APRIL,ALABAMA,SPANISH MACKEREL,7237,108,0
FINAL,1993,MARCH/APRIL,FLORIDA,SPANISH MACKEREL,548575,39.1,0
FINAL,1993,MARCH/APRIL,MISSISSIPPI,SPANISH MACKEREL,5896,55.3,0
FINAL,1993,MAY/JUNE,ALABAMA,SPANISH MACKEREL,26227,53.4,0
FINAL,1993,MAY/JUNE,FLORIDA,SPANISH MACKEREL,262628,24.9,0
FINAL,1993,MAY/JUNE,LOUISIANA,SPANISH MACKEREL,17349,46.3,0
FINAL,1993,MAY/JUNE,MISSISSIPPI,SPANISH MACKEREL,1631,52.1,0
FINAL,1993,JULY/AUGUST,ALABAMA,SPANISH MACKEREL,57423,36.2,0
FINAL,1993,JULY/AUGUST,FLORIDA,SPANISH MACKEREL,98694,26.1,0
FINAL,1993,JULY/AUGUST,LOUISIANA,SPANISH MACKEREL,79093,58.8,0
FINAL,1993,JULY/AUGUST,MISSISSIPPI,SPANISH MACKEREL,7819,52.2,0
FINAL,1993,SEPTEMBER/OCTOBER,ALABAMA,SPANISH MACKEREL,155035,41.6,0
FINAL,1993,SEPTEMBER/OCTOBER,FLORIDA,SPANISH MACKEREL,706733,17.6,0
FINAL,1993,SEPTEMBER/OCTOBER,LOUISIANA,SPANISH MACKEREL,4639,55.9,0
FINAL,1993,SEPTEMBER/OCTOBER,MISSISSIPPI,SPANISH MACKEREL,1312,95.1,0
FINAL,1993,NOVEMBER/DECEMBER,ALABAMA,SPANISH MACKEREL,5511,67.1,0
FINAL,1993,NOVEMBER/DECEMBER,FLORIDA,SPANISH MACKEREL,192078,30.3,0
FINAL,1993,NOVEMBER/DECEMBER,LOUISIANA,SPANISH MACKEREL,4915,85.8,0
FINAL,1993,NOVEMBER/DECEMBER,MISSISSIPPI,SPANISH MACKEREL,5933,83,0
FINAL,1994,JANUARY/FEBRUARY,FLORIDA,SPANISH MACKEREL,522330,73.3,0
FINAL,1994,JANUARY/FEBRUARY,LOUISIANA,SPANISH MACKEREL,397,79.6,0
FINAL,1994,MARCH/APRIL,ALABAMA,SPANISH MACKEREL,144143,80.8,0
FINAL,1994,MARCH/APRIL,FLORIDA,SPANISH MACKEREL,504480,27.6,0
FINAL,1994,MARCH/APRIL,MISSISSIPPI,SPANISH MACKEREL,2674,102.6,0
