Estimate Status,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,SPOTTED SEATROUT,187606,53.4
FINAL,1990,JANUARY/FEBRUARY,NORTH CAROLINA,SPOTTED SEATROUT,0,.
FINAL,1990,MARCH/APRIL,FLORIDA,SPOTTED SEATROUT,124288,74
FINAL,1990,MARCH/APRIL,GEORGIA,SPOTTED SEATROUT,11480,88.4
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,SPOTTED SEATROUT,125719,97
FINAL,1990,MARCH/APRIL,SOUTH CAROLINA,SPOTTED SEATROUT,13561,45.1
FINAL,1990,MAY/JUNE,FLORIDA,SPOTTED SEATROUT,53905,67.5
FINAL,1990,MAY/JUNE,GEORGIA,SPOTTED SEATROUT,13900,42.8
FINAL,1990,MAY/JUNE,MARYLAND,SPOTTED SEATROUT,11483,73.5
FINAL,1990,MAY/JUNE,NORTH CAROLINA,SPOTTED SEATROUT,40502,29.7
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,SPOTTED SEATROUT,40546,78.6
FINAL,1990,MAY/JUNE,VIRGINIA,SPOTTED SEATROUT,43797,77.6
FINAL,1990,JULY/AUGUST,FLORIDA,SPOTTED SEATROUT,281389,66.4
FINAL,1990,JULY/AUGUST,GEORGIA,SPOTTED SEATROUT,68497,28
FINAL,1990,JULY/AUGUST,MARYLAND,SPOTTED SEATROUT,14910,62
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,SPOTTED SEATROUT,29377,39
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,SPOTTED SEATROUT,59546,57.9
FINAL,1990,JULY/AUGUST,VIRGINIA,SPOTTED SEATROUT,2581,95.8
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,SPOTTED SEATROUT,18014,73.7
FINAL,1990,SEPTEMBER/OCTOBER,GEORGIA,SPOTTED SEATROUT,87327,32.4
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,SPOTTED SEATROUT,70286,22.1
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SPOTTED SEATROUT,49040,55.9
FINAL,1990,SEPTEMBER/OCTOBER,VIRGINIA,SPOTTED SEATROUT,88745,84.7
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,SPOTTED SEATROUT,380822,37.8
FINAL,1990,NOVEMBER/DECEMBER,GEORGIA,SPOTTED SEATROUT,601660,35.6
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,SPOTTED SEATROUT,119530,21.7
FINAL,1990,NOVEMBER/DECEMBER,SOUTH CAROLINA,SPOTTED SEATROUT,129493,43.2
FINAL,1990,NOVEMBER/DECEMBER,VIRGINIA,SPOTTED SEATROUT,74348,65.2
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,SPOTTED SEATROUT,91918,51.5
FINAL,1991,JANUARY/FEBRUARY,NORTH CAROLINA,SPOTTED SEATROUT,14424,90.8
FINAL,1991,MARCH/APRIL,FLORIDA,SPOTTED SEATROUT,102722,60.2
FINAL,1991,MARCH/APRIL,GEORGIA,SPOTTED SEATROUT,40501,48.5
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,SPOTTED SEATROUT,56389,63.5
FINAL,1991,MARCH/APRIL,VIRGINIA,SPOTTED SEATROUT,13183,72.8
FINAL,1991,MAY/JUNE,FLORIDA,SPOTTED SEATROUT,176065,39.8
FINAL,1991,MAY/JUNE,GEORGIA,SPOTTED SEATROUT,102643,41.2
FINAL,1991,MAY/JUNE,NORTH CAROLINA,SPOTTED SEATROUT,228442,31.1
FINAL,1991,MAY/JUNE,SOUTH CAROLINA,SPOTTED SEATROUT,13748,82.8
FINAL,1991,JULY/AUGUST,DELAWARE,SPOTTED SEATROUT,259,100.7
