Estimate Status,Year,Wave,State,Common Name,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information
FINAL,1990,JANUARY/FEBRUARY,FLORIDA,SPOTTED SEATROUT,117382,44.6,0
FINAL,1990,JANUARY/FEBRUARY,NORTH CAROLINA,SPOTTED SEATROUT,0,.,0
FINAL,1990,MARCH/APRIL,FLORIDA,SPOTTED SEATROUT,77704,84.4,0
FINAL,1990,MARCH/APRIL,GEORGIA,SPOTTED SEATROUT,5072,90.7,0
FINAL,1990,MARCH/APRIL,NORTH CAROLINA,SPOTTED SEATROUT,34340,91.5,0
FINAL,1990,MARCH/APRIL,SOUTH CAROLINA,SPOTTED SEATROUT,8147,47.8,0
FINAL,1990,MAY/JUNE,FLORIDA,SPOTTED SEATROUT,71190,88.3,0
FINAL,1990,MAY/JUNE,GEORGIA,SPOTTED SEATROUT,7610,51.1,0
FINAL,1990,MAY/JUNE,MARYLAND,SPOTTED SEATROUT,18128,70.6,0
FINAL,1990,MAY/JUNE,NORTH CAROLINA,SPOTTED SEATROUT,14788,31.9,0
FINAL,1990,MAY/JUNE,SOUTH CAROLINA,SPOTTED SEATROUT,30060,78.3,0
FINAL,1990,MAY/JUNE,VIRGINIA,SPOTTED SEATROUT,8554,74.7,0
FINAL,1990,JULY/AUGUST,FLORIDA,SPOTTED SEATROUT,298411,63.8,0
FINAL,1990,JULY/AUGUST,GEORGIA,SPOTTED SEATROUT,30460,26.5,0
FINAL,1990,JULY/AUGUST,MARYLAND,SPOTTED SEATROUT,8273,59.3,0
FINAL,1990,JULY/AUGUST,NORTH CAROLINA,SPOTTED SEATROUT,14671,43.6,0
FINAL,1990,JULY/AUGUST,SOUTH CAROLINA,SPOTTED SEATROUT,30469,59,0
FINAL,1990,JULY/AUGUST,VIRGINIA,SPOTTED SEATROUT,1507,95.8,0
FINAL,1990,SEPTEMBER/OCTOBER,FLORIDA,SPOTTED SEATROUT,14738,73.7,0
FINAL,1990,SEPTEMBER/OCTOBER,GEORGIA,SPOTTED SEATROUT,47379,34,0
FINAL,1990,SEPTEMBER/OCTOBER,NORTH CAROLINA,SPOTTED SEATROUT,58635,21.9,0
FINAL,1990,SEPTEMBER/OCTOBER,SOUTH CAROLINA,SPOTTED SEATROUT,29704,54.3,0
FINAL,1990,SEPTEMBER/OCTOBER,VIRGINIA,SPOTTED SEATROUT,78379,80.2,0
FINAL,1990,NOVEMBER/DECEMBER,FLORIDA,SPOTTED SEATROUT,217765,36.7,0
FINAL,1990,NOVEMBER/DECEMBER,GEORGIA,SPOTTED SEATROUT,312120,33.3,0
FINAL,1990,NOVEMBER/DECEMBER,NORTH CAROLINA,SPOTTED SEATROUT,70092,21.5,0
FINAL,1990,NOVEMBER/DECEMBER,SOUTH CAROLINA,SPOTTED SEATROUT,97711,40,0
FINAL,1990,NOVEMBER/DECEMBER,VIRGINIA,SPOTTED SEATROUT,71984,72.4,0
FINAL,1991,JANUARY/FEBRUARY,FLORIDA,SPOTTED SEATROUT,66267,51.5,0
FINAL,1991,JANUARY/FEBRUARY,NORTH CAROLINA,SPOTTED SEATROUT,11961,97.1,0
FINAL,1991,MARCH/APRIL,FLORIDA,SPOTTED SEATROUT,90318,60.5,0
FINAL,1991,MARCH/APRIL,GEORGIA,SPOTTED SEATROUT,23320,40.9,0
FINAL,1991,MARCH/APRIL,NORTH CAROLINA,SPOTTED SEATROUT,26319,72.4,0
